"Parasite","Host","DetectionMethod","DetectionQuality","ReferenceText","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","PublicationYear","ParasiteType","Database","Host_AsReported","Parasite_AsReported","Parasite_og","PathogenName_Harmonised","PathogenName_Harm2","PathogenType"
"alcelaphine herpesvirus 2","aepyceros melampus","Antibodies",0,"Reid et al. 1973","CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus","Herpesvirales","Herpesviridae","Gammaherpesvirinae","Rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135000,0,0,0,1973,"virus","HP3","","","alcelaphine herpesvirus 2","alcelaphine herpesvirus 2","alcelaphine herpesvirus 2","virus"
"bluetongue","aepyceros melampus","Antibodies",0,"Karesh et al. 1997","CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1997,"virus","HP3","","","bluetongue virus","bluetongue","bluetongue virus","virus"
"bovine viral diarrhea virus 1","aepyceros melampus","SNT",1,"Hamblin and Hedger 1979","CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus","Unassigned","Flaviviridae",NA,"Pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1979,"virus","HP3","","","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","virus"
"crimean-congo hemorrhagic fever","aepyceros melampus","Antibodies",0,"Shepherd et al. 1987","CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus","Unassigned","Bunyaviridae",NA,"Nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"virus","HP3","","","crimean-congo hemorrhagic fever virus","crimean-congo hemorrhagic fever","crimean-congo hemorrhagic fever virus","virus"
"foot-and-mouth disease","aepyceros melampus","Antibodies",0,"Hamblin et al. 1990","CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus","Picornavirales","Picornaviridae",NA,"Aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,1990,"virus","HP3","","","foot-and-mouth disease virus","foot-and-mouth disease","foot-and-mouth disease virus","virus"
"lumpy skin disease","aepyceros melampus","Antibodies",0,"Hedger et al. 1983","CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus","Unassigned","Poxviridae","Chordopoxvirinae","Capripoxvirus","DS","DNA","enveloped",FALSE,TRUE,150773,0,0,0,1983,"virus","HP3","","","lumpy skin disease virus","lumpy skin disease","lumpy skin disease virus","virus"
"rift valley fever","aepyceros melampus","Antibodies",0,"Anderson & Rowe 1998; Capobianco Dondona 2016","CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus","Unassigned","Bunyaviridae",NA,"Phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11979,0,1,1,1998,"virus","HP3","","","rift valley fever virus","rift valley","rift valley fever virus","virus"
"rinderpest","aepyceros melampus","Antibodies",0,"Rutebarika et al. 2005","CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15882,0,0,0,2005,"virus","HP3","","","rinderpest virus","rinderpest","rinderpest virus","virus"
"witwatersrand","aethomys kaiseri","Antibodies",0,"Henderson et al. 1972","RODENTIA","MURIDAE","Aethomys","kaiseri","Unassigned","Bunyaviridae",NA,"Unassigned","SS","RNA","enveloped",TRUE,TRUE,12251,0,0,0,1972,"virus","HP3","","","witwatersrand virus","witwatersrand","witwatersrand virus","virus"
"crimean-congo hemorrhagic fever","aethomys namaquensis","Antibodies",0,"Shepherd et al. 1987","RODENTIA","MURIDAE","Aethomys","namaquensis","Unassigned","Bunyaviridae",NA,"Nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"virus","HP3","","","crimean-congo hemorrhagic fever virus","crimean-congo hemorrhagic fever","crimean-congo hemorrhagic fever virus","virus"
"rift valley fever","aethomys namaquensis","Antibodies",0,"Pretorius et al. 1997","RODENTIA","MURIDAE","Aethomys","namaquensis","Unassigned","Bunyaviridae",NA,"Phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11979,0,1,1,1997,"virus","HP3","","","rift valley fever virus","rift valley","rift valley fever virus","virus"
"andes","akodon azarae","IFA",0,"Chu et al. 2003","RODENTIA","CRICETIDAE","Akodon","azarae","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2003,"virus","HP3","","","andes virus","andes","andes virus","virus"
"junin","akodon azarae","Isolation",2,"Gonzalez et al. 2007","RODENTIA","CRICETIDAE","Akodon","azarae","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10525,0,1,1,2007,"virus","HP3","","","junin virus","junin","junin virus","virus"
"pixuna","akodon azarae","Isolation",2,"Pisano et al. 2014","RODENTIA","CRICETIDAE","Akodon","azarae","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11344,0,1,0,2014,"virus","HP3","","","pixuna virus","pixuna","pixuna virus","virus"
"andes","akodon montensis","PCR",2,"Chu et al. 2003","RODENTIA","CRICETIDAE","Akodon","montensis","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2003,"virus","HP3","","","andes virus","andes","andes virus","virus"
"st. louis encephalitis","akodon montensis","Isolation",2,NA,"RODENTIA","CRICETIDAE","Akodon","montensis","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,NA,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"andes","akodon paranaensis","Antibodies",0,"de Oliveira et al. 2011","RODENTIA","CRICETIDAE","Akodon","paranaensis","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2011,"virus","HP3","","","andes virus","andes","andes virus","virus"
"laguna negra","akodon simulator","PCR",2,"Levis et al. 2004","RODENTIA","CRICETIDAE","Akodon","simulator","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,0,2004,"virus","HP3","","","laguna negra virus","laguna negra","laguna negra virus","virus"
"andes","akodon varius","Antibodies",0,"Sosa-Estani et al. 2002","RODENTIA","CRICETIDAE","Akodon","varius","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,10233,0,1,1,2002,"virus","HP3","","","andes virus","andes","andes virus","virus"
"akabane","alcelaphus buselaphus","Antibodies",0,"Davies et al. 1985","CETARTIODACTYLA","BOVIDAE","Alcelaphus","buselaphus","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12035,0,0,0,1985,"virus","HP3","","","akabane virus","akabane","akabane virus","virus"
"alcelaphine herpesvirus 2","alcelaphus buselaphus","Isolation",2,"Reid et al. 1973","CETARTIODACTYLA","BOVIDAE","Alcelaphus","buselaphus","Herpesvirales","Herpesviridae","Gammaherpesvirinae","Rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135000,0,0,0,1973,"virus","HP3","","","alcelaphine herpesvirus 2","alcelaphine herpesvirus 2","alcelaphine herpesvirus 2","virus"
"bluetongue","alcelaphus buselaphus","Antibodies",0,"Hamblin et al.","CETARTIODACTYLA","BOVIDAE","Alcelaphus","buselaphus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,NA,"virus","HP3","","","bluetongue virus","bluetongue","bluetongue virus","virus"
"bovine viral diarrhea virus 1","alcelaphus buselaphus","SNT",1,"Hamblin & Hedger 1979","CETARTIODACTYLA","BOVIDAE","Alcelaphus","buselaphus","Unassigned","Flaviviridae",NA,"Pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1979,"virus","HP3","","","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","virus"
"crimean-congo hemorrhagic fever","alcelaphus buselaphus","Antibodies",0,"Shepherd et al. 1987","CETARTIODACTYLA","BOVIDAE","Alcelaphus","buselaphus","Unassigned","Bunyaviridae",NA,"Nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"virus","HP3","","","crimean-congo hemorrhagic fever virus","crimean-congo hemorrhagic fever","crimean-congo hemorrhagic fever virus","virus"
"foot-and-mouth disease","alcelaphus buselaphus","Antibodies",0,"Ayebazibwe et al. 2010a in Weaver & Karesh 2013","CETARTIODACTYLA","BOVIDAE","Alcelaphus","buselaphus","Picornavirales","Picornaviridae",NA,"Aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,2010,"virus","HP3","","","foot-and-mouth disease virus","foot-and-mouth disease","foot-and-mouth disease virus","virus"
"ovine herpesvirus 2","alcelaphus buselaphus","VNT",1,"Reid et al. 1975","CETARTIODACTYLA","BOVIDAE","Alcelaphus","buselaphus","Herpesvirales","Herpesviridae","Gammaherpesvirinae","Rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135135,0,0,0,1975,"virus","HP3","","","ovine herpesvirus 2","ovine herpesvirus 2","ovine herpesvirus 2","virus"
"bovine herpesvirus 1","alces alces","VNT",1,"Kocan et al. 1986","CETARTIODACTYLA","CERVIDAE","Alces","alces","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,140000,0,0,0,1986,"virus","HP3","","","bovine herpesvirus 1","bovine herpesvirus 1","bovine herpesvirus 1","virus"
"bovine viral diarrhea virus 1","alces alces","Antibodies",0,"Thorsen and Henderson 1971","CETARTIODACTYLA","CERVIDAE","Alces","alces","Unassigned","Flaviviridae",NA,"Pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1971,"virus","HP3","","","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","virus"
"european elk papillomavirus","alces alces","Isolation",2,"Moreno-Lopez et al. 1986","CETARTIODACTYLA","CERVIDAE","Alces","alces","Unassigned","Papillomaviridae",NA,"Deltapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,8095,0,0,0,1986,"virus","HP3","","","european elk papillomavirus","european elk papillomavirus","european elk papillomavirus","virus"
"ovine herpesvirus 2","alces alces","PCR",2,"Vikoren et al. 2006","CETARTIODACTYLA","CERVIDAE","Alces","alces","Herpesvirales","Herpesviridae","Gammaherpesvirinae","Rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135135,0,0,0,2006,"virus","HP3","","","ovine herpesvirus 2","ovine herpesvirus 2","ovine herpesvirus 2","virus"
"st. louis encephalitis","alces alces","Antibodies",0,"Trainer et al. 1971","CETARTIODACTYLA","CERVIDAE","Alces","alces","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1971,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"simian foamy","allenopithecus nigroviridis","PCR",2,"Schweizer et al. 1995","PRIMATES","CERCOPITHECIDAE","Allenopithecus","nigroviridis","Unassigned","Retroviridae","Spumaretrovirinae","Spumavirus","SS","RNA","enveloped",FALSE,FALSE,13246,0,1,1,1995,"virus","HP3","","","simian foamy virus","simian foamy","simian foamy virus","virus"
"rabies","alopex lagopus","PCR",2,"Kuzmin et al. 2004","CARNIVORA","CANIDAE","Alopex","lagopus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2004,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"st. louis encephalitis","alouatta caraya","Antibodies",0,"Contigiani al. 2000","PRIMATES","ATELIDAE","Alouatta","caraya","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,2000,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"una","alouatta caraya","Antibodies",0,"Diaz et al. 2003","PRIMATES","ATELIDAE","Alouatta","caraya","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11700,0,1,0,2003,"virus","HP3","","","una virus","una","una virus","virus"
"yellow fever","alouatta caraya","Antibodies",0,"Vasconcelos et al. 2003","PRIMATES","ATELIDAE","Alouatta","caraya","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,2003,"virus","HP3","","","yellow fever virus","yellow fever","yellow fever virus","virus"
"vesicular stomatitis indiana","alouatta palliata","Antibodies",0,"Nisbett 2003","PRIMATES","ATELIDAE","Alouatta","palliata","Mononegavirales","Rhabdoviridae",NA,"Vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,2003,"virus","HP3","","","vesicular stomatitis indiana virus","vesicular stomatitis indiana","vesicular stomatitis indiana virus","virus"
"yellow fever","alouatta palliata","Antibodies",0,"Galindo & Srihongse 1967","PRIMATES","ATELIDAE","Alouatta","palliata","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,1967,"virus","HP3","","","yellow fever virus","yellow fever","yellow fever virus","virus"
"st. louis encephalitis","alouatta pigra","Antibodies",0,"Seymour et al. 1989","PRIMATES","ATELIDAE","Alouatta","pigra","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1989,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"vesicular stomatitis indiana","alouatta pigra","plaque reduction neutralization",1,"Tesh et al. 1969","PRIMATES","ATELIDAE","Alouatta","pigra","Mononegavirales","Rhabdoviridae",NA,"Vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1969,"virus","HP3","","","vesicular stomatitis indiana virus","vesicular stomatitis indiana","vesicular stomatitis indiana virus","virus"
"mayaro","alouatta seniculus","Antibodies",0,"de Thoisy et al. 2003","PRIMATES","ATELIDAE","Alouatta","seniculus","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11411,0,1,0,2003,"virus","HP3","","","mayaro virus","mayaro","mayaro virus","virus"
"modoc","ammospermophilus nelsoni","Antibodies",0,"Hardy et al. 1974","RODENTIA","SCIURIDAE","Ammospermophilus","nelsoni","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10600,0,1,0,1974,"virus","HP3","","","modoc virus","modoc","modoc virus","virus"
"st. louis encephalitis","ammospermophilus nelsoni","Antibodies",0,"Hardy et al. 1974","RODENTIA","SCIURIDAE","Ammospermophilus","nelsoni","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1974,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"western equine encephalitis","ammospermophilus nelsoni","Isolation",2,"Hardy et al. 1974","RODENTIA","SCIURIDAE","Ammospermophilus","nelsoni","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11000,0,1,1,1974,"virus","HP3","","","western equine encephalitis virus","western equine encephalitis","western equine encephalitis virus","virus"
"bluetongue","ammotragus lervia","Antibodies",0,"Ruiz-Fons et al. 2008","CETARTIODACTYLA","BOVIDAE","Ammotragus","lervia","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2008,"virus","HP3","","","bluetongue virus","bluetongue","bluetongue virus","virus"
"bovine herpesvirus 1","ammotragus lervia","CF",0,"Hampy et al. 1979","CETARTIODACTYLA","BOVIDAE","Ammotragus","lervia","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,140000,0,0,0,1979,"virus","HP3","","","bovine herpesvirus 1","bovine herpesvirus 1","bovine herpesvirus 1","virus"
"bimiti","anoura geoffroyi","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","geoffroyi","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12102,0,0,0,1978,"virus","HP3","","","bimiti virus","bimiti","bimiti virus","virus"
"catu","anoura geoffroyi","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","geoffroyi","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12024,0,1,1,1978,"virus","HP3","","","catu virus","catu","catu virus","virus"
"dengue","anoura geoffroyi","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","geoffroyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10692,0,1,1,1978,"virus","HP3","","","dengue virus","dengue","dengue virus","virus"
"guama","anoura geoffroyi","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","geoffroyi","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,1,1978,"virus","HP3","","","guama virus","guama","guama virus","virus"
"ilheus","anoura geoffroyi","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","geoffroyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10755,0,1,0,1978,"virus","HP3","","","ilheus virus","ilheus","ilheus virus","virus"
"rio bravo","anoura geoffroyi","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","geoffroyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10140,0,1,0,1978,"virus","HP3","","","rio bravo virus","rio bravo","rio bravo virus","virus"
"st. louis encephalitis","anoura geoffroyi","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","geoffroyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1978,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"tamana bat","anoura geoffroyi","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","geoffroyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10428,0,0,0,1978,"virus","HP3","","","tamana bat virus","tamana bat","tamana bat virus","virus"
"bovine viral diarrhea virus 1","antidorcas marsupialis","SNT",1,"Hamblin and Hedger 1979","CETARTIODACTYLA","BOVIDAE","Antidorcas","marsupialis","Unassigned","Flaviviridae",NA,"Pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1979,"virus","HP3","","","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","virus"
"crimean-congo hemorrhagic fever","antidorcas marsupialis","Antibodies",0,"Shepherd et al. 1987","CETARTIODACTYLA","BOVIDAE","Antidorcas","marsupialis","Unassigned","Bunyaviridae",NA,"Nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"virus","HP3","","","crimean-congo hemorrhagic fever virus","crimean-congo hemorrhagic fever","crimean-congo hemorrhagic fever virus","virus"
"foot-and-mouth disease","antidorcas marsupialis","Antibodies",0,"Falconer & Child 1975 in Weaver & Karesh 2013","CETARTIODACTYLA","BOVIDAE","Antidorcas","marsupialis","Picornavirales","Picornaviridae",NA,"Aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,1975,"virus","HP3","","","foot-and-mouth disease virus","foot-and-mouth disease","foot-and-mouth disease virus","virus"
"lumpy skin disease","antidorcas marsupialis","Antibodies",0,"Hedger et al. 1983","CETARTIODACTYLA","BOVIDAE","Antidorcas","marsupialis","Unassigned","Poxviridae","Chordopoxvirinae","Capripoxvirus","DS","DNA","enveloped",FALSE,TRUE,150773,0,0,0,1983,"virus","HP3","","","lumpy skin disease virus","lumpy skin disease","lumpy skin disease virus","virus"
"rift valley fever","antidorcas marsupialis","PCR",2,"Capobianco Dondona 2016","CETARTIODACTYLA","BOVIDAE","Antidorcas","marsupialis","Unassigned","Bunyaviridae",NA,"Phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11979,0,1,1,2016,"virus","HP3","","","rift valley fever virus","rift valley","rift valley fever virus","virus"
"bluetongue","antilocapra americana","Antibodies",0,"Dubay et al. 2006","CETARTIODACTYLA","ANTILOCAPRIDAE","Antilocapra","americana","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2006,"virus","HP3","","","bluetongue virus","bluetongue","bluetongue virus","virus"
"bovine parainfluenza virus 3","antilocapra americana","Antibodies",0,"Dunbar et al. 1999","CETARTIODACTYLA","ANTILOCAPRIDAE","Antilocapra","americana","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Respirovirus","SS","RNA","enveloped",FALSE,TRUE,15468,0,0,0,1999,"virus","HP3","","","bovine parainfluenza virus 3","bovine parainfluenza virus 3","bovine parainfluenza virus 3","virus"
"bovine viral diarrhea virus 1","antilocapra americana","SNT",1,"Barrett and Chalmers 1975","CETARTIODACTYLA","ANTILOCAPRIDAE","Antilocapra","americana","Unassigned","Flaviviridae",NA,"Pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1975,"virus","HP3","","","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","virus"
"epizootic hemorrhagic disease","antilocapra americana","Antibodies",0,"Dubay et al. 2006","CETARTIODACTYLA","ANTILOCAPRIDAE","Antilocapra","americana","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2006,"virus","HP3","","","epizootic hemorrhagic disease virus","epizootic hemorrhagic disease","epizootic hemorrhagic disease virus","virus"
"st. louis encephalitis","antilocapra americana","Antibodies",0,"Williams et al. 2001","CETARTIODACTYLA","ANTILOCAPRIDAE","Antilocapra","americana","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,2001,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"vesicular stomatitis indiana","antilocapra americana","SNT",1,"Webb et al. 1987","CETARTIODACTYLA","ANTILOCAPRIDAE","Antilocapra","americana","Mononegavirales","Rhabdoviridae",NA,"Vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1987,"virus","HP3","","","vesicular stomatitis indiana virus","vesicular stomatitis indiana","vesicular stomatitis indiana virus","virus"
"bluetongue","antilope cervicapra","Antibodies",0,"Bhat et al. 1998","CETARTIODACTYLA","BOVIDAE","Antilope","cervicapra","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1998,"virus","HP3","","","bluetongue virus","bluetongue","bluetongue virus","virus"
"epizootic hemorrhagic disease","antilope cervicapra","Antibodies",0,"Williams et al. 2001","CETARTIODACTYLA","BOVIDAE","Antilope","cervicapra","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2001,"virus","HP3","","","epizootic hemorrhagic disease virus","epizootic hemorrhagic disease","epizootic hemorrhagic disease virus","virus"
