"Parasite","Host","ReferenceText","pmid","doi","title_pubMed"
"taenia hydatigena","dama dama","Kotrly 1964 (in Chapman & Chapman 1987)",NA,NA,NA
"taenia hydatigena","dama dama","Murai & Sugar 1976 (in Chapman & Chapman 1987)",NA,NA,NA
"taenia hydatigena","dama dama","Murai & Sugar 1979 (in Chapman & Chapman 1987)",NA,NA,NA
"taenia hydatigena","dama dama","Sleeman 1983 (in Chapman & Chapman 1987)",NA,NA,NA
"taenia hydatigena","dama dama","Sweatman & Williams 1962 (in Chapman & Chapman 1987)",NA,NA,NA
"theileria cervi","dama dama","Davidson et al 1985","3999248","10.7589/0090-3558-21.2.153","Parasites, diseases, and health status of sympatric populations of fallow deer and white-tailed deer in Kentucky."
"theileria sp.","dama dama","Tampieri et al 2008","18454592","10.1089/vbz.2008.0001","Wild ungulates as Babesia hosts in northern and central Italy."
"toxoplasma gondii","dama dama","Bartova et al. 2007","18163361","10.1645/GE-1126R.1","Prevalence of Neospora caninum and Toxoplasma gondii antibodies in wild ruminants from the countryside or captivity in the Czech Republic."
"toxoplasma gondii","dama dama","Gauss et al 2006","16359801","10.1016/j.vetpar.2005.11.013","Prevalence of Toxoplasma gondii antibodies in red deer (Cervus elaphus) and other wild ruminants from Spain."
"toxoplasma gondii","dama dama","Hejlicek et al 1997","9249693","10.7589/0090-3558-33.3.480","Toxoplasmosis in wild mammals from the Czech Republic."
"trichostrongylus axei","dama dama","Balicka-Ramisz et al. 2005",NA,NA,NA
"trichuris ovis","dama dama","Balicka-Ramisz et al. 2005",NA,NA,NA
"trypanosoma sp.","dama dama","Boese et al 1993","8355998","10.1017/S0031182000079403","Characterization of Megatrypanum trypanosomes from European Cervidae."
"varestrongylus sagittatus","dama dama","Balicka-Ramisz et al. 2005",NA,NA,NA
"bovine alphaherpesvirus 1","dama dama","Frolich 1996","8583646","10.7589/0090-3558-31.2.247","Bovine virus diarrhea and mucosal disease in free-ranging and captive deer (Cervidae) in Germany."
"bovine alphaherpesvirus 1","dama dama","Frolich et al 2006","17255452","10.7589/0090-3558-42.4.836","Serological survey for potential disease agents of free-ranging cervids in six selected national parks from Germany."
"bovine alphaherpesvirus 1","dama dama","Giovannini et al 1988","2832622","10.7589/0090-3558-24.1.127","Serological investigations for some bacterial and viral pathogens in fallow deer (Cervus dama) and wild boar (Sus scrofa) of the San Rossore Preserve, Tuscany, Italy."
"bovine alphaherpesvirus 1","dama dama","Kalman and Egyed 2005","16244057","10.7589/0090-3558-41.3.482","PCR detection of bovine herpesviruses from nonbovine ruminants in Hungary."
"caprine alphaherpesvirus 1","dama dama","Frolich 1996","8583646","10.7589/0090-3558-31.2.247","Bovine virus diarrhea and mucosal disease in free-ranging and captive deer (Cervidae) in Germany."
"cervid alphaherpesvirus 1","dama dama","Frolich 1996","8583646","10.7589/0090-3558-31.2.247","Bovine virus diarrhea and mucosal disease in free-ranging and captive deer (Cervidae) in Germany."
"agriostomum cursoni","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"agriostomum cursoni","damaliscus lunatus","Zieger et al 1998b",NA,NA,NA
"foot-and-mouth disease","damaliscus lunatus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"avitellina centripunctata","damaliscus lunatus","Zieger et al 1998b",NA,NA,NA
"bacillus anthracis","damaliscus lunatus","Ramachandran et al 1988",NA,NA,NA
"calicophron sp.","damaliscus lunatus","Zieger et al 1998b",NA,NA,NA
"cooperia fuelleborni","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"cooperia hungi","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"cooperia sp.","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"cooperia sp.","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"cooperia yoshidai","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"cooperia yoshidai","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"cytauxzoon sp.","damaliscus lunatus","Jardine 1992",NA,NA,NA
"dictyocaulus sp.","damaliscus lunatus","Zieger et al 1998b",NA,NA,NA
"ehrlichia ruminantium","damaliscus lunatus","Kock et al 1995a","7494060","10.1128/JCM.33.9.2501-2504.1995","Detection of Cowdria ruminantium in blood and bone marrow samples from clinically normal, free-ranging Zimbabwean wild ungulates."
"bovine ephemeral fever","damaliscus lunatus","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"bovine ephemeral fever","damaliscus lunatus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"gaigeria pachyscelis","damaliscus lunatus","Zieger et al 1998b",NA,NA,NA
"habronema sp.","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"haemonchus bedfordi","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"haemonchus contortus","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"haemonchus contortus","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"haemonchus sp.","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"impalaia sp.","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"impalaia sp.","damaliscus lunatus","Zieger et al 1998b",NA,NA,NA
"impalaia tuberculata","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"impalaia tuberculata","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"longistrongylus schrenki","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"longistrongylus sp.","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"mycobacterium bovis","damaliscus lunatus","Cleaveland et al. 2005","16107683","10.7589/0090-3558-41.2.446","Tuberculosis in Tanzanian wildlife."
"not identified to genus","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"oesophagostomum columbianum","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"bluetongue","damaliscus lunatus","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"bluetongue","damaliscus lunatus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"akabane","damaliscus lunatus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"parabronema sp.","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"paramphistomum sp.","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"bovine viral diarrhea virus 1","damaliscus lunatus","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"setaria sp.","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"bovine alphaherpesvirus 2","damaliscus lunatus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"skrjabinema sp.","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"skrjabinema sp.","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"strongylus sp.","damaliscus lunatus","Kariuki et al 1989","2619384","10.1080/00034983.1989.11812415","Parasite survey of eight wild animals in the Ruma National Park."
"taenia sp.","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"teladorsagia circumcincta","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"thysaniezia sp.","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"trichostrongylus colubriformis","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"trichostrongylus falculatus","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"trichostrongylus instabilis","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"trichostrongylus sp.","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"trichostrongylus sp.","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"trichostrongylus thomasi","damaliscus lunatus","Boomker et al 1986",NA,NA,NA
"trichostrongylus thomasi","damaliscus lunatus","Reinecke et al 1988",NA,NA,NA
"bovine alphaherpesvirus 1","damaliscus lunatus","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"bovine alphaherpesvirus 1","damaliscus lunatus","Hamblin et al 1990","2123458","10.1017/S0950268800048226","Antibodies to some pathogenic agents in free-living wild species in Tanzania."
"bronchonema magna","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"cooperia rotundispiculum","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"cooperia sp.","damaliscus pygargus","Mares et al 1984",NA,NA,NA
"haemonchus contortus","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"haemonchus contortus","damaliscus pygargus","Mares et al 1984",NA,NA,NA
"longistrongylus curvispiculum","damaliscus pygargus","Boomker and Horak 1992",NA,NA,NA
"longistrongylus curvispiculum","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"longistrongylus namaquensis","damaliscus pygargus","Boomker and Horak 1992",NA,NA,NA
"longistrongylus namaquensis","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"moniezia expansa","damaliscus pygargus","Boomker and Horak 1992",NA,NA,NA
"moniezia expansa","damaliscus pygargus","Mares et al 1984",NA,NA,NA
"crimean-congo hemorrhagic fever nairovirus","damaliscus pygargus","Shepherd et al 1987","3101526","10.4269/ajtmh.1987.36.133","Antibody to Crimean-Congo hemorrhagic fever virus in wild mammals from southern Africa."
"nematodirus spathiger","damaliscus pygargus","Boomker and Horak 1992",NA,NA,NA
"nematodirus spathiger","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"ostertagia ostertagi","damaliscus pygargus","Mares et al 1984",NA,NA,NA
"ostertagia sp.","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"protostrongylus capensis","damaliscus pygargus","Boomker and Horak 1992",NA,NA,NA
"teladorsagia circumcincta","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"trichostrongylus axei","damaliscus pygargus","Boomker and Horak 1992",NA,NA,NA
"trichostrongylus axei","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"trichostrongylus falculatus","damaliscus pygargus","Boomker and Horak 1992",NA,NA,NA
"trichostrongylus pietersei","damaliscus pygargus","Boomker and Horak 1992",NA,NA,NA
"trichostrongylus rugatus","damaliscus pygargus","Boomker and Horak 1992",NA,NA,NA
"trichostrongylus thomasi","damaliscus pygargus","Boomker et al 2000",NA,NA,NA
"ascaris petiti","daubentonia madagascariensis","Chabaud et al. 1965",NA,NA,NA
"lemuricola daubentoniae","daubentonia madagascariensis","Hugot 1999","12066292","10.1080/106351599260120","Primates and their pinworm parasites: the cameron hypothesis revisited."
"mastophorus muris","daubentonia madagascariensis","Chabaud et al. 1965",NA,NA,NA
"trichuris lemuris","daubentonia madagascariensis","Chabaud et al. 1965",NA,NA,NA
"anoplocephala gigantea","diceros bicornis","Knapp et al 1997","9249695","10.7589/0090-3558-33.3.492","Helminths and arthropods of black and white rhinoceroses in southern Africa."
"babesia bicornis","diceros bicornis","Nijhof et al 2003","12734294","10.1128/JCM.41.5.2249-2254.2003","Babesia bicornis sp. nov. and Theileria bicornis sp. nov.: tick-borne parasites associated with mortality in the black rhinoceros (Diceros bicornis)."
"bacillus anthracis","diceros bicornis","Berry 1993","8518440","10.20506/rst.12.1.675","Surveillance and control of anthrax and rabies in wild herbivores and carnivores in Namibia."
"cycloposthium bipalmatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"cycloposthium corrugatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"cycloposthium dentiferum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"cycloposthium edentatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"cycloposthium scutigerum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"diceronema versterae","diceros bicornis","Gibbons et al 1996",NA,NA,NA
"diceronema versterae","diceros bicornis","Knapp et al 1997","9249695","10.7589/0090-3558-33.3.492","Helminths and arthropods of black and white rhinoceroses in southern Africa."
"diplodinium anacanthum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"diplodinium dentatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"diploplastron affine","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"draschia megastoma","diceros bicornis","Knapp et al 1997","9249695","10.7589/0090-3558-33.3.492","Helminths and arthropods of black and white rhinoceroses in southern Africa."
"elyplastron bubali","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"entodinium bicornutum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"entodinium bursa","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"entodinium caudatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"entodinium dubardi","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"entodinium furca","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"entodinium minimum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"entodinium rectangulatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"epidinium bulbiferum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"epidinium caudatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"epidinium gigas","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"eudiplodinium maggi","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"kiluluma goodeyi","diceros bicornis","Knapp et al 1997","9249695","10.7589/0090-3558-33.3.492","Helminths and arthropods of black and white rhinoceroses in southern Africa."
"kiluluma magna","diceros bicornis","Knapp et al 1997","9249695","10.7589/0090-3558-33.3.492","Helminths and arthropods of black and white rhinoceroses in southern Africa."
"kiluluma rhinocerotis","diceros bicornis","Knapp et al 1997","9249695","10.7589/0090-3558-33.3.492","Helminths and arthropods of black and white rhinoceroses in southern Africa."
"leptospira interrogans","diceros bicornis","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"leptospira interrogans","diceros bicornis","Fischer-Tenhagen et al 2000","10813614","10.7589/0090-3558-36.2.316","Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa."
"metadinium medium","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"crimean-congo hemorrhagic fever nairovirus","diceros bicornis","Shepherd et al 1987","3101526","10.4269/ajtmh.1987.36.133","Antibody to Crimean-Congo hemorrhagic fever virus in wild mammals from southern Africa."
"african horse sickness","diceros bicornis","Fischer-Tenhagen et al 2000","10813614","10.7589/0090-3558-36.2.316","Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa."
"bluetongue","diceros bicornis","Fischer-Tenhagen et al 2000","10813614","10.7589/0090-3558-36.2.316","Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa."
"epizootic hemorrhagic disease","diceros bicornis","Fischer-Tenhagen et al 2000","10813614","10.7589/0090-3558-36.2.316","Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa."
"akabane","diceros bicornis","Fischer-Tenhagen et al 2000","10813614","10.7589/0090-3558-36.2.316","Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa."
"ostracodinium gracile","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"ostracodinium mammosum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"ostracodinium trivesiculatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"oxyuris karamoja","diceros bicornis","Knapp et al 1997","9249695","10.7589/0090-3558-33.3.492","Helminths and arthropods of black and white rhinoceroses in southern Africa."
"parabronema roundi","diceros bicornis","Knapp et al 1997","9249695","10.7589/0090-3558-33.3.492","Helminths and arthropods of black and white rhinoceroses in southern Africa."
"bovine viral diarrhea virus 1","diceros bicornis","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"bovine viral diarrhea virus 1","diceros bicornis","Fischer-Tenhagen et al 2000","10813614","10.7589/0090-3558-36.2.316","Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa."
"rift valley phlebovirus","diceros bicornis","Anderson & Rowe 1998","9825798","10.1017/S0950268898001289","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe."
"polyplastron multivesiculatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"probstmayria vivipara","diceros bicornis","Knapp et al 1997","9249695","10.7589/0090-3558-33.3.492","Helminths and arthropods of black and white rhinoceroses in southern Africa."
"human parainfluenza virus 3","diceros bicornis","Fischer-Tenhagen et al 2000","10813614","10.7589/0090-3558-36.2.316","Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa."
"spirodinium equi","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"tetratoxum parvum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"tetratoxum unifasciculatum","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"theileria bicornis","diceros bicornis","Nijhof et al 2003","12734294","10.1128/JCM.41.5.2249-2254.2003","Babesia bicornis sp. nov. and Theileria bicornis sp. nov.: tick-borne parasites associated with mortality in the black rhinoceros (Diceros bicornis)."
"toxoplasma gondii","diceros bicornis","Hove and Mukaratirwa 2005","15777687","10.1016/j.actatropica.2004.10.010","Seroprevalence of Toxoplasma gondii in farm-reared ostriches and wild game species from Zimbabwe."
"triadinium galea","diceros bicornis","Obanda et al 2007b",NA,NA,NA
"trypanosoma congolense","diceros bicornis","Mihok et al 1992",NA,NA,NA
"bovine alphaherpesvirus 1","diceros bicornis","Fischer-Tenhagen et al 2000","10813614","10.7589/0090-3558-36.2.316","Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa."
"equid alphaherpesvirus 1","diceros bicornis","Fischer-Tenhagen et al 2000","10813614","10.7589/0090-3558-36.2.316","Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa."
"arcanobacterium phocae","enhydra lutris","Johnson et al. 2003a","12685077","10.7589/0090-3558-39.1.136","Characterization and clinical manifestations of Arcanobacterium phocae infections in marine mammals stranded along the central California coast."
"arcanobacterium phocae","enhydra lutris","Kreuder et al. 2003","14567210","10.7589/0090-3558-39.3.495","Patterns of mortality in southern sea otters (Enhydra lutris nereis) from 1998-2001."
"bordetella bronchiseptica","enhydra lutris","Staveley et al. 2003","14667021","10.1177/104063870301500610","Molecular and antigenic characterization of Bordetella bronchiseptica isolated from a wild southern sea otter (Enhydra lutris nereis) with severe suppurative bronchopneumonia."
"brucella sp.","enhydra lutris","Hanni et al. 2003","14733279","10.7589/0090-3558-39.4.837","Clinical pathology and assessment of pathogen exposure in southern and Alaskan sea otters."
"campylobacter sp.","enhydra lutris","Miller et al. 2010","19720009","10.1051/vetres/2009049","Enteric bacterial pathogen detection in southern sea otters (Enhydra lutris nereis) is associated with coastal urbanization and freshwater runoff."
"cardiovirus a","enhydra lutris","Kreuder et al. 2005","15757130","10.2460/ajvr.2005.66.289","Evaluation of cardiac lesions and risk factors associated with myocarditis and dilated cardiomyopathy in southern sea otters (Enhydra lutris nereis)."
"clostridioides difficile","enhydra lutris","Miller et al. 2010","19720009","10.1051/vetres/2009049","Enteric bacterial pathogen detection in southern sea otters (Enhydra lutris nereis) is associated with coastal urbanization and freshwater runoff."
"clostridium perfringens","enhydra lutris","Miller et al. 2010","19720009","10.1051/vetres/2009049","Enteric bacterial pathogen detection in southern sea otters (Enhydra lutris nereis) is associated with coastal urbanization and freshwater runoff."
"corynosoma enhydri","enhydra lutris","Margolis et al. 1997",NA,NA,NA
"corynosoma enhydri","enhydra lutris","Mayer et al. 2003","12608572","10.3354/dao053077","Helminth parasites of the southern sea otter Enhydra lutris nereis in central California: abundance, distribution and pathology."
"corynosoma sp.","enhydra lutris","Miller et al. 2001b","11293576","10.1007/s004360000340","Isolation and characterization of Sarcocystis from brain tissue of a free-living southern sea otter (Enhydra lutris nereis) with fatal meningoencephalitis."
"diplogonoporus tetrapterus","enhydra lutris","Margolis et al. 1997",NA,NA,NA
"leptospira interrogans","enhydra lutris","Hanni et al. 2003","14733279","10.7589/0090-3558-39.4.837","Clinical pathology and assessment of pathogen exposure in southern and Alaskan sea otters."
"leptospira interrogans","enhydra lutris","Kreuder et al. 2005","15757130","10.2460/ajvr.2005.66.289","Evaluation of cardiac lesions and risk factors associated with myocarditis and dilated cardiomyopathy in southern sea otters (Enhydra lutris nereis)."
"microphallus nicolli","enhydra lutris","Mayer et al. 2003","12608572","10.3354/dao053077","Helminth parasites of the southern sea otter Enhydra lutris nereis in central California: abundance, distribution and pathology."
"microphallus pirum","enhydra lutris","Mayer et al. 2003","12608572","10.3354/dao053077","Helminth parasites of the southern sea otter Enhydra lutris nereis in central California: abundance, distribution and pathology."
"sp.","enhydra lutris","Sundar et al. 2008b","18155841","10.1016/j.vetpar.2007.11.012","Genetic diversity among sea otter isolates of Toxoplasma gondii."
"neospora caninum","enhydra lutris","Dubey et al. 2003b",NA,NA,NA
"orthosplanchnus fraterculus","enhydra lutris","Margolis et al. 1997",NA,NA,NA
"plenosoma minimum","enhydra lutris","Mayer et al. 2003","12608572","10.3354/dao053077","Helminth parasites of the southern sea otter Enhydra lutris nereis in central California: abundance, distribution and pathology."
"plesiomonas shigelloides","enhydra lutris","Miller et al. 2010","19720009","10.1051/vetres/2009049","Enteric bacterial pathogen detection in southern sea otters (Enhydra lutris nereis) is associated with coastal urbanization and freshwater runoff."
"polymorphus major","enhydra lutris","Mayer et al. 2003","12608572","10.3354/dao053077","Helminth parasites of the southern sea otter Enhydra lutris nereis in central California: abundance, distribution and pathology."
"profilicollis altmani","enhydra lutris","Mayer et al. 2003","12608572","10.3354/dao053077","Helminth parasites of the southern sea otter Enhydra lutris nereis in central California: abundance, distribution and pathology."
"profilicollis sp.","enhydra lutris","Kreuder et al. 2003","14567210","10.7589/0090-3558-39.3.495","Patterns of mortality in southern sea otters (Enhydra lutris nereis) from 1998-2001."
"pseudoterranova decipiens","enhydra lutris","Margolis et al. 1997",NA,NA,NA
"salmonella sp.","enhydra lutris","Miller et al. 2010","19720009","10.1051/vetres/2009049","Enteric bacterial pathogen detection in southern sea otters (Enhydra lutris nereis) is associated with coastal urbanization and freshwater runoff."
"sarcocystis neurona","enhydra lutris","Dubey et al. 2001c",NA,NA,NA
"sarcocystis neurona","enhydra lutris","Dubey et al. 2003a",NA,NA,NA
"sarcocystis neurona","enhydra lutris","Johnson et al. 2009","19164513","10.1073/pnas.0806449106","Prey choice and habitat use drive sea otter pathogen exposure in a resource-limited coastal system."
"sarcocystis neurona","enhydra lutris","Kreuder et al. 2003","14567210","10.7589/0090-3558-39.3.495","Patterns of mortality in southern sea otters (Enhydra lutris nereis) from 1998-2001."
"sarcocystis neurona","enhydra lutris","Kreuder et al. 2005","15757130","10.2460/ajvr.2005.66.289","Evaluation of cardiac lesions and risk factors associated with myocarditis and dilated cardiomyopathy in southern sea otters (Enhydra lutris nereis)."
"sarcocystis neurona","enhydra lutris","Lindsay et al. 2000",NA,NA,NA
"sarcocystis neurona","enhydra lutris","Lindsay et al. 2001d",NA,NA,NA
"sarcocystis neurona","enhydra lutris","Miller et al. 2001b","11293576","10.1007/s004360000340","Isolation and characterization of Sarcocystis from brain tissue of a free-living southern sea otter (Enhydra lutris nereis) with fatal meningoencephalitis."
"sarcocystis neurona","enhydra lutris","Miller et al. 2009b","19527725","10.1016/j.ijpara.2009.04.014","Ultrastructural and molecular confirmation of the development of Sarcocystis neurona tissue cysts in the central nervous system of southern sea otters (Enhydra lutris nereis)."
"sarcocystis neurona","enhydra lutris","Sundar et al. 2008a","18243561","10.1016/j.vetpar.2007.12.017","Modest genetic differentiation among North American populations of Sarcocystis neurona may reflect expansion in its geographic range."
"sarcocystis neurona","enhydra lutris","Sundar et al. 2008b","18155841","10.1016/j.vetpar.2007.11.012","Genetic diversity among sea otter isolates of Toxoplasma gondii."
"sarcocystis neurona","enhydra lutris","Thomas et al. 2007","17692867","10.1016/j.jcpa.2007.05.001","Protozoal meningoencephalitis in sea otters (Enhydra lutris): a histopathological and immunohistochemical study of naturally occurring cases."
"sarcocystis sp.","enhydra lutris","Dubey et al. 2003a",NA,NA,NA
"streptococcus dysgalactiae","enhydra lutris","Imai et al. 2009","19117701","10.1016/j.vetmic.2008.11.009","Characterization of beta-hemolytic streptococci isolated from southern sea otters (Enhydra lutris nereis) stranded along the California coast."
"streptococcus phocae","enhydra lutris","Imai et al. 2009","19117701","10.1016/j.vetmic.2008.11.009","Characterization of beta-hemolytic streptococci isolated from southern sea otters (Enhydra lutris nereis) stranded along the California coast."
"toxoplasma gondii","enhydra lutris","Cole et al. 2000",NA,NA,NA
"toxoplasma gondii","enhydra lutris","Dubey et al. 2003b",NA,NA,NA
"toxoplasma gondii","enhydra lutris","Hanni et al. 2003","14733279","10.7589/0090-3558-39.4.837","Clinical pathology and assessment of pathogen exposure in southern and Alaskan sea otters."
"toxoplasma gondii","enhydra lutris","Johnson et al. 2009","19164513","10.1073/pnas.0806449106","Prey choice and habitat use drive sea otter pathogen exposure in a resource-limited coastal system."
"toxoplasma gondii","enhydra lutris","Kreuder et al. 2003","14567210","10.7589/0090-3558-39.3.495","Patterns of mortality in southern sea otters (Enhydra lutris nereis) from 1998-2001."
"toxoplasma gondii","enhydra lutris","Kreuder et al. 2005","15757130","10.2460/ajvr.2005.66.289","Evaluation of cardiac lesions and risk factors associated with myocarditis and dilated cardiomyopathy in southern sea otters (Enhydra lutris nereis)."
"toxoplasma gondii","enhydra lutris","Lindsay et al. 2001d",NA,NA,NA
"toxoplasma gondii","enhydra lutris","Miller et al. 2002a",NA,NA,NA
"toxoplasma gondii","enhydra lutris","Miller et al. 2008a","18304737","10.1016/j.vetpar.2008.01.015","Transplacental toxoplasmosis in a wild southern sea otter (Enhydra lutris nereis)."
"toxoplasma gondii","enhydra lutris","Miller et al. 2009b","19527725","10.1016/j.ijpara.2009.04.014","Ultrastructural and molecular confirmation of the development of Sarcocystis neurona tissue cysts in the central nervous system of southern sea otters (Enhydra lutris nereis)."
"toxoplasma gondii","enhydra lutris","Sundar et al. 2008b","18155841","10.1016/j.vetpar.2007.11.012","Genetic diversity among sea otter isolates of Toxoplasma gondii."
"toxoplasma gondii","enhydra lutris","Thomas et al. 2007","17692867","10.1016/j.jcpa.2007.05.001","Protozoal meningoencephalitis in sea otters (Enhydra lutris): a histopathological and immunohistochemical study of naturally occurring cases."
"sp.","enhydra lutris","Reimer and Lipscomb 1998",NA,NA,NA
"vibrio alginolyticus","enhydra lutris","Miller et al. 2010","19720009","10.1051/vetres/2009049","Enteric bacterial pathogen detection in southern sea otters (Enhydra lutris nereis) is associated with coastal urbanization and freshwater runoff."
"vibrio cholerae","enhydra lutris","Miller et al. 2010","19720009","10.1051/vetres/2009049","Enteric bacterial pathogen detection in southern sea otters (Enhydra lutris nereis) is associated with coastal urbanization and freshwater runoff."
