"Pathogen_Original","InAssoc","Pathogen_Harmonised"
"gammapapillomavirus 19",FALSE,""
"gammapapillomavirus 2",FALSE,""
"gammapapillomavirus 20",FALSE,""
"gammapapillomavirus 3",FALSE,""
"gammapapillomavirus 4",FALSE,""
"gammapapillomavirus 5",FALSE,""
"gammapapillomavirus 6",FALSE,""
"gammapapillomavirus 7",FALSE,""
"gammapapillomavirus 8",FALSE,""
"gammapapillomavirus 9",FALSE,""
"gardner-arnstein feline sarcoma",FALSE,""
"getah",TRUE,"getah"
"gibbon ape leukemia",TRUE,"gibbon ape leukemia"
"goatpox",TRUE,"goatpox"
"gorilline gammaherpesvirus 1",FALSE,""
"great island",TRUE,"great island"
"ground squirrel hepatitis",TRUE,"ground squirrel hepatitis"
"guajara orthobunyavirus",FALSE,""
"guama orthobunyavirus",FALSE,""
"guanarito mammarenavirus",FALSE,""
"guaroa orthobunyavirus",FALSE,""
"guinea pig type-c oncovirus",TRUE,"guinea pig type-c oncovirus"
"hantaan hantavirus",FALSE,""
"hardy-zuckerman feline sarcoma",FALSE,""
"hare fibroma",TRUE,"hare fibroma"
"harvey murine sarcoma",FALSE,""
"hendra",TRUE,"hendra"
"hepatitis b",TRUE,"hepatitis b"
"hepatitis c",TRUE,"hepatitis c"
"hepatitis delta",TRUE,"hepatitis delta"
"hepatovirus a",TRUE,"hepatovirus a"
"highlands j",TRUE,"highlands j"
"hippotragine gammaherpesvirus 1",FALSE,""
"hughes nairovirus",FALSE,""
"human alphaherpesvirus 1",FALSE,""
"human alphaherpesvirus 2",FALSE,""
"human alphaherpesvirus 3",FALSE,""
"human betaherpesvirus 5",FALSE,""
"human betaherpesvirus 6a",FALSE,""
"human betaherpesvirus 6b",FALSE,""
"human betaherpesvirus 7",FALSE,""
"human coronavirus 229e",TRUE,"human coronavirus 229e"
"human coronavirus hku1",FALSE,""
"human coronavirus nl63",FALSE,""
"human gammaherpesvirus 4",TRUE,"human gammaherpesvirus 4"
"human gammaherpesvirus 8",TRUE,"human gammaherpesvirus 8"
"human immunodeficiency virus 1",TRUE,"human immunodeficiency virus 1"
"human immunodeficiency virus 2",TRUE,"human immunodeficiency virus 2"
"human mastadenovirus a",TRUE,"human mastadenovirus a"
"human mastadenovirus b",TRUE,"human mastadenovirus b"
"human mastadenovirus c",TRUE,"human mastadenovirus c"
"human mastadenovirus d",TRUE,"human mastadenovirus d"
"human mastadenovirus e",TRUE,"human mastadenovirus e"
"human mastadenovirus f",TRUE,"human mastadenovirus f"
"human mastadenovirus g",FALSE,""
"human metapneumovirus",TRUE,"human metapneumovirus"
"human parainfluenza virus 1",TRUE,"human parainfluenza virus 1"
"human parainfluenza virus 2",TRUE,"human parainfluenza virus 2"
"human parainfluenza virus 3",TRUE,"human parainfluenza virus 3"
"human parainfluenza virus 4",TRUE,"human parainfluenza virus 4"
"human picobirnavirus",TRUE,"human picobirnavirus"
"human polyomavirus 1",FALSE,""
"human polyomavirus 2",FALSE,""
"human respiratory syncytial",TRUE,"human respiratory syncytial"
"human torovirus",TRUE,"human torovirus"
"hunnivirus a",FALSE,""
"ikoma lyssavirus",FALSE,""
"ilheus",TRUE,"ilheus"
"indiana vesiculovirus",TRUE,"indiana vesiculovirus"
"influenza a",TRUE,"influenza a"
"influenza b",TRUE,"influenza b"
"influenza c",TRUE,"influenza c"
