Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
achelia sawayai,Arthropod,homarus americanus,Arthropod,1,0,239829090,
achlya bisexualis,Water Mould,mugil gyrans,Fish,2,0,89274954;89274955,
acholeplasma brassicae,Bacteria,brassica oleracea,Higher Plants,1,0,44240859,
acholeplasma cavigenitalium,Bacteria,cavia porcellus,Domestic,1,0,44240894,
acholeplasma equifetale,Bacteria,equus caballus,Domestic,2,0,44240920;343198583,
acholeplasma granularum,Bacteria,sus scrofa,Domestic,1,0,44240963,
acholeplasma hippikon,Bacteria,equus caballus,Domestic,2,0,44241001;343198585,
acholeplasma laidlawii,Bacteria,bos taurus,Domestic,1,15,347809890,935661;1265354;1307416;1462726;4513156;4911537;6433583;6615132;7199239;7337908;8161186;8434920;8497202;14114935;20710124
acholeplasma laidlawii,Bacteria,gallus gallus,Domestic,1,2,73476172,18766648;1081171
acholeplasma laidlawii,Bacteria,ovis aries,Domestic,2,4,356667847;356667848,4356073;4919991;6433583;7064318
acholeplasma laidlawii,Bacteria,trichechus manatus,Mammal,1,0,221327631,
acholeplasma morum,Bacteria,bos taurus,Domestic,1,0,44241051,
acholeplasma parvum,Bacteria,equus caballus,Domestic,1,0,44241171,
acholeplasma phage l2,Virus,acholeplasma laidlawii,Bacteria,1,0,9626510,
achromobacter denitrificans,Bacteria,achromobacter xylosoxidans,Bacteria,1,4,13508549,3788350;10488211;11191814;11491321
achromobacter denitrificans,Bacteria,homo sapiens,Human,1,0,224995020,
achromobacter insolitus,Bacteria,triticum aestivum,Higher Plants,1,0,88604815,
achromobacter piechaudii,Bacteria,glomus intraradices,Fungi,1,0,194273666,
achromobacter piechaudii,Bacteria,homo sapiens,Human,1,0,290889362,
achromobacter piechaudii,Bacteria,nepenthes mirabilis,Higher Plants,1,0,334980898,
achromobacter piechaudii,Bacteria,thorectes lusitanicus,Arthropod,1,0,327178034,
achromobacter xylosoxidans,Bacteria,brassica rapa,Higher Plants,1,0,171191189,
achromobacter xylosoxidans,Bacteria,bursaphelenchus mucronatus,Helminth,1,0,327207219,
achromobacter xylosoxidans,Bacteria,clitoria ternatea,Higher Plants,3,0,302371586;304313590;304313591,
achromobacter xylosoxidans,Bacteria,glomus intraradices,Fungi,1,0,194273665,
achromobacter xylosoxidans,Bacteria,hedera helix,Higher Plants,1,0,21327149,
achromobacter xylosoxidans,Bacteria,homo sapiens,Human,33,10,285800532;285800533;285800534;285800535;285800536;285800537;285800538;285800539;285800540;285800541;285800542;285800543;285800544;285800545;285800546;285800547;285800548;285800549;285800550;285800551;285800552;285800553;285800554;285800555;285800556;285800557;285800558;285800559;285800560;285800561;297179872;297179874;308097804,360830;554008;11891518;11923333;12455705;12892129;14555458;16002239;18408852;19722651
achromobacter xylosoxidans,Bacteria,larimichthys crocea,Fish,1,0,300253400,
achromobacter xylosoxidans,Bacteria,porphyra yezoensis,Other Plant,1,0,261876412,
achromobacter xylosoxidans,Bacteria,prosopis juliflora,Higher Plants,1,0,319430310,
achromobacter xylosoxidans,Bacteria,prosopis strombulifera,Higher Plants,1,0,189014690,
achromobacter xylosoxidans,Bacteria,solenopsis invicta,Arthropod,1,0,61658338,
achromobacter xylosoxidans,Bacteria,turdus merula,Aves,2,0,121621927;239516425,
achromobacter xylosoxidans,Bacteria,vigna mungo,Higher Plants,1,0,289191153,
achromobacter xylosoxidans,Bacteria,zea mays,Higher Plants,4,0,317159842;317159843;330688349;330688360,
acidaminococcus fermentans,Bacteria,capra hircus,Domestic,3,0,514255596;514255595;514255594,
acidaminococcus fermentans,Bacteria,homo sapiens,Human,0,7,,17911303;11036038;10964512;10952584;9083111;8648152;4589136
acidianus bottle-shaped virus,Virus,acidianus convivator,Others,2,0,145559108;146411811,
acidianus filamentous virus 1,Virus,acidianus hospitalis,Others,1,0,37719005,
acidianus filamentous virus 1,Virus,acidianus infernus,Others,1,0,45655866,
acidianus filamentous virus 2,Virus,acidianus pozzuoliensis,Others,2,0,62147343;157929273,
acidianus filamentous virus 6,Virus,acidianus convivator,Others,1,0,162329357,
acidianus filamentous virus 7,Virus,acidianus convivator,Others,1,0,162329424,
acidianus filamentous virus 8,Virus,acidianus convivator,Others,1,0,162329482,
acidianus two-tailed virus,Virus,acidianus convivator,Others,1,0,75750386,
acidocella aluminiidurans,Bacteria,panicum repens,Higher Plants,1,0,190356729,
acidomonas methanolica,Bacteria,asobara tabida,Arthropod,1,0,226933853,
acidomonas methanolica,Bacteria,saccharicoccus sacchari,Arthropod,1,0,4894725,
acidoproctus emersoni,Arthropod,dendrocygna eytoni,Aves,2,0,32454914;33088079,
