Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
halobacillus mangrovi,Bacteria,avicennia germinans,Higher Plants,2,0,114215646;343198911,
halocercus invaginatus,Helminth,phocoena phocoena,Mammal,1,0,34305647,
halomonas desiderata,Bacteria,arthrospira platensis,Bacteria,1,0,258596832,
halomonas gomseomensis,Bacteria,populus euphratica,Higher Plants,1,0,345107128,
halomonas halocynthiae,Bacteria,halocynthia aurantium,Others,2,0,16605584;219878369,
halomonas meridiana,Bacteria,populus euphratica,Higher Plants,1,0,345107165,
halomonas sulfidaeris,Bacteria,populus euphratica,Higher Plants,4,0,306035149;345107119;345107157;345107168,
halomonas variabilis,Bacteria,tamarix aphylla,Higher Plants,1,0,393717504,
halomonas venusta,Bacteria,hypnea musciformis,Other Plant,1,0,315940040,
halomonhystera disjuncta,Helminth,homarus americanus,Arthropod,1,0,227437471,
halophila ovalis,Higher Plants,siganus fuscescens,Fish,1,0,256372832,
halysiorhynchus macrocephalus,Helminth,pastinachus sephen,Fish,2,0,110831960;110832024,
hammerschmidtiella cristata,Helminth,gromphadorhina portentosa,Arthropod,1,0,169657384,
hammerschmidtiella diesingi,Helminth,blatta orientalis,Arthropod,1,0,169657383,
hammerschmidtiella diesingi,Helminth,periplaneta americana,Arthropod,1,0,401761449,
hammerschmidtiella indicus,Helminth,periplaneta americana,Arthropod,1,0,294861213,
hammondia hammondi,Protozoa,felis catus,Domestic,14,19,66269344;66269345;157072706;157072707;157072708;157384613;157384614;187370820;187370821;187370822;187370823;187370824;187370825;187370826,325203;410914;735301;807048;824260;825096;1386109;6439859;7472890;9645881;10608437;11191919;14572507;16153883;16197949;18226453;21739375;3310460;496490
hammondia heydorni,Protozoa,canis lupus,Mammal,15,18,22532102;22532103;22532170;27413439;27461318;71842718;71842719;79153213;301558007;301558008;301558011;301559014;301560017;301560020;312598081,2219110;2810143;6440344;6636986;8261912;9760058;10608437;11682519;11688895;11913555;11936509;14627168;15037103;15525434;15715229;16197949;17547641;21739375
hammondia heydorni,Protozoa,canis lupus familiaris,Domestic,15,18,22532102;22532103;22532170;27413439;27461318;71842718;71842719;79153213;301558007;301558008;301558011;301559014;301560017;301560020;312598081,2219110;2810143;6440344;6636986;8261912;9760058;10608437;11682519;11688895;11913555;11936509;14627168;15037103;15525434;15715229;16197949;17547641;21739375
hammondia heydorni,Protozoa,capra hircus,Domestic,4,0,206114308;206114309;206114310;206114311,
hammondia triffittae,Protozoa,vulpes vulpes,Mammal,12,0,301558005;301558006;301558009;301558010;301558012;301559013;301559015;301560016;301560018;301560019;301560021;301560023,
hamster polyomavirus,Virus,mesocricetus auratus,Domestic,1,0,393827428,
hannaella zeae,Fungi,diabrotica virgifera,Arthropod,1,0,90968047,
hannaella zeae,Fungi,ostrinia nubilalis,Arthropod,4,0,90968046;93003831;93003832;109940714,
hanseniaspora uvarum,Fungi,ostrinia nubilalis,Arthropod,1,0,90398872,
hanseniaspora uvarum,Fungi,trichogramma chilonis,Arthropod,1,0,325980405,
hanseniaspora vineae,Fungi,corydalus cornutus,Arthropod,1,0,109810190,
hantaan virus,Virus,apodemus agrarius,Rodent,122,28,1389700;1389702;1945366;1945368;1945370;1945372;1945374;1945376;1945378;1945380;6941837;6941839;6941841;6941843;6941845;6941847;6941849;6941851;6941854;6941856;6941858;16519002;16519004;16519006;16755738;16755740;16755742;39573680;39573686;125656353;125656355;125656357;125656358;125656377;125656379;125656381;125656383;154622992;154622994;154622996;154622998;154623000;154623002;154623020;154623022;154623024;154623026;154623028;154623030;156144496;156144498;156144500;156144502;156144504;156144506;157886245;157886247;157886258;157886260;157886273;157886275;171222418;219810395;219810397;219810399;219810401;224611840;224611842;224611844;224611845;238915384;255661419;255661421;255661423;255661425;255661427;255661429;255661431;255661433;255661435;255661437;268321130;268321134;268321138;268321142;268321146;268321150;268321154;268321158;268321162;268321166;268321170;268321174;268321178;268321182;269999943;269999945;269999947;269999949;269999951,2861296;2869749;3926952;6116436;6127366;6134336;6141786;6207309;7694967;8950687;10073697;10497981;11129640;11593522;11860833;12163608;14521790;15033559;18632971;19523286;19750821;19856478;20678311;20836826;21441196;21635640;19891878;19263858
hantaan virus,Virus,apodemus peninsulae,Rodent,28,0,16519008;16519010;16519012;16519014;16755744;16755746;16755748;16755750;58272376;125656351;125656360;125656362;125656364;125656365;125656367;125656369;125656371;125656373;125656375;125656384;125656385;125656387;125656389;125656391;125656393;125656395;125656397;157886269,
hantaan virus,Virus,crocidura russula,Mammal,2,0,17224521;17224523,
hantaan virus,Virus,homo sapiens,Human,21,49,154622988;154622990;154623016;154623018;156144494;156144495;157886243;157886251;157886271;164453029;164453031;169640782;169640790;169640800;169640802;197725933;197725935;223469966;223469968;223469970;223469972,1346088;1686857;1982032;2572978;2888688;2895603;2900289;3147808;3882732;3885776;6121225;6134591;6540294;7801638;7956485;8758348;9182194;9278220;9280013;10664598;10921972;12706090;12706671;14527557;14981768;15033559;15218176;15634536;15636134;15919886;16513381;16973572;17217009;18394724;18719741;19126382;19208975;19301945;19751407;20071485;20193583;20466689;20648614;20725844;20822577;21632559;19040288;9206197;1976488
hantaan virus,Virus,mus musculus,Domestic,2,18,124302177;124302187,2900550;3882732;6134591;6141786;6408643;7783676;8102632;8585284;8950687;9298732;11860754;12163608;12706671;14696782;15218176;18612586;19263858;20654145
hantaan virus,Virus,niviventer confucianus,Rodent,3,0,283771387;283771389;283771391,
hantaan virus,Virus,rattus nitidus,Rodent,3,0,169640788;169640794;197725940,
hantaan virus,Virus,rattus norvegicus,Domestic,24,55,154622980;154622982;154622984;154622986;154623008;154623010;154623012;154623014;156144486;156144488;156144490;156144492;157886249;157886267;157886277;169640780;169640784;169640786;169640792;169640796;169640798;197725936;197725938;197725939,1840609;1962503;1970443;1976488;1982032;2425998;2476002;2861241;2862803;2866197;2888688;2890696;2895603;2951694;2951696;2984144;3882732;3885776;3926952;6127366;6134336;6134591;6431033;6436305;6440908;6442757;6540294;7522942;7694967;7903711;7909976;7956485;8950687;11118357;11593522;11860833;12482368;12638233;12682619;14521790;14696782;15231118;15340537;15769318;16927115;17217009;17405352;18632971;19263858;19523286;20193387;20678311;21162871;22108583;21937858
hantaan virus,Virus,rattus rattus,Domestic,0,7,,2895603;6127366;6134336;8950687;11118357;12850202;14696782
hapalorhynchus gracilis,Helminth,chelydra serpentina,Reptile,2,0,51475504;51475512,
hapalotrema mehrai,Helminth,chelonia mydas,Reptile,2,0,51475502;51475510,
hapalotrema mistroides,Helminth,caretta caretta,Reptile,1,0,294718449,
hapalotrema pambanensis,Helminth,caretta caretta,Reptile,1,0,294718450,
hapalotrema postorchis,Helminth,chelonia mydas,Reptile,1,0,294718451,
hapladena nasonis,Helminth,naso unicornis,Fish,2,0,31662340;31711625,
haplobothrium globuliforme,Helminth,amia calva,Fish,4,0,6467274;6467298;14388849;47420343,
haplochthonius simplex,Arthropod,hirundo rustica,Aves,2,0,189039471;256665405,
haplometrana intestinalis,Helminth,rana luteiventris,Amphibian,2,0,61394240;313769392,
haploporus benedeni,Helminth,liza ramado,Fish,3,0,225906726;225906735;225906745,
haplorchis popelkae,Helminth,elseya dentata,Reptile,2,0,215480658;215480660,
haplorchis popelkae,Helminth,emydura victoriae,Reptile,1,0,215480659,
haplorchis pumilio,Helminth,anabas testudineus,Fish,2,0,328751350;328751348,
haplorchis pumilio,Helminth,canis lupus,Mammal,2,0,240266049;240266050,
haplorchis pumilio,Helminth,canis lupus familiaris,Domestic,2,0,240266049;240266050,
haplorchis pumilio,Helminth,felis catus,Domestic,6,1,240266043;240266044;240266045;599126415;599126416;599126417,18564743
haplorchis pumilio,Helminth,homo sapiens,Human,2,3,308387066;308387067,18564743;19038411;21959023
haplorchis pumilio,Helminth,hypophthalmichthys molitrix,Fish,1,0,194369504,
haplorchis pumilio,Helminth,melanoides tuberculata,Mollusca,10,0,194369502;417451322;417451324;417451334;417451336;417451338;417451340;417451342;417451345;417451347,
haplorchis pumilio,Helminth,mus musculus,Domestic,1,0,194369507,
haplorchis pumilio,Helminth,pangasianodon hypophthalmus,Fish,4,0,282766036;282766037;282766040;282766045,
haplorchis pumilio,Helminth,trichogaster trichopterus,Fish,11,0,299889010;299889011;299889012;299889013;328751315;328751316;328751317;328751327;328751340;328751345;328751349,
haplorchis taichui,Helminth,felis catus,Domestic,3,3,240266057;240266058;240266059,1822881;1822938;19563805
haplorchis taichui,Helminth,homo sapiens,Human,1,4,240266055,1820654;1822881;19038411;21959023
haplorchis taichui,Helminth,labeo rohita,Fish,1,0,194369506,
haplorchis taichui,Helminth,pangasianodon hypophthalmus,Fish,1,0,282766038,
haplorchis yokogawai,Helminth,homo sapiens,Human,0,5,,20644958;19724697;19038411;1822877;1818399
haplorchis yokogawai,Helminth,mystus singaringan,Fish,9,0,328751362;328751361;328751352;328751346;328751332;328751331;328751314;328751313;328751312,
haplosplanchnus pachysomus,Helminth,liza ramado,Fish,2,0,225906722;225906739,
haplosplanchnus purii,Helminth,mugil cephalus,Fish,2,0,225906723;225906740,
haplosporidium costale,Protozoa,crassostrea virginica,Mollusca,2,0,971186;42405856,
haplosporidium louisiana,Protozoa,panopeus herbstii,Arthropod,4,0,42405858;42405860;42405862;42405864,
haplosporidium montforti,Protozoa,haliotis tuberculata,Mollusca,1,0,77696470,
haplosporidium nelsoni,Protozoa,crassostrea virginica,Mollusca,1,0,42405866,
haplothrips chinensis,Arthropod,mangifera indica,Higher Plants,4,0,302121686;302121687;302121688;302121689,
hardenbergia mosaic virus,Virus,hardenbergia comptoniana,Higher Plants,38,0,117643851;117643853;117643855;117643857;117643859;117643861;117643863;117643865;117643867;117643869;117643871;117643873;117643875;117643877;117643879;117643881;117643883;117643885;117643887;117643889;117643891;117643893;117643895;117643897;117643899;117643901;117643903;148841014;148841016;190133778;281190567;300251006;325930237;325930241;325930243;327554160;327554162;335352402,
hardenbergia mosaic virus,Virus,hardenbergia violacea,Higher Plants,1,0,148841012,
hardenbergia mosaic virus,Virus,hibbertia scandens,Higher Plants,1,0,325930239,
harriscolex kaparari,Helminth,pseudoplatystoma tigrinum,Fish,2,0,6523319;6523320,
harrisoniella densa,Arthropod,phoebastria immutabilis,Aves,4,0,14164749;21635587;21635779;27369181,
harrisoniella ferox,Arthropod,thalassarche melanophrys,Aves,2,0,21635588;21635781,
harrisoniella hopkinsi,Arthropod,diomedea antipodensis,Aves,2,0,26515502;28848991,
harrisoniella hopkinsi,Arthropod,diomedea dabbenena,Aves,2,0,26515503;28848993,
harrisoniella hopkinsi,Arthropod,diomedea epomophora,Aves,2,0,2440129;21635783,
hartigiola faggalli,Arthropod,fagus crenata,Higher Plants,19,0,46020129;46020131;46020133;46020135;46020137;46020139;46020141;46020143;46020145;46020147;46020149;46020151;46020153;46020155;46020157;46020159;46020161;46020163;46020165,
hazardia milleri,Fungi,culex quinquefasciatus,Arthropod,1,0,29823144,
helicobacter acinonychis,Bacteria,acinonyx jubatus,Mammal,12,0,30961728;30961736;30961748;30961756;30961760;30961766;30961770;30961772;30961782;30961783;30961785;33435086,
helicobacter acinonychis,Bacteria,panthera leo,Mammal,13,0,30961722;30961724;30961730;30961737;30961742;30961750;30961768;30961774;30961776;30961784;30961787;30961789;30961793,
helicobacter acinonychis,Bacteria,panthera tigris,Mammal,8,0,30961726;30961734;30961739;30961746;30961754;30961769;30961778;30961781,
helicobacter anseris,Bacteria,branta canadensis,Aves,3,0,89892018;90101489;343198829,
helicobacter apodemus,Bacteria,apodemus agrarius,Rodent,3,0,18389594;18409527;18409528,
helicobacter bilis,Bacteria,mus musculus,Domestic,4,2,624262;624263;47524191;265678876,10200957;19149409
helicobacter bizzozeronii,Bacteria,canis lupus,Mammal,5,0,1915895;4009529;21637200;21637203;219846780,
helicobacter bizzozeronii,Bacteria,canis lupus familiaris,Domestic,5,0,1915895;4009529;21637200;21637203;219846780,
helicobacter brantae,Bacteria,branta canadensis,Aves,2,0,89892019;90101490,
helicobacter canis,Bacteria,canis lupus,Mammal,1,0,1513133,
helicobacter canis,Bacteria,canis lupus familiaris,Domestic,1,0,1513133,
helicobacter cetorum,Bacteria,delphinapterus leucas,Mammal,2,0,26006696;154795667,
helicobacter cetorum,Bacteria,delphinus delphis,Mammal,2,0,283466418;283466420,
helicobacter cetorum,Bacteria,lagenorhynchus acutus,Mammal,1,0,283466417,
helicobacter cetorum,Bacteria,stenella coeruleoalba,Mammal,1,0,283466419,
helicobacter cinaedi,Bacteria,homo sapiens,Human,0,6,,1617064;2466910;10405434;10540911;17596362;22184416
helicobacter cinaedi,Bacteria,macaca mulatta,Primate,6,0,14794495;15021679;15021680;15021681;15021682;16506818,
helicobacter felis,Bacteria,canis lupus,Mammal,6,10,4009525;4009526;4009527;4009528;40737716;40737719,1448894;8563056;9336895;10596807;11230459;11716588;16311055;18523177;20302842;21896089
helicobacter felis,Bacteria,canis lupus familiaris,Domestic,6,10,4009525;4009526;4009527;4009528;40737716;40737719,1448894;8563056;9336895;10596807;11230459;11716588;16311055;18523177;20302842;21896089
helicobacter felis,Bacteria,felis catus,Domestic,4,8,21637206;40737713;40737737;295149468,1997430;8563056;10639446;11230459;11716588;16311055;18523177;21896089
helicobacter heilmannii,Bacteria,acinonyx jubatus,Mammal,10,0,21637155;21637156;21637157;21637158;21637159;21637160;21637186;21637189;21637191;21637194,
helicobacter heilmannii,Bacteria,felis catus,Domestic,12,5,3695042;3695043;3695044;3695045;3695046;3695047;3695048;3695049;3695050;3695051;14280047;87042253,8149839;8563056;10476352;11063150;15700587
helicobacter heilmannii,Bacteria,homo sapiens,Human,19,13,290905;290906;14280045;21637150;21637152;21637154;21637165;21637167;21637197;21637224;21637230;225878704;225878705;229365681;229365682;335346773;335346771;335346769;335346767,7911923;8012509;8149839;8563056;8903168;9793044;9812529;10396946;10489777;11063150;16178972;16251292;16961807
helicobacter heilmannii,Bacteria,lynx rufus,Mammal,2,0,21637153;21637183,
helicobacter heilmannii,Bacteria,macaca fascicularis,Primate,4,0,21637161;21637162;21637212;21637215,
helicobacter heilmannii,Bacteria,macaca mulatta,Primate,3,0,21637173;21637174;21637239,
helicobacter heilmannii,Bacteria,panthera tigris,Mammal,2,0,21637176;21637245,
helicobacter heilmannii,Bacteria,sarcophilus harrisii,Mammal,1,0,21637175,
helicobacter heilmannii,Bacteria,sus scrofa,Domestic,7,8,21637168;21637169;21637170;21637171;21637172;21637233;21637236,9684971;9698785;10508105;10878060;11063150;15526130;16251292;19136039
helicobacter hepaticus,Bacteria,mus musculus,Domestic,5,0,50295433;50295434;50295435;219846361;262344291,
helicobacter macacae,Bacteria,macaca mulatta,Primate,7,0,13123709;13123710;155573883;155573884;155573885;155573886;322517855,
helicobacter marmotae,Bacteria,marmota monax,Rodent,1,0,13123712,
helicobacter mesocricetorum,Bacteria,mesocricetus auratus,Domestic,3,0,4322110;6808498;219857335,
helicobacter mustelae,Bacteria,mustela putorius,Mammal,2,0,290963437;291276243,
helicobacter mustelae,Bacteria,mustela putorius furo,Domestic,2,0,290963437;291276243,
helicobacter pullorum,Bacteria,gallus gallus,Domestic,5,0,304557358;304557361;304557364;304557367;304557372,
helicobacter pullorum,Bacteria,homo sapiens,Human,1,6,194459451,10698999;11595983;12627380;15910225;16494752;17274304
helicobacter pullorum,Bacteria,mus musculus,Domestic,1,0,294795270,
helicobacter pylori,Bacteria,canis lupus familiaris,Domestic,0,78,,25005670;24945318;24890599;24689986;24011248;23821543;23067246;22653899;22395061;22284337;22226326;22023125;21290746;21054656;20403231;20302842;19486497;19366912;18338382;18196724;16516398;16311055;16181350;16079471;15872252;15692795;15155627;15109666;15061508;14680085;14532733;12935752;12825349;12115088;11940066;11731164;11328365;11292784;11283079;10899885;10898103;10772482;10632995;10587249;10493106;10476352;10389689;10378428;10375172;10352083;10338528;10203471;9604440;9491160;9232726;9241625;9244575;9812475;9111140;8954989;8940465;8573490;8563056;8593139;8547534;8364129;8449568;8457979;1512579;1611710;1831765;2011719;1864530;1775930;1704791;2231673;2370111;2582989
helicobacter pylori,Bacteria,chinchilla lanigera,Domestic,1,0,346653637,
helicobacter pylori,Bacteria,felis catus,Domestic,1,45,476342,1775930;1947781;1997430;7705000;8110991;8149839;8332066;8563056;8726024;8873407;8981285;9244959;9394753;9398882;9549203;9712811;9791132;9987471;10476352;10772482;11244046;11328365;11444851;11535342;11716588;12814775;12825349;15866218;15872252;16000696;16079471;16120604;16311055;16459077;16925609;16981273;17302731;17345161;17468253;17957775;17981822;18334510;21054656;21290746;21896089
helicobacter pylori,Bacteria,homo sapiens,Human,3151,1297,402668;402669;402670;402671;402672;560003;600723;16415964;17225462;17225464;17225466;17225468;17225471;17225473;17225478;17225480;17225495;17225500;17225504;17225508;17225512;17225514;17225516;17225521;17225526;17225530;17225534;17225537;17225540;17225542;17225544;17225546;17298691;21637177;21637242;40737722;40737725;40737728;40737731;104767874;116248625;124516976;124516988;124516990;124516992;124516994;124516996;124516998;124517000;124517002;124517004;124517006;124517008;124517010;124517012;124517014;124517016;124517018;124517020;124517022;124517024;124517026;124517028;124517030;124517032;124517034;124517036;124517038;124517040;124517042;124517044;124517046;124517048;124517050;124517052;124517054;124517056;124517058;124517060;124517062;124517064;124517066;124517068;124517070;124517072;124517074;124517076;124517078;124517080;124517082;124517084;124517086;124517088;124517090;124517092;124517094;124517096;124517098;124517100;124517102,1378466;1400961;1475617;1500174;1563786;1587616;1602147;1632004;1663793;1702231;1723072;1735724;1828397;1857197;1885065;1889722;1951236;2229353;2252020;2253906;2258915;2261918;2341188;2362499;2568521;2655826;2665050;2754008;2764819;3280934;3297911;3551584;3585959;3591312;7479373;7534275;7540595;7629961;7640761;7715345;7721241;7729872;7734829;7757944;7768601;7790085;7791469;7803925;7831386;7871374;7876996;7773126;7890370;7749079;7712313;7932804;7939299;7948812;7959190;7705000;7988885;8012509;8017093;8033409;8047819;8092176;7657118;7657097;7570858;8126428;8149839;8171279;8224240;8262643;8262677;7515365;3414650;8284595;8311573;8403224;8431287;8449570;8457327;3166527;2638574;8486976;8496166;8500489;8504958;2311971;2307514;8536858;8539082;8540720;2270423;8543644;8548210;8563046;8563056;8565788
helicobacter pylori,Bacteria,macaca nemestrina,Primate,1,0,881365,
helicobacter pylori,Bacteria,meriones unguiculatus,Domestic,0,33,,8722410;9366290;9605743;11218392;11270796;11813566;11888652;11979879;12047267;12109656;12528936;12528942;12607316;12662374;12668646;12673420;12739708;14705819;15771620;15901366;16213184;16871015;17101569;17404882;17717596;17725529;18439067;18956630;19270747;19842220;20416394;21585605;21946211
helicobacter salomonis,Bacteria,canis lupus,Mammal,3,3,1915896;21637209;40737734,9336895;11230459;18523177
helicobacter salomonis,Bacteria,canis lupus familiaris,Domestic,3,3,1915896;21637209;40737734,9336895;11230459;18523177
helicobacter suis,Bacteria,sus scrofa,Domestic,678,4,6018195;27448110;321146497;321146508;321146514;321146515;321146529;321146543;321146555;321146561;321146563;321146571;321146577;321146583;321146590;321146601;321146604;321146605;321146641;321146644;321146652;321146654;321146660;321146681;321146699;321146707;321146719;321146726;321146734;321146747;321146748;321146762;321146766;321146812;321146819;321146838;321146856;321146862;321146879;321146884;321146886;321146897;321146899;321146901;321146904;321146991;321146997;321146998;321147001;321147005;321147007;321147028;321147034;321147038;321147043;321147048;321147057;321147060;321147068;321147072;321147081;321147083;321147086;321147088;321147092;321147095;321147097;321147122;321147133;321147152;321147161;321147202;321147216;321147227;321147233;321147249;321147259;321147266;321147291;321147294;321147316;321147335;321147339;321147340;321147347;321147353;321147358;321147382;321147388;321147400;321147404;321147408;321147417;321147427;321147453;321147455;321147465;321147478;321147479;321147502,11526168;18523177;19136039;9698785
helicobasidium mompa virus,Virus,helicobasidium mompa,Fungi,3,0,50539619;50539621;161728781,
helicometra fasciata,Helminth,symphodus rostratus,Fish,1,0,6102787,
helicotylenchus brevis,Helminth,solanum mauritianum,Higher Plants,2,0,300250839;300250840,
helicotylenchus digonicus,Helminth,glycine max,Higher Plants,2,0,300250780;300250781,
helicotylenchus digonicus,Helminth,panicum virgatum,Higher Plants,2,0,300250811;300250812,
helicotylenchus dihystera,Helminth,ficus benjamina,Higher Plants,1,0,300250787,
helicotylenchus dihystera,Helminth,psidium guajava,Higher Plants,2,0,300250796;300250800,
helicotylenchus dihystera,Helminth,schefflera arboricola,Higher Plants,1,0,300250785,
helicotylenchus labiodiscinus,Helminth,andropogon gerardii,Higher Plants,2,0,300250834;300250837,
helicotylenchus labiodiscinus,Helminth,poa pratensis,Higher Plants,2,0,300250833;300250838,
helicotylenchus labiodiscinus,Helminth,schizachyrium scoparium,Higher Plants,2,0,300250835;300250836,
helicotylenchus leiocephalus,Helminth,amorpha canescens,Higher Plants,2,0,300250808;300250809,
helicotylenchus multicinctus,Helminth,ficus benjamina,Higher Plants,1,0,300250832,
helicotylenchus multicinctus,Helminth,musa acuminata,Higher Plants,2,0,300250830;300250831,
helicotylenchus platyurus,Helminth,amorpha canescens,Higher Plants,2,0,300250805;300250815,
helicotylenchus pseudorobustus,Helminth,koeleria pyramidata,Higher Plants,2,0,300250806;300250807,
helicotylenchus pseudorobustus,Helminth,lolium perenne,Higher Plants,2,0,300250819;300250820,
helicotylenchus pseudorobustus,Helminth,panicum virgatum,Higher Plants,2,0,300250810;300250814,
helicotylenchus pseudorobustus,Helminth,zea mays,Higher Plants,2,0,300250803;300250804,
helicotylenchus varicaudatus,Helminth,ammophila arenaria,Higher Plants,1,0,321117679,
helicoverpa armigera,Arthropod,cajanus cajan,Higher Plants,3,0,312145690;312145694;312145698,
helicoverpa armigera,Arthropod,cicer arietinum,Higher Plants,1,0,307695430,
helicoverpa armigera,Arthropod,gossypium hirsutum,Higher Plants,8,0,66862637;66862638;307695420;307695424;307695426;307695428;312145696;399764983,
helicoverpa armigera stunt virus,Virus,helicoverpa armigera,Arthropod,2,0,603222;9632270,
heligmosomoides costellatum,Helminth,myodes glareolus,Rodent,1,0,106879871,
heligmosomoides glareoli,Helminth,myodes glareolus,Rodent,2,0,90191841;111548885,
heligmosomoides kurilensis,Helminth,apodemus speciosus,Rodent,3,0,106879873;158147429;158147445,
heligmosomoides polygyrus,Helminth,apodemus agrarius,Rodent,6,0,158147398;158147400;158147402;158147404;158147406;158147408,
heligmosomoides polygyrus,Helminth,apodemus alpicola,Rodent,1,0,158147412,
heligmosomoides polygyrus,Helminth,apodemus flavicollis,Rodent,40,0,11494162;11494187;11494204;60218936;60218938;60218940;60218942;60218944;60218946;106879967;106879969;106879971;106879973;106880019;158147356;158147358;158147360;158147364;158147366;158147368;158147370;158147372;158147374;158147376;158147378;158147380;158147382;158147384;158147386;158147388;158147414;158147419;158147422;158147423;158147424;158147430;158147435;158147438;158147439;158147440,
heligmosomoides polygyrus,Helminth,apodemus mystacinus,Rodent,8,0,106880021;106880023;106880025;106880027;158147410;158147426;158147442;158989284,
heligmosomoides polygyrus,Helminth,apodemus sylvaticus,Rodent,105,0,60218932;60218934;60218948;60218950;60218952;60218954;60218956;60218958;60218960;60218962;60218964;90191834;90191835;90191836;90191837;90191838;90191839;106879875;106879877;106879879;106879881;106879883;106879885;106879887;106879889;106879891;106879893;106879895;106879897;106879899;106879901;106879903;106879905;106879907;106879909;106879911;106879913;106879915;106879917;106879919;106879921;106879923;106879925;106879927;106879929;106879931;106879933;106879935;106879937;106879939;106879941;106879943;106879945;106879947;106879949;106879951;106879953;106879955;106879957;106879959;106879961;106879963;106879965;106879975;106879977;106879979;106879981;106879983;106879985;106879987;106879989;106879991;106879993;106879995;106879997;106879999;106880001;106880003;106880005;106880007;106880009;106880011;106880013;106880015;106880017;111548873;111548875;111548879;111548881;111548883;158147354;158147415;158147416;158147417;158147418;158147425;158147427;158147428;158147431;158147432,
heligmosomoides polygyrus,Helminth,apodemus uralensis,Rodent,7,0,158147390;158147392;158147394;158147396;158147420;158147421;158147437,
heligmosomoides polygyrus,Helminth,mus musculus,Domestic,12,46,106880029;106880031;106880033;106880035;106880037;106880039;106880041;106880043;106880045;106880047;109390571;109390598,776059;1894430;1945519;2145181;2504531;2788017;2878437;4011299;4018218;4711673;4760649;5764044;7596642;7722320;7879381;8082978;8087862;8719976;8811854;9011077;9229249;9368904;9608729;11044387;12165542;14729169;15286917;16536883;16916370;19126273;19716371;19995957;20848461;17912815;17563918;15368285;15159439;13886799;12432018;12432017;10953218;10201938;6839540;6622062;6097206;494664
heligmosomoides polygyrus,Helminth,mus musculus domesticus,Domestic,10,0,106880029;106880031;106880033;106880035;106880037;106880039;106880041;106880043;106880045;106880047,
heligmosomum mixtum,Helminth,myodes glareolus,Rodent,2,0,90191842;111548887,
heliococcus adenostomae,Arthropod,adenostoma fasciculatum,Higher Plants,5,0,38112797;38112874;38112941;38113003;38325706,
heliothis virescens ascovirus 3a,Virus,heliothis virescens,Arthropod,4,0,11931755;11931758;11931761;11931764,
heliothrips haemorrhoidalis,Arthropod,mangifera indica,Higher Plants,4,0,302121682;302121683;302121684;302121685,
helmichia lacustris,Fungi,chironomus plumosus,Arthropod,1,0,298919555,
helopeltis antonii,Arthropod,anacardium occidentale,Higher Plants,1,0,312145702,
helopeltis antonii,Arthropod,theobroma cacao,Higher Plants,1,0,326582126,
helopeltis theivora,Arthropod,acalypha hispida,Higher Plants,1,0,297251349,
helopeltis theivora,Arthropod,theobroma cacao,Higher Plants,1,0,312145706,
hematodinium perezi,Protozoa,liocarcinus depurator,Arthropod,17,0,118136453;118136454;118136455;118136456;118136457;118136458;118136459;118136460;118136461;118136462;118136463;119710181;119710182;119710183;119710184;119710185;119710186,
hemiberlesia lataniae,Arthropod,actinidia deliciosa,Higher Plants,32,0,195549368;195549374;195549377;195549380;195549383;195549389;195549392;195549395;195549398;195549401;195549404;195549407;195549410;195549413;195549416;195549419;195549422;195549425;195549428;195549431;195549437;195549440;195549443;195549446;195549452;195549455;195549458;195549461;195549464;195549467;195549470;195549473,
hemiberlesia lataniae,Arthropod,hedera helix,Higher Plants,2,0,73622766;156616048,
hemiberlesia rapax,Arthropod,actinidia deliciosa,Higher Plants,4,0,195549371;195549386;195549434;195549449,
hemiberlesia rapax,Arthropod,discaria articulata,Higher Plants,2,0,73622774;156616052,
hemichneumon subdolus,Arthropod,taleporia tubulosa,Arthropod,5,0,307950017;307950045;307950119;307950233;307950307,
hemichroa crocea,Arthropod,alnus glutinosa,Higher Plants,3,0,83629309;83629310;83630258,
hemicriconemoides strictathecatus,Helminth,mangifera indica,Higher Plants,1,0,59891592,
hemicriconemoides strictathecatus,Helminth,theobroma cacao,Higher Plants,1,0,59891591,
hemicycliophora chilensis,Helminth,theobroma cacao,Higher Plants,1,0,59891611,
hemiperina manteri,Helminth,latridopsis forsteri,Fish,2,0,31662271;31711584,
henbane mosaic virus,Virus,physalis alkekengi,Higher Plants,1,0,86475539,
hendra virus,Virus,equus caballus,Domestic,9,12,328495165;328495185;328495205;350998750;350998770;350998789;350998795;350998805;350998823,8903239;9240841;9494666;9672592;10840578;10900029;11882997;18054977;20113576;21781619;21834199;22261152
hendra virus,Virus,homo sapiens,Human,3,23,350998760;350998834;350998843,8822630;8996421;9494666;9672592;11485641;11882997;12379292;14557668;15113888;15113915;15604464;15998730;16783047;18054977;18417573;18815311;19403670;20357085;21488828;21561971;21781619;21781616;22227101
hennegoides mekongensis,Cnidaria,pangasianodon hypophthalmus,Fish,1,0,62867572,
hennegoides pangasii,Cnidaria,pangasianodon hypophthalmus,Fish,1,0,208401058,
henneguya basifilamentalis,Cnidaria,hemibagrus nemurus,Fish,1,0,208401057,
henneguya creplini,Cnidaria,sander lucioperca,Fish,1,0,208401051,
henneguya creplini,Cnidaria,zingel zingel,Fish,1,0,208401050,
henneguya doneci,Cnidaria,carassius auratus,Fish,4,0,164451708;164451709;164451710;164451711,
