"Original","Submitted","Accepted_name","Selected_family","Selected_order","Selected_class","Synonyms"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus campestris"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus erythrotis"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus meridionalis"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus messorius"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus minatus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus minimus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus oryzivorus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus parvulus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus pendulinus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus pratensis"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus pumilus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus pygmaeus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus soricinus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus triticeus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Micromys minutus aokii"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus minutus batarovi"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Micromys minutus berezowskii"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Micromys minutus brauneri"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus minutus fenniae"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus minutus flavus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Micromys minutus hondonis"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Micromys minutus japonicus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Micromys minutus kytmanovi"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Micromys minutus mehelyi"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus minutus sareptae"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Micromys minutus subobscurus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Micromys minutus takasagoensis"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus minutus typicus"
"micromys minutus","Micromys minutus","Micromys minutus","Muridae","Rodentia","Mammalia","Mus minutus ussuricus"
"apodemus mystacinus","Apodemus mystacinus","Apodemus mystacinus","Muridae","Rodentia","Mammalia","Apodemus mystacinus euxinus"
"apodemus mystacinus","Apodemus mystacinus","Apodemus mystacinus","Muridae","Rodentia","Mammalia","Apodemus flavicollis pohlei"
"apodemus mystacinus","Apodemus mystacinus","Apodemus mystacinus","Muridae","Rodentia","Mammalia","Apodemus mystacinus rhodius"
"apodemus mystacinus","Apodemus mystacinus","Apodemus mystacinus","Muridae","Rodentia","Mammalia","Mus mystacinus smyrnensis"
"mus mattheyi","Mus mattheyi","Mus mattheyi","Muridae","Rodentia","Mammalia",NA
"myotomys unisulcatus","Myotomys unisulcatus","Myotomys unisulcatus","Muridae","Rodentia","Mammalia","Otomys unisulcatus"
"myotomys unisulcatus","Myotomys unisulcatus","Myotomys unisulcatus","Muridae","Rodentia","Mammalia","Otomys broomi"
"myotomys unisulcatus","Myotomys unisulcatus","Myotomys unisulcatus","Muridae","Rodentia","Mammalia","Myotomys unisulcatus albaniensis"
"myotomys unisulcatus","Myotomys unisulcatus","Myotomys unisulcatus","Muridae","Rodentia","Mammalia","Otomys unisulcatus bergensis"
"myotomys unisulcatus","Myotomys unisulcatus","Myotomys unisulcatus","Muridae","Rodentia","Mammalia","Otomys unisulcatus grantii"
"stenocephalemys albipes","Stenocephalemys albipes","Stenocephalemys albipes","Muridae","Rodentia","Mammalia","Myomys albipes"
"praomys jacksoni","Praomys jacksoni","Praomys jacksoni","Muridae","Rodentia","Mammalia","Epimys jacksoni viator"
"bolomys lasiurus","Bolomys lasiurus","Necromys lasiurus","Cricetidae","Rodentia","Mammalia","Bolomys lasiurus"
"bolomys lasiurus","Bolomys lasiurus","Necromys lasiurus","Cricetidae","Rodentia","Mammalia","Hesperomys brachyurus"
"bolomys lasiurus","Bolomys lasiurus","Necromys lasiurus","Cricetidae","Rodentia","Mammalia","Akodon fuscinus"
"bolomys lasiurus","Bolomys lasiurus","Necromys lasiurus","Cricetidae","Rodentia","Mammalia","Zygodontomys pixuna"
"handleyomys fuscatus","Handleyomys fuscatus","Handleyomys fuscatus","Cricetidae","Rodentia","Mammalia","Aepeomys fuscatus"
"neotoma stephensi","Neotoma stephensi","Neotoma stephensi","Cricetidae","Rodentia","Mammalia","Neotoma stephensi relicta"
"proechimys guairae","Proechimys guairae","Proechimys guairae","Echimyidae","Rodentia","Mammalia",NA
"platyrrhinus helleri","Platyrrhinus helleri","Platyrrhinus helleri","Phyllostomidae","Chiroptera","Mammalia",NA
"tonatia bidens","Tonatia bidens","Tonatia bidens","Phyllostomidae","Chiroptera","Mammalia","Vampyrus bidens"
"neotoma leucodon","Neotoma leucodon","Neotoma leucodon","Cricetidae","Rodentia","Mammalia","Neotoma latifrons"
"neotoma leucodon","Neotoma leucodon","Neotoma leucodon","Cricetidae","Rodentia","Mammalia","Neotoma montezumae"
"neotoma leucodon","Neotoma leucodon","Neotoma leucodon","Cricetidae","Rodentia","Mammalia","Neotoma intermedia durangae"
"neotoma leucodon","Neotoma leucodon","Neotoma leucodon","Cricetidae","Rodentia","Mammalia","Neotoma albigula melas"
"neotoma leucodon","Neotoma leucodon","Neotoma leucodon","Cricetidae","Rodentia","Mammalia","Neotoma albigula robusta"
"neotoma leucodon","Neotoma leucodon","Neotoma leucodon","Cricetidae","Rodentia","Mammalia","Neotoma albigula subsolana"
"neotoma leucodon","Neotoma leucodon","Neotoma leucodon","Cricetidae","Rodentia","Mammalia","Neotoma albigula warreni"
"neotoma leucodon","Neotoma leucodon","Neotoma leucodon","Cricetidae","Rodentia","Mammalia","Neotoma leucodon zacatecae"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma abbreviata"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma arenacea"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma bella"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma californica"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma desertorum"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma insularis"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma intermedia"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma nevadensis"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma nudicauda"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida aridicola"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida egressa"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma bella felipensis"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma intermedia gilva"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida grinnelli"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida latirostra"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida marcosensis"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida marshalli"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida molagrandis"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida monstrabilis"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma intermedia notia"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma intermedia perpallida"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida petricola"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma intermedia pretiosa"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma intermedia ravida"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida sanrafaeli"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma desertorum sola"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma intermedia vicina"
"neotoma lepida","Neotoma lepida","Neotoma lepida","Cricetidae","Rodentia","Mammalia","Neotoma lepida intermedia"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma arizonae"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma cinnamomea"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Myoxus drummondii"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma grangeri"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma occidentalis"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma orolestes"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma saxamans"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Teonoma cinerea acraea"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma cinerea alticola"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma fuscus apicalis"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma cinerea columbiana"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma occidentalis fusca"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma cinerea lucida"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma cinerea macrodon"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Neotoma cinerea pulla"
"neotoma cinerea","Neotoma cinerea","Neotoma cinerea","Cricetidae","Rodentia","Mammalia","Teonoma cinerea acraia"
"neotoma fuscipes","Neotoma fuscipes","Neotoma fuscipes","Cricetidae","Rodentia","Mammalia","Neotoma fuscipes riparia"
"neotoma fuscipes","Neotoma fuscipes","Neotoma fuscipes","Cricetidae","Rodentia","Mammalia","Neotoma fuscipes fuscipes"
"neotoma fuscipes","Neotoma fuscipes","Neotoma fuscipes","Cricetidae","Rodentia","Mammalia","Neotoma monochroura"
"neotoma fuscipes","Neotoma fuscipes","Neotoma fuscipes","Cricetidae","Rodentia","Mammalia","Neotoma splendens"
"neotoma fuscipes","Neotoma fuscipes","Neotoma fuscipes","Cricetidae","Rodentia","Mammalia","Neotoma fuscipes annectens"
"neotoma fuscipes","Neotoma fuscipes","Neotoma fuscipes","Cricetidae","Rodentia","Mammalia","Neotoma fuscipes bullatior"
"neotoma fuscipes","Neotoma fuscipes","Neotoma fuscipes","Cricetidae","Rodentia","Mammalia","Neotoma fuscipes perplexa"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys arcticeps"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys fuliginosus"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys longipes"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Mus missouriensis"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys ruidosae"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys leucogaster albescens"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys leucogaster breviauritus"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys leucogaster brevicaudus"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys leucogaster capitulatus"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys leucogriseus fuscogriseus"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys leucogaster melanophrys"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys melanophrys pallescens"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys leucogaster pallidus"
"onychomys leucogaster","Onychomys leucogaster","Onychomys leucogaster","Cricetidae","Rodentia","Mammalia","Onychomys leucogaster utahensis"
"peromyscus boylii","Peromyscus boylii","Peromyscus boylii","Cricetidae","Rodentia","Mammalia","Peromyscus gaurus"
"peromyscus boylii","Peromyscus boylii","Peromyscus boylii","Cricetidae","Rodentia","Mammalia","Sitomys major"
"peromyscus boylii","Peromyscus boylii","Peromyscus boylii","Cricetidae","Rodentia","Mammalia","Peromyscus metallicola"
"peromyscus boylii","Peromyscus boylii","Peromyscus boylii","Cricetidae","Rodentia","Mammalia","Peromyscus parasiticus"
"peromyscus boylii","Peromyscus boylii","Peromyscus boylii","Cricetidae","Rodentia","Mammalia","Sitomys robustus"
"peromyscus boylii","Peromyscus boylii","Peromyscus boylii","Cricetidae","Rodentia","Mammalia","Sitomys rowleyi"
"peromyscus boylii","Peromyscus boylii","Peromyscus boylii","Cricetidae","Rodentia","Mammalia","Peromyscus boylii glasselli"
"peromyscus boylii","Peromyscus boylii","Peromyscus boylii","Cricetidae","Rodentia","Mammalia","Sitomys rowleyi pinalis"
"peromyscus boylii","Peromyscus boylii","Peromyscus boylii","Cricetidae","Rodentia","Mammalia","Peromyscus boylii utahensis"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys amoles"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys arizonensis"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys aztecus"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Rhithrodontomys catalinae"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys dychei"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Rhithrodontomys peninsulae"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys saturatus alticolus"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys megalotis distichlis"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys megalotis limicola"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys dychei nebrascensis"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys megalotis ravus"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys megalotis santacruzae"
"reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis","Cricetidae","Rodentia","Mammalia","Reithrodontomys megalotis arizonensis"
"megadontomys nelsoni","Megadontomys nelsoni","Megadontomys nelsoni","Cricetidae","Rodentia","Mammalia",NA
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma cumulator"
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma venusta"
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma intermedia angusticeps"
"neotoma albigula","Neotoma albigula","Neotoma albigula","Cricetidae","Rodentia","Mammalia","Neotoma albigula brevicauda"
