Pathogen_Original,Synonym,InAssoc,Pathogen_Harmonised,Notes
canine distemper,canine distemper virus cdv,TRUE,canine distemper,
canine mastadenovirus a,canine adenovirus a; canine adenovirus,TRUE,canine mastadenovirus a,
cano delgadito hantavirus,cano delgadito virus,FALSE,cano delgadito,
capim orthobunyavirus,,FALSE,capim,
caprine alphaherpesvirus 1,caprine herpesvirus type 1; caprine herpesvirus 1,FALSE,caprine herpesvirus 1,
caprine arthritis encephalitis,caprine arthritis-encephalitis virus; caprine arthritis encephalitis virus caev,TRUE,caprine arthritis encephalitis,
caprine gammaherpesvirus 2,cphv-2; caprine herpesvirus 2,FALSE,caprine herpesvirus 2,
carajas vesiculovirus,carajas virus,FALSE,carajas,
caraparu orthobunyavirus,caraparu virus,FALSE,caraparu,
cardiovirus a,encephalomyocarditis virus,TRUE,cardiovirus a,
cardiovirus b,,FALSE,cardiovirus b,
cardiovirus c,,FALSE,cardiovirus c,
carey island,,TRUE,carey island,
carnivore amdoparvovirus 1,,TRUE,carnivore amdoparvovirus 1,
carnivore amdoparvovirus 2,,FALSE,carnivore amdoparvovirus 2,
carnivore bocaparvovirus 3,,FALSE,carnivore bocaparvovirus 3,
carnivore protoparvovirus 1,,TRUE,carnivore protoparvovirus 1,
catu orthobunyavirus,catu virus,FALSE,catu,
caviid betaherpesvirus 2,guinea pig cytomegalovirus; caviid herpesvirus 2,FALSE,caviid herpesvirus 2,
cercopithecine alphaherpesvirus 2,"cehv-2; simian herpesvirus sa8; herpes virus simian agent 8, etc.",FALSE,cercopithecine herpesvirus 2,
cercopithecine alphaherpesvirus 9,"simian varicella virus;   cercopithecid herpesvirus 9; simian varicella virus svv, etc.",FALSE,cercopithecine herpesvirus 9,
cercopithecine betaherpesvirus 5,"cehv-5; simian cytomegalovirus (strain colburn); african green monkey cytomegalovirus, etc.",FALSE,cercopithecine herpesvirus 5,
cervid alphaherpesvirus 1,cervine herpesvirus type 1; cervid herpesvirus 1,FALSE,cervid herpesvirus 1,
cetacean morbillivirus,cetacean morbillivirus virus,TRUE,cetacean morbillivirus,
chandipura vesiculovirus,chandipura virus,FALSE,chandipura,
changuinola,changuinola virus group,TRUE,changuinola,
chapare mammarenavirus,chapare virus,FALSE,chapare,
chenuda,chenuda complex,FALSE,chenuda,
chikungunya,,TRUE,chikungunya,
chiropteran dependoparvovirus 1,,FALSE,chiropteran dependoparvovirus 1,
chiropteran tetraparvovirus 1,,FALSE,chiropteran tetraparvovirus 1,
chobar gorge,,TRUE,chobar gorge,
classical swine fever,pestivirus type 2; hog cholera virus; swine fever virus,TRUE,classical swine fever,
coastal plains tibrovirus,coastal plains virus,FALSE,coastal plains,
cocal vesiculovirus,cocal virus,FALSE,cocal,
colorado tick fever,,TRUE,colorado tick fever,
corriparta,corriparta virus group,TRUE,corriparta,
cosavirus a,,FALSE,cosavirus a,
cowbone ridge,,TRUE,cowbone ridge,
cowpox,,TRUE,cowpox,
cricetid gammaherpesvirus 2,rhvp; rodent herpesvirus peru; cricetid herpesvirus 2,FALSE,cricetid herpesvirus,
crimean-congo hemorrhagic fever nairovirus,crimean-congo hemorrhagic virus; crimean-congo hemorrhagic fever virus; crimean-congo haemorrhagic fever virus,FALSE,crimean-congo hemorrhagic fever,
cupixi mammarenavirus,cupixi virus,FALSE,cupixi,
dakar bat,,TRUE,dakar bat,
deltapapillomavirus 1,eepv; european elk papillomavirus; alces alces papillomavirus 1,FALSE,european elk papillomavirus,
deltapapillomavirus 2,deer papillomavirus,FALSE,deer papillomavirus,
deltapapillomavirus 3,ovis aries papillomavirus 1; ovine papillomavirus 1,FALSE,ovine papillomavirus 1,
deltapapillomavirus 4,bovine papillomavirus 1,FALSE,bovine papillomavirus 1,
deltapapillomavirus 5,,FALSE,deltapapillomavirus 5,
deltapapillomavirus 6,,FALSE,deltapapillomavirus 6,
dengue,,TRUE,dengue,
dhori,tick-borne virus,TRUE,dhori,
dobrava-belgrade hantavirus,dobravavirus; dobrava-belgrade virus; dobrava virus,FALSE,dobrava-belgrade,
dugbe nairovirus,dugbe virus,FALSE,dugbe,
duvenhage lyssavirus,duvenhage virus,FALSE,duvenhage,
dyodeltapapillomavirus 1,,FALSE,dyodeltapapillomavirus 1,
dyoetapapillomavirus 1,,FALSE,dyoetapapillomavirus 1,
dyoiotapapillomavirus 1,,FALSE,dyoiotapapillomavirus 1,
dyoiotapapillomavirus 2,,FALSE,dyoiotapapillomavirus 2,
dyokappapapillomavirus 1,,FALSE,dyokappapapillomavirus 1,
dyolambdapapillomavirus 1,,FALSE,dyolambdapapillomavirus 1,
dyonupapillomavirus 1,,FALSE,dyonupapillomavirus 1,
dyoomikronpapillomavirus 1,,FALSE,dyoomikronpapillomavirus 1,
dyopipapillomavirus 1,,FALSE,dyopipapillomavirus 1,
dyorhopapillomavirus 1,,FALSE,dyorhopapillomavirus 1,
dyosigmapapillomavirus 1,,FALSE,dyosigmapapillomavirus 1,
dyothetapapillomavirus 1,,FALSE,dyothetapapillomavirus 1,
dyoxipapillomavirus 1,,FALSE,dyoxipapillomavirus 1,
eastern equine encephalitis,eastern equine encephalomyelitis virus eeev; eastern equine encephalomyelitis eee; eastern equine encephalomyelitis virus,TRUE,eastern equine encephalitis,
ectromelia,mousepox virus; mousepox; ectromelia mousepox virus,TRUE,ectromelia,
edge hill,,FALSE,edge hill,
el moro canyon hantavirus,"hmv-1; reithrodontomys megalotis hantavirus; el moro canyon hantavirus (elmc), etc.",FALSE,el moro canyon,
elephantid betaherpesvirus 1,elephantid herpesvirus 1; elephant herpesvirus 1,FALSE,elephantid herpesvirus 1,
entebbe bat,,TRUE,entebbe bat,
enterovirus a,"human enterovirus a; human coxsackievirus a; enterovirus ev-a, etc.",TRUE,enterovirus a,
enterovirus b,human enterovirus b; enterovirus ev-b,TRUE,enterovirus b,
enterovirus c,poliovirus; human enterovirus c; enterovirus ev-c,TRUE,enterovirus c,
enterovirus d,human enterovirus d; enterovirus ev-d,TRUE,enterovirus d,
enterovirus e,bev; bovine enterovirus,FALSE,bovine enterovirus,
enterovirus f,,FALSE,enterovirus f,
enterovirus g,porcine enterovirus b,FALSE,porcine enterovirus b,
enterovirus h,simian enterovirus a; human enterovirus e,FALSE,simian enterovirus a,
enterovirus j,,FALSE,enterovirus j,
epizootic hemorrhagic disease,"epizootic hemorrhagic disease virus group; epizootic haemorrhagic disease virus; epizootic haemorrhagic disease virus ehdv-1, etc.",TRUE,epizootic hemorrhagic disease,
epsilonpapillomavirus 1,bovine papillomavirus 5; bovine papillomavirus type 5,FALSE,bovine papillomavirus 5,
equid alphaherpesvirus 1,"equine herpesvirus type-1; equine abortion virus; equine herpesvirus type 1, etc.",FALSE,equid herpesvirus 1,
equid alphaherpesvirus 3,equine herpesvirus 3; equine coital exanthema virus; equid herpesvirus 3,FALSE,equid herpesvirus 3,
equid alphaherpesvirus 4,"equine herpesvirus 4; equine rhinopneumonitis virus; equid herpesvirus 4, etc.",FALSE,equid herpesvirus 4,
equid alphaherpesvirus 8,ahv3; asinine herpesvirus 3; equine herpesvirus 8,FALSE,equid herpesvirus 8,
equid alphaherpesvirus 9,gazelle herpesvirus 1; equine herpesvirus 9; equid herpesvirus 9,FALSE,equid herpesvirus 9,
equid gammaherpesvirus 2,"ehv-2; equine herpesvirus 2; equine cytomegalovirus, etc.",FALSE,equid herpesvirus 2,
equid gammaherpesvirus 5,"ehv-5; equine herpesvirus 5; equid herpesvirus 5, etc.",FALSE,equid herpesvirus 5,
equid gammaherpesvirus 7,ehv-7; equid herpesvirus 7; asinine herpesvirus 2,FALSE,equid herpesvirus 7,
equine arteritis,,TRUE,equine arteritis,
equine encephalosis,equine encephalosis virus group; equine encephalosis virus (eev),TRUE,equine encephalosis,
equine foamy,,TRUE,equine foamy,
equine infectious anemia,equine infectious anemia virus eiav,TRUE,equine infectious anemia,
equine mastadenovirus a,equine adenovirus a,FALSE,equine adenovirus a,
equine mastadenovirus b,equine adenovirus b,FALSE,equine adenovirus b,
equine rhinitis a,,TRUE,equine rhinitis a,
equine torovirus,,TRUE,equine torovirus,
erbovirus a,equine rhinitis b virus,FALSE,equine rhinitis b,
eubenangee,eubenangee virus group,TRUE,eubenangee,
european bat 1 lyssavirus,"european bat lyssavirus 1; european bat virus 1; european bat lyssavirus type 1, etc.",FALSE,european bat lyssavirus 1,
european bat 2 lyssavirus,european bat lyssavirus 2; european bat virus 2; european bat lyssavirus type 2,FALSE,european bat lyssavirus 2,
european brown hare syndrome,,TRUE,european brown hare syndrome,
everglades,,TRUE,everglades,
eyach,,TRUE,eyach,
felid alphaherpesvirus 1,"feline herpesvirus 1; feline herpesvirus-1 fhv-1; felid herpesvirus 1, etc.",FALSE,felid herpesvirus 1,
feline calicivirus,feline calicivirus fcv,TRUE,feline calicivirus,
feline foamy,feline syncytial virus,TRUE,feline foamy,
feline immunodeficiency,feline immunodeficiency virus fiv,TRUE,feline immunodeficiency,
feline leukemia,feline leukemia virus felv; feline leukemia provirus,TRUE,feline leukemia,
finkel-biskis-jinkins murine sarcoma,,FALSE,finkel-biskis-jinkins murine sarcoma,
flexal mammarenavirus,flexal virus; flexal arenavirus,FALSE,flexal,
foot-and-mouth disease,foot and mouth disease virus; foot-and-mouth disease virus fmdv; foot and mouth disease virus fmdv,TRUE,foot-and-mouth disease,
fort morgan,,TRUE,fort morgan,
gadgets gully,,FALSE,gadgets gully,
gallid alphaherpesvirus 2,"gahv-2; marek's disease virus type 1; gallid herpesvirus 2, etc.",FALSE,gallid herpesvirus 2,
gammapapillomavirus 1,,FALSE,gammapapillomavirus 1,
gammapapillomavirus 10,,FALSE,gammapapillomavirus 10,
gammapapillomavirus 11,human papillomavirus 126-like viruses,FALSE,gammapapillomavirus 11,
gammapapillomavirus 12,,FALSE,gammapapillomavirus 12,
gammapapillomavirus 13,,FALSE,gammapapillomavirus 13,
gammapapillomavirus 14,,FALSE,gammapapillomavirus 14,
gammapapillomavirus 15,,FALSE,gammapapillomavirus 15,
gammapapillomavirus 16,,FALSE,gammapapillomavirus 16,
gammapapillomavirus 17,,FALSE,gammapapillomavirus 17,
gammapapillomavirus 18,,FALSE,gammapapillomavirus 18,
gammapapillomavirus 19,,FALSE,gammapapillomavirus 19,
gammapapillomavirus 2,,FALSE,gammapapillomavirus 2,
gammapapillomavirus 20,,FALSE,gammapapillomavirus 20,
gammapapillomavirus 3,human papillomavirus 50,FALSE,human papillomavirus 50,
gammapapillomavirus 4,human papillomavirus 60,FALSE,human papillomavirus 60,
gammapapillomavirus 5,human papillomavirus 88,FALSE,human papillomavirus 88,
gammapapillomavirus 6,,FALSE,gammapapillomavirus 6,
gammapapillomavirus 7,,FALSE,gammapapillomavirus 7,
gammapapillomavirus 8,,FALSE,gammapapillomavirus 8,
gammapapillomavirus 9,,FALSE,gammapapillomavirus 9,
gardner-arnstein feline sarcoma,feline sarcoma virus gardner-arnstein; feline sarcoma virus (strain ga),FALSE,feline sarcoma,all feline sarcomas here are set to same - could be relaxed
getah,,TRUE,getah,
gibbon ape leukemia,gibbon leukemia virus,TRUE,gibbon ape leukemia,
goatpox,,TRUE,goatpox,
gorilline gammaherpesvirus 1,"pongine herpesvirus 3; herpesvirus gorilla; gorilline herpesvirus 1, etc.",FALSE,pongine herpesvirus 3,
great island,,TRUE,great island,
ground squirrel hepatitis,ground squirrel hepatitis b virus,TRUE,ground squirrel hepatitis,
guajara orthobunyavirus,guajar orthobunyavirus,FALSE,guajara,
guama orthobunyavirus,guam orthobunyavirus; guama virus,FALSE,guama,
guanarito mammarenavirus,guanarito virus; guanarito arenavirus,FALSE,guanarito,
