"Parasite","Host","DetectionMethod","DetectionQuality","Citation","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","Year","YearType","ParasiteType","Database","PathogenName_Harmonised","PathogenType","HumanInfective_External","IsZoonotic","DiseaseAgent","Disease_GIDEON","Route_GIDEON","HumanInfective_Any"
"rubella","homo sapiens","PCR",2,"Adam et al. 2010","primates","hominidae","homo","sapiens","unassigned","togaviridae",NA,"rubivirus","SS","RNA","enveloped",FALSE,TRUE,9762,0,0,0,2010,"ScientificPublicationDate_Earliest","virus","HP3","rubella","virus",0,0,0,NA,NA,0
"sabia","homo sapiens","Isolation",2,"Coimbra et al. 1994","primates","hominidae","homo","sapiens","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10499,0,0,0,1994,"ScientificPublicationDate_Earliest","virus","HP3","sabia","virus",0,0,0,NA,NA,0
"sandfly fever naples","homo sapiens","Isolation",2,"Nicoletti et al. 1996","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"phlebovirus","SS","RNA","enveloped",TRUE,TRUE,12488,0,1,1,1996,"ScientificPublicationDate_Earliest","virus","HP3","sandfly fever naples","virus",1,1,1,"old world phlebovirus infection","vector",1
"sandfly fever sicilian","homo sapiens","Isolation",2,"Nicoletti et al. 1996","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11300,0,1,0,1996,"ScientificPublicationDate_Earliest","virus","HP3","sandfly fever sicilian","virus",1,1,1,"sandfly fever","vector",1
"sapporo","homo sapiens","PCR",2,"Chiba et al. 2001","primates","hominidae","homo","sapiens","unassigned","caliciviridae",NA,"sapovirus","SS","RNA","non-enveloped",FALSE,TRUE,7420,0,0,0,2001,"ScientificPublicationDate_Earliest","virus","HP3","sapporo","virus",0,0,0,NA,NA,0
"sealpox","homo sapiens","Isolation",2,"Dierauf et al. 2001","primates","hominidae","homo","sapiens","unassigned","poxviridae","chordopoxvirinae","parapoxvirus","DS","DNA","enveloped",FALSE,TRUE,140000,0,1,1,2001,"ScientificPublicationDate_Earliest","virus","HP3","sealpox","virus",1,1,1,"pseudocowpox and related","direct",1
"semliki forest","homo sapiens","Antibodies",0,"http://www.uniprot.org/uniprot/P03305","primates","hominidae","homo","sapiens","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11442,0,1,0,NA,"ScientificPublicationDate_Earliest","virus","HP3","semliki forest","virus",1,1,1,"semliki forest fever (chikungunya-related)","vector",1
"seoul","homo sapiens","Antibodies",0,"Weissenbacher et al. 1996","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,11950,0,1,0,1996,"ScientificPublicationDate_Earliest","virus","HP3","seoul","virus",1,1,1,"old world hantavirus","direct, environmental, respiratory",1
"severe acute respiratory syndrome-related coronavirus","homo sapiens","Antibodies",0,"Tu et al. 2004","primates","hominidae","homo","sapiens","nidovirales","coronaviridae","coronavirinae","betacoronavirus","SS","RNA","enveloped",FALSE,TRUE,29751,0,1,0,2004,"ScientificPublicationDate_Earliest","virus","HP3","severe acute respiratory syndrome coronavirus","virus",1,1,1,"sars","airborne, direct, fecal-oral",1
"shamonda","homo sapiens","Isolation",2,"Yanase et al. 2005","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12104,0,1,1,2005,"ScientificPublicationDate_Earliest","virus","HP3","shamonda","virus",0,0,0,NA,NA,1
"shuni","homo sapiens","Isolation",2,"Moore et al. 1975","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12135,0,1,1,1975,"ScientificPublicationDate_Earliest","virus","HP3","shuni","virus",0,1,1,"bunyaviridae infections misc.","vector",1
"simian foamy","homo sapiens","PCR",2,"Wolfe et al. 2004","primates","hominidae","homo","sapiens","unassigned","retroviridae","spumaretrovirinae","spumavirus","SS","RNA","enveloped",FALSE,FALSE,13246,0,1,1,2004,"ScientificPublicationDate_Earliest","virus","HP3","simian foamy","virus",0,0,0,NA,NA,1
"simian parvovirus","homo sapiens","Antibodies",0,"Brown et al. 2004","primates","hominidae","homo","sapiens","unassigned","parvoviridae","parvovirinae","erythrovirus","SS","DNA","non-enveloped",FALSE,FALSE,NA,0,1,0,2004,"ScientificPublicationDate_Earliest","virus","HP3","simian parvovirus","virus",0,0,0,NA,NA,1
"simian virus 10","homo sapiens","Antibodies",0,"Mahy 2009","primates","hominidae","homo","sapiens","mononegavirales","paramyxoviridae","paramyxovirinae","respirovirus","SS","RNA","enveloped",FALSE,TRUE,15000,0,1,0,2009,"ScientificPublicationDate_Earliest","virus","HP3","simian virus 10","virus",0,0,0,NA,NA,1
"simian virus 40","homo sapiens","PCR",2,"Campello et al. 2010","primates","hominidae","homo","sapiens","unassigned","polyomaviridae",NA,"polyomavirus","DS","DNA","non-enveloped",FALSE,FALSE,5243,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","simian virus 40","virus",1,0,0,NA,NA,1
"sin nombre","homo sapiens","PCR",2,"Schwarz et al. 2004","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12317,0,1,1,2004,"ScientificPublicationDate_Earliest","virus","HP3","sin nombre","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"sindbis","homo sapiens","PCR",2,"Attoui et al. 2007","primates","hominidae","homo","sapiens","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11703,0,1,0,2007,"ScientificPublicationDate_Earliest","virus","HP3","sindbis","virus",1,1,1,"karelian fever, sindbis fever","vector",1
"st. louis encephalitis","homo sapiens","Isolation",2,"Monath et al. 1985","primates","hominidae","homo","sapiens","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1985,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"sudan ebolavirus","homo sapiens","Isolation",2,"Bowen et al. 1977","primates","hominidae","homo","sapiens","mononegavirales","filoviridae",NA,"ebolavirus","SS","RNA","enveloped",FALSE,TRUE,18875,0,0,0,1977,"ScientificPublicationDate_Earliest","virus","HP3","sudan ebolavirus","virus",0,0,0,NA,NA,0
"suid herpesvirus 1","homo sapiens","Antibodies",0,"Mravak et al. 1987","primates","hominidae","homo","sapiens","herpesvirales","herpesviridae","alphaherpesvirinae","varicellovirus","DS","DNA","enveloped",FALSE,FALSE,141126.5,0,1,0,1987,"ScientificPublicationDate_Earliest","virus","HP3","suid herpesvirus 1","virus",1,1,0,NA,NA,1
"tacaiuma","homo sapiens","Isolation",2,"Van Tongeren et al. 1967","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12400,0,1,0,1967,"ScientificPublicationDate_Earliest","virus","HP3","tacaiuma","virus",1,1,1,"bunyaviridae infections misc.","vector",1
"tacaribe","homo sapiens","Antibodies",0,"Price 1978","primates","hominidae","homo","sapiens","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10534,0,1,0,1978,"ScientificPublicationDate_Earliest","virus","HP3","tacaribe","virus",0,1,1,"new world arenaviral haemorrhagic fever","direct, environment, respiratory",1
"tamdy","homo sapiens","Isolation",2,"Lvov et al. 1984","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"unassigned","SS","RNA","enveloped",TRUE,TRUE,NA,0,0,0,1984,"ScientificPublicationDate_Earliest","virus","HP3","tamdy","virus",0,0,0,NA,NA,0
"tanapox","homo sapiens","Isolation",2,"Downie et al. 1971","primates","hominidae","homo","sapiens","unassigned","poxviridae","chordopoxvirinae","yatapoxvirus","DS","DNA","enveloped",FALSE,TRUE,144559,0,1,0,1971,"ScientificPublicationDate_Earliest","virus","HP3","tanapox","virus",1,1,1,"tanapox virus disease","direct",1
"tataguine","homo sapiens","Isolation",2,"Fagbami et al. 1981","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"unassigned","SS","RNA","enveloped",TRUE,TRUE,16790,0,0,0,1981,"ScientificPublicationDate_Earliest","virus","HP3","tataguine","virus",0,0,0,NA,NA,0
"tembusu","homo sapiens","Antibodies",0,"Wallace et al. 1977","primates","hominidae","homo","sapiens","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10916,0,1,0,1977,"ScientificPublicationDate_Earliest","virus","HP3","tembusu","virus",0,0,0,NA,NA,1
"thailand","homo sapiens","Antibodies",0,"Gamage et al. 2011","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,0,2011,"ScientificPublicationDate_Earliest","virus","HP3","thailand","virus",1,1,1,"old world hantavirus","respiratory, fluid, environment",1
"thiafora","homo sapiens","Antibodies",0,"Woessner et al. 2000","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"nairovirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,0,2000,"ScientificPublicationDate_Earliest","virus","HP3","thiafora","virus",0,0,0,NA,NA,1
"thogoto","homo sapiens","Isolation",2,"Jones et al. 1987","primates","hominidae","homo","sapiens","unassigned","orthomyxoviridae",NA,"thogotovirus","SS","RNA","enveloped",TRUE,TRUE,10461,0,1,1,1987,"ScientificPublicationDate_Earliest","virus","HP3","thogoto","virus",1,1,1,"thogoto encephalitis","vector",1
"tick-borne encephalitis","homo sapiens","Antibodies",0,"Grzeszczuk et al. 2006","primates","hominidae","homo","sapiens","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,11141,0,1,0,2006,"ScientificPublicationDate_Earliest","virus","HP3","tick-borne encephalitis","virus",1,1,1,"tick-borne encephalitis","vector, food",1
"tioman","homo sapiens","ELISA",0,"Yaiw KC et al. 2007","primates","hominidae","homo","sapiens","mononegavirales","paramyxoviridae","paramyxovirinae","rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15522,0,1,0,2007,"ScientificPublicationDate_Earliest","virus","HP3","tioman","virus",0,1,1,"respiratory viruses (misc)","respiratory, fluid",1
"tonate","homo sapiens","PCR",2,"Hommel et al. 2000","primates","hominidae","homo","sapiens","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11500,0,0,0,2000,"ScientificPublicationDate_Earliest","virus","HP3","tonate","virus",0,0,0,NA,NA,0
"torque teno","homo sapiens","PCR",2,"Okamoto et al. 2000","primates","hominidae","homo","sapiens","unassigned","anelloviridae",NA,"anellovirus","SS","DNA","non-enveloped",FALSE,NA,3524,0,1,1,2000,"ScientificPublicationDate_Earliest","virus","HP3","torque teno","virus",0,0,0,NA,NA,1
"trubanaman","homo sapiens","Antibodies",0,"Johansen et al. 2005","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"unassigned","SS","RNA","enveloped",TRUE,TRUE,11803,0,1,0,2005,"ScientificPublicationDate_Earliest","virus","HP3","trubanaman","virus",1,1,1,"barmah forest-related","vector",1
"tula","homo sapiens","PCR",2,"Reynes et al. 2015","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12066,0,1,1,2015,"ScientificPublicationDate_Earliest","virus","HP3","tula","virus",0,1,1,"old world hantavirus","respiratory, fluid, environment",1
"una","homo sapiens","Antibodies",0,"Diaz et al. 2003","primates","hominidae","homo","sapiens","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11700,0,1,0,2003,"ScientificPublicationDate_Earliest","virus","HP3","una","virus",0,1,1,"mayaro-related alphaviral infection","vector",1
"usutu","homo sapiens","PCR",2,"Pecorari et al. 2009","primates","hominidae","homo","sapiens","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,11066,0,1,0,2009,"ScientificPublicationDate_Earliest","virus","HP3","usutu","virus",1,1,1,"west nile-related fever","vector",1
"uukuniemi","homo sapiens","Antibodies",0,"Traavik et al. 1977","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11372,0,1,0,1977,"ScientificPublicationDate_Earliest","virus","HP3","uukuniemi","virus",0,0,0,NA,NA,1
"vaccinia","homo sapiens","PCR",2,"Silve- Fernandes et al. 2009","primates","hominidae","homo","sapiens","unassigned","poxviridae","chordopoxvirinae","orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,194711,0,1,0,2009,"ScientificPublicationDate_Earliest","virus","HP3","vaccinia","virus",1,1,1,"pseudocowpox","direct",1
"variola","homo sapiens","Isolation",2,"Dumbell et al. 1999","primates","hominidae","homo","sapiens","unassigned","poxviridae","chordopoxvirinae","orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,185578,0,0,0,1999,"ScientificPublicationDate_Earliest","virus","HP3","variola","virus",0,0,0,NA,NA,0
"venezuelan equine encephalitis","homo sapiens","Isolation",2,"Mangiafico et al. 2002","primates","hominidae","homo","sapiens","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11444,0,1,1,2002,"ScientificPublicationDate_Earliest","virus","HP3","venezuelan equine encephalitis","virus",1,1,1,"venezuelan equine encephalitis","vector",1
"vesicular stomatitis alagoas","homo sapiens","Antibodies",0,"Tesh et al. 1987","primates","hominidae","homo","sapiens","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11070,0,1,0,1987,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis alagoas","virus",1,1,1,"vesicular stomatitis","vector, contact",1
"vesicular stomatitis indiana","homo sapiens","Antibodies",0,"Fields & Hawkins 1967","primates","hominidae","homo","sapiens","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1967,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis indiana","virus",1,1,1,"vesicular stomatitis","vector, contact",1
"vesicular stomatitis new jersey","homo sapiens","PCR",1,"Rodriguez et al. 2000","primates","hominidae","homo","sapiens","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11123,0,1,0,2000,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis new jersey","virus",1,1,1,"vesicular stomatitis","vector, contact",1
"wanowrie","homo sapiens","Isolation",2,"Pavri et al. 1976","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"unassigned","SS","RNA","enveloped",TRUE,TRUE,NA,0,0,0,1976,"ScientificPublicationDate_Earliest","virus","HP3","wanowrie","virus",0,0,0,NA,NA,0
"wesselsbron","homo sapiens","Isolation",2,"Smithburn et al. 1957","primates","hominidae","homo","sapiens","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10814,0,1,1,1957,"ScientificPublicationDate_Earliest","virus","HP3","wesselsbron","virus",1,1,1,"wesselsbron","vector",1
"west nile","homo sapiens","PCR",2,"Angelini et al. 2010","primates","hominidae","homo","sapiens","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,11029,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","west nile","virus",1,1,1,"west nile fever","vector, fluids",1
"western equine encephalitis","homo sapiens","Isolation",2,"Calisher et al. 1994","primates","hominidae","homo","sapiens","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11000,0,1,1,1994,"ScientificPublicationDate_Earliest","virus","HP3","western equine encephalitis","virus",1,1,1,"western equine encephalitis","vector",1
"whitewater arroyo","homo sapiens","PCR",2,"CDC Report","primates","hominidae","homo","sapiens","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,1,NA,"ScientificPublicationDate_Earliest","virus","HP3","whitewater arroyo","virus",1,1,1,"whitewater arroyo virus infection","environment, respiratory",1
"woolly monkey sarcoma","homo sapiens","Antibodies",0,"Aoki et al. 1976","primates","hominidae","homo","sapiens","unassigned","retroviridae","orthoretrovirinae","gammaretrovirus","SS","RNA","enveloped",FALSE,FALSE,5159,0,1,0,1976,"ScientificPublicationDate_Earliest","virus","HP3","woolly monkey sarcoma","virus",0,0,0,NA,NA,1
"wyeomyia","homo sapiens","Isolation",2,"Sirhongse & Johnson 1965","primates","hominidae","homo","sapiens","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,13097.5,0,1,1,1965,"ScientificPublicationDate_Earliest","virus","HP3","wyeomyia","virus",1,1,1,"bunyaviridae infections misc.","vector",1
"yaba monkey tumor","homo sapiens","Antibodies",0,"Grace & Mirand 1965","primates","hominidae","homo","sapiens","unassigned","poxviridae","chordopoxvirinae","yatapoxvirus","DS","DNA","enveloped",FALSE,TRUE,134721,0,1,0,1965,"ScientificPublicationDate_Earliest","virus","HP3","yaba monkey tumor","virus",1,1,0,NA,NA,1
"yellow fever","homo sapiens","Isolation",2,"Pisano et al. 1997","primates","hominidae","homo","sapiens","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,1997,"ScientificPublicationDate_Earliest","virus","HP3","yellow fever","virus",1,1,1,"yellow fever","vector, fluids",1
"zaire ebolavirus","homo sapiens","Isolation",2,"Georges et al. 1999","primates","hominidae","homo","sapiens","mononegavirales","filoviridae",NA,"ebolavirus","SS","RNA","enveloped",FALSE,TRUE,18959,0,1,1,1999,"ScientificPublicationDate_Earliest","virus","HP3","zaire ebolavirus","virus",1,1,1,"ebola","direct, food",1
"zika","homo sapiens","PCR",2,"Duffy et al. 2010","primates","hominidae","homo","sapiens","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10794,0,1,0,2010,"ScientificPublicationDate_Earliest","virus","HP3","zika","virus",1,1,1,"zika fever","vector, sexual",1
"venezuelan equine encephalitis","hoplomys gymnurus","Antibodies",0,"Grayson & Galido 1968","rodentia","echimyidae","hoplomys","gymnurus","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11444,0,1,1,1968,"ScientificPublicationDate_Earliest","virus","HP3","venezuelan equine encephalitis","virus",1,1,1,"venezuelan equine encephalitis","vector",1
"rabies","hydrochoerus hydrochaeris","Isolation",2,"Delpietro et al. 2009","rodentia","caviidae","hydrochoerus","hydrochaeris","mononegavirales","rhabdoviridae",NA,"lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","rabies","virus",1,1,1,"rabies","direct, bite",1
"encephalomyocarditis","hydromys chrysogaster","Isolation",2,"Tesh and Wallace 1978","rodentia","muridae","hydromys","chrysogaster","picornavirales","picornaviridae",NA,"cardiovirus","SS","RNA","non-enveloped",FALSE,TRUE,7835,0,1,1,1978,"ScientificPublicationDate_Earliest","virus","HP3","encephalomyocarditis","virus",1,1,1,"respiratory viruses (misc)","respiratory",1
"sindbis","hydromys chrysogaster","Antibodies",0,"Price 1978","rodentia","muridae","hydromys","chrysogaster","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11703,0,1,0,1978,"ScientificPublicationDate_Earliest","virus","HP3","sindbis","virus",1,1,1,"karelian fever, sindbis fever","vector",1
"bimiti","hylaeamys laticeps","Isolation",2,"Shope et al. 1988","rodentia","cricetidae","hylaeamys","laticeps","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12102,0,0,0,1988,"ScientificPublicationDate_Earliest","virus","HP3","bimiti","virus",0,0,0,NA,NA,0
"caraparu","hylaeamys laticeps","Isolation",2,"Shope et al. 1988","rodentia","cricetidae","hylaeamys","laticeps","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,1,1988,"ScientificPublicationDate_Earliest","virus","HP3","caraparu","virus",1,1,1,"group c viral fevers","vector",1
"catu","hylaeamys laticeps","Isolation",2,"Shope et al. 1988","rodentia","cricetidae","hylaeamys","laticeps","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12024,0,1,1,1988,"ScientificPublicationDate_Earliest","virus","HP3","catu","virus",1,1,1,"bunyaviridae infections misc.","vector",1
"guama","hylaeamys laticeps","Isolation",2,"Shope et al. 1988","rodentia","cricetidae","hylaeamys","laticeps","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,1,1988,"ScientificPublicationDate_Earliest","virus","HP3","guama","virus",1,1,1,"bunyaviridae infections misc.","vector",1
"venezuelan equine encephalitis","hylaeamys laticeps","Isolation",2,"Downs et al. 1963","rodentia","cricetidae","hylaeamys","laticeps","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11444,0,1,1,1963,"ScientificPublicationDate_Earliest","virus","HP3","venezuelan equine encephalitis","virus",1,1,1,"venezuelan equine encephalitis","vector",1
"amapari","hylaeamys megacephalus","Isolation",2,"Pinheiro et al. 1977","rodentia","cricetidae","hylaeamys","megacephalus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10387,0,0,0,1977,"ScientificPublicationDate_Earliest","virus","HP3","amapari","virus",0,0,0,NA,NA,0
"caraparu","hylaeamys megacephalus","Isolation",2,"Shope et al. 1988","rodentia","cricetidae","hylaeamys","megacephalus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,1,1988,"ScientificPublicationDate_Earliest","virus","HP3","caraparu","virus",1,1,1,"group c viral fevers","vector",1
"catu","hylaeamys megacephalus","Isolation",2,"Shope et al. 1988","rodentia","cricetidae","hylaeamys","megacephalus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12024,0,1,1,1988,"ScientificPublicationDate_Earliest","virus","HP3","catu","virus",1,1,1,"bunyaviridae infections misc.","vector",1
"changuinola","hylaeamys megacephalus","Isolation",2,"Silva et al. 2013","rodentia","cricetidae","hylaeamys","megacephalus","unassigned","reoviridae","sedoreovirinae","orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,1,1,2013,"ScientificPublicationDate_Earliest","virus","HP3","changuinola","virus",1,1,1,"new world phlebovirus","vector",1
"cupixi","hylaeamys megacephalus","Isolation",2,"Charrel et al. 2002","rodentia","cricetidae","hylaeamys","megacephalus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10438,0,0,0,2002,"ScientificPublicationDate_Earliest","virus","HP3","cupixi","virus",0,0,0,NA,NA,0
"flexal","hylaeamys megacephalus","Isolation",2,"Gonzalez et al. 2007","rodentia","cricetidae","hylaeamys","megacephalus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,0,2007,"ScientificPublicationDate_Earliest","virus","HP3","flexal","virus",0,0,0,NA,NA,1
"guama","hylaeamys megacephalus","Isolation",2,"Shope et al. 1988","rodentia","cricetidae","hylaeamys","megacephalus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,1,1988,"ScientificPublicationDate_Earliest","virus","HP3","guama","virus",1,1,1,"bunyaviridae infections misc.","vector",1
"marituba","hylaeamys megacephalus","Isolation",2,"Shope et al. 1988","rodentia","cricetidae","hylaeamys","megacephalus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12029.5,0,1,1,1988,"ScientificPublicationDate_Earliest","virus","HP3","marituba","virus",1,1,1,"group c viral fevers","vector",1
"oriboca","hylaeamys megacephalus","Isolation",2,"Shope et al. 1988","rodentia","cricetidae","hylaeamys","megacephalus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12259,0,1,0,1988,"ScientificPublicationDate_Earliest","virus","HP3","oriboca","virus",1,1,1,"group c viral fevers","vector",1
"gibbon ape leukemia","hylobates lar","Isolation",2,"Kawakami et al. 1972","primates","hylobatidae","hylobates","lar","unassigned","retroviridae","orthoretrovirinae","gammaretrovirus","SS","RNA","enveloped",FALSE,FALSE,8088,0,1,0,1972,"ScientificPublicationDate_Earliest","virus","HP3","gibbon ape leukemia","virus",0,0,0,NA,NA,1
"hepatitis b","hylobates lar","Antibodies",0,"Mimms et al . 1993","primates","hylobatidae","hylobates","lar","unassigned","hepadnaviridae",NA,"orthohepadnavirus","DS","DNA","enveloped",FALSE,FALSE,3215,0,1,1,1993,"ScientificPublicationDate_Earliest","virus","HP3","hepatitis b","virus",1,1,1,"hepatitis b","direct, sexual, blood",1
"hepatitis b","hylobates moloch","Antibodies",0,"Payne et al. 2004","primates","hylobatidae","hylobates","moloch","unassigned","hepadnaviridae",NA,"orthohepadnavirus","DS","DNA","enveloped",FALSE,FALSE,3215,0,1,1,2004,"ScientificPublicationDate_Earliest","virus","HP3","hepatitis b","virus",1,1,1,"hepatitis b","direct, sexual, blood",1
"hepatitis b","hylobates pileatus","PCR",2,"Sall AA et al 2005","primates","hylobatidae","hylobates","pileatus","unassigned","hepadnaviridae",NA,"orthohepadnavirus","DS","DNA","enveloped",FALSE,FALSE,3215,0,1,1,2005,"ScientificPublicationDate_Earliest","virus","HP3","hepatitis b","virus",1,1,1,"hepatitis b","direct, sexual, blood",1
"simian foamy","hylobates pileatus","Antibodies",0,"Hussain et al. 2003","primates","hylobatidae","hylobates","pileatus","unassigned","retroviridae","spumaretrovirinae","spumavirus","SS","RNA","enveloped",FALSE,FALSE,13246,0,1,1,2003,"ScientificPublicationDate_Earliest","virus","HP3","simian foamy","virus",0,0,0,NA,NA,1
"lake victoria marburgvirus","hypsignathus monstrosus","Antibodies",0,"Pourrut et al. 2009","chiroptera","pteropodidae","hypsignathus","monstrosus","mononegavirales","filoviridae",NA,"marburgvirus","SS","RNA","enveloped",FALSE,TRUE,19111,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","marburg","virus",1,1,1,"marburg virus disease","direct, environmental, fluids, respiratory",1
"nipah","hypsignathus monstrosus","Antibodies",0,"Hayman et al. 2008","chiroptera","pteropodidae","hypsignathus","monstrosus","mononegavirales","paramyxoviridae","paramyxovirinae","henipavirus","SS","RNA","enveloped",FALSE,TRUE,18246,0,1,1,2008,"ScientificPublicationDate_Earliest","virus","HP3","nipah","virus",1,1,1,"nipah virus encephalitis","food, direct, respiratory",1
"zaire ebolavirus","hypsignathus monstrosus","PCR",2,"Leroy et al. 2004","chiroptera","pteropodidae","hypsignathus","monstrosus","mononegavirales","filoviridae",NA,"ebolavirus","SS","RNA","enveloped",FALSE,TRUE,18959,0,1,1,2004,"ScientificPublicationDate_Earliest","virus","HP3","zaire ebolavirus","virus",1,1,1,"ebola","direct, food",1
