"name","exact","type","order","class","family","genus","species","rg_updated","species_updated","class_updated","order_updated","family_updated","genus_updated","unresolved_notes"
"gb virus d",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepatitis GB virus B",TRUE,"Pegivirus B","Flasuviricetes","Amarillovirales","Flaviviridae","Pegivirus",""
"goat adenovirus",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Atadenovirus","Ovine atadenovirus D",TRUE,"Ovine atadenovirus D","Tectiliviricetes","Rowavirales","Adenoviridae","Atadenovirus",""
"guinea pig type-c oncovirus",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Guinea pig adenovirus",TRUE,"Guinea pig type-c oncovirus","Revtraviricetes","Ortervirales","Retroviridae","","unresolved; no clear match in NCBITaxonomy"
"hepatitis a",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepacivirus C",TRUE,"Hepatovirus A","Pisoniviricetes","Picornavirales","Picornaviridae","Hepatovirus",""
"hepatitis b",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepacivirus C",TRUE,"Hepatitis B virus","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus",""
"hepatitis e",FALSE,"viruses","Amarillovirales","Flasuviricetes","Flaviviridae","Hepacivirus","Hepacivirus C",TRUE,"Orthohepevirus A","Alsuviricetes","Hepelivirales","Hepeviridae","Orthohepevirus",""
"human adenovirus a",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus E",TRUE,"Human mastadenovirus A","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus b",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus G",TRUE,"Human mastadenovirus B","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus c",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus G",TRUE,"Human mastadenovirus C","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus d",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus B",TRUE,"Human mastadenovirus D","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus e",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus G",TRUE,"Human mastadenovirus E","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human adenovirus f",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus G",TRUE,"Human mastadenovirus F","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human mastadenovirus g",FALSE,"viruses","Rowavirales","Tectiliviricetes","Adenoviridae","Mastadenovirus","Human mastadenovirus C",TRUE,"Human mastadenovirus G","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus",""
"human papillomavirus 71",FALSE,"viruses","Zurhausenvirales","Papovaviricetes","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 11",TRUE,"Alphapapillomavirus 14 ","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Alphapapillomavirus",""
"human rhinovirus b",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Rhinovirus A",TRUE,"Rhinovirus B","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
"human rhinovirus c",FALSE,"viruses","Picornavirales","Pisoniviricetes","Picornaviridae","Enterovirus","Rhinovirus A",TRUE,"Rhinovirus C","Pisoniviricetes","Picornavirales","Picornaviridae","Enterovirus",""
