name,exact,type,order,class,family,genus,species,checked_prev,rg_updated,species_updated,class_updated,order_updated,family_updated,genus_updated,unresolved_notes
bouboui,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Bouboui virus,TRUE,,,,,,,
bovine adenovirus a,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B,TRUE,TRUE,Bovine mastadenovirus A,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
bovine adenovirus b,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B,TRUE,,,,,,,
bovine adenovirus c,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B,TRUE,TRUE,Bovine mastadenovirus C,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
bovine adenovirus d,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B,TRUE,TRUE,Bovine mastadenovirus D,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
bovine adenovirus e,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Bovine mastadenovirus B,TRUE,TRUE,Bovine mastadenovirus E,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,
bovine diarrhoea,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,,TRUE,TRUE,Pestivirus A,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,
bovine enteric calicivirus strain nb,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Norovirus,Norwalk virus,TRUE,,,,,,,
bovine ephemeral fever,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Ephemerovirus,Bovine fever ephemerovirus,TRUE,,,,,,,
bovine foamy,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Bovispumavirus,Bovine foamy virus,TRUE,,,,,,,
bovine immunodeficiency,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Bovine immunodeficiency virus,TRUE,,,,,,,
bovine leukemia,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Deltaretrovirus,Bovine leukemia virus,TRUE,,,,,,,
bovine norovirus-ch126,FALSE,viruses,Nidovirales,Pisoniviricetes,Tobaniviridae,Torovirus,Bovine torovirus,TRUE,TRUE,Norwalk virus,Pisoniviricetes,Picornavirales,Caliciviridae,Norovirus,
