name,class,clade,superorder,order,suborder,family,subfamily,genus,species,subspecies,subgenus,subclass,infraclass,cohort,infraorder,superfamily,parvorder,tribe,species group,no rank
blastocerus dichotomus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Blastocerus,Blastocerus dichotomus,,,,,,Pecora,,,,,
bos frontalis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bos,Bos frontalis,,,,,,Pecora,,,,,
bos frontalis gaurus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bos,Bos frontalis x Bos taurus,,,,,,Pecora,,,,,
bos grunniens,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bos,Bos grunniens,,,,,,Pecora,,,,,
bos grunniens mutus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bos,Bos mutus,,,,,,Pecora,,,,,
bos javanicus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bos,Bos javanicus,,,,,,Pecora,,,,,
bos taurus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bos,Bos taurus,,,,,,Pecora,,,,,
bos taurus indicus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bos,Bos indicus,,,,,,Pecora,,,,,
bos taurus primigenius,Gastropoda,Helicina,Eupulmonata,Stylommatophora,,Orthalicidae,,Bostryx,Bostryx primigenius,,,Heterobranchia,,,,Orthalicoidea,,,,
boselaphus tragocamelus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Boselaphus,Boselaphus tragocamelus,,,,,,Pecora,,,,,
bubalus bubalis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bubalus,Bubalus bubalis,,,,,,Pecora,,,,,
bubalus bubalis arnee,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bubalus,Bubalus carabanensis,,,,,,Pecora,,,,,
bubalus carabanensis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Bubalus,Bubalus carabanensis,,,,,,Pecora,,,,,
budorcas taxicolor,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Budorcas,Budorcas taxicolor,,,,,,Pecora,,,,,
camelus bactrianus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,,Camelus,Camelus bactrianus,,,,,,,,,,,
camelus dromedarius,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,,Camelus,Camelus dromedarius,,,,,,,,,,,
capra caucasica,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Capra,Capra caucasica,,,,,,Pecora,,,,,
capra hircus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Capra,Capra hircus,,,,,,Pecora,,,,,
capra hircus aegagrus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Capra,Capra aegagrus,,,,,,Pecora,,,,,
capra ibex,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Capra,Capra ibex,,,,,,Pecora,,,,,
capra nubiana,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Capra,Capra nubiana,,,,,,Pecora,,,,,
capra pyrenaica,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Capra,Capra pyrenaica,,,,,,Pecora,,,,,
capreolus capreolus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Capreolus,Capreolus capreolus,,,,,,Pecora,,,,,
capricornis crispus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Capricornis,Capricornis crispus,,,,,,Pecora,,,,,
capricornis sumatraensis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Capricornis,Capricornis sumatraensis,,,,,,Pecora,,,,,
cephalophus callipygus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Cephalophus,Cephalophus callipygus,,,,,,Pecora,,,,,
cephalophus dorsalis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Cephalophus,Cephalophus dorsalis,,,,,,Pecora,,,,,
cephalophus leucogaster,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Cephalophus,Cephalophus leucogaster,,,,,,Pecora,,,,,
cephalophus niger,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Cephalophus,Cephalophus niger,,,,,,Pecora,,,,,
cephalophus nigrifrons,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Cephalophus,Cephalophus nigrifrons,,,,,,Pecora,,,,,
cephalophus rufilatus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Cephalophus,Cephalophus rufilatus,,,,,,Pecora,,,,,
cephalophus silvicultor,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Cephalophus,Cephalophus silvicultor,,,,,,Pecora,,,,,
cephalophus weynsi,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Cephalophus,Cephalophus weynsi,,,,,,Pecora,,,,,
cephalophus zebra,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Cephalophus,Cephalophus zebra,,,,,,Pecora,,,,,
cervus elaphus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Cervus,Cervus elaphus,,,,,,Pecora,,,,,
cervus nippon,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Cervus,Cervus nippon,,,,,,Pecora,,,,,
choeropsis liberiensis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Hippopotamidae,,Hexaprotodon,Hexaprotodon liberiensis,,,,,,Ancodonta,,,,,
connochaetes gnou,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Alcelaphinae,Connochaetes,Connochaetes gnou,,,,,,Pecora,,,,,
connochaetes taurinus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Alcelaphinae,Connochaetes,Connochaetes taurinus,,,,,,Pecora,,,,,
dama dama,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Dama,Dama dama,,,,,,Pecora,,,,,
damaliscus lunatus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Alcelaphinae,Damaliscus,Damaliscus lunatus,,,,,,Pecora,,,,,
damaliscus pygargus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Alcelaphinae,Damaliscus,Damaliscus pygargus,,,,,,Pecora,,,,,
delphinapterus leucas,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Monodontidae,,Delphinapterus,Delphinapterus leucas,,,,,,Cetacea,,Odontoceti,,,
delphinus delphis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Delphinus,Delphinus delphis,,,,,,Cetacea,,Odontoceti,,,
elaphodus cephalophus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Muntiacinae,Elaphodus,Elaphodus cephalophus,,,,,,Pecora,,,,,
elaphurus davidianus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Elaphurus,Elaphurus davidianus,,,,,,Pecora,,,,,
eschrichtius robustus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Eschrichtiidae,,Eschrichtius,Eschrichtius robustus,,,,,,Cetacea,,Mysticeti,,,
eudorcas thomsonii,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Eudorcas,Eudorcas thomsonii,,,,,,Pecora,,,,,
feresa attenuata,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Feresa,Feresa attenuata,,,,,,Cetacea,,Odontoceti,,,
gazella dorcas,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Gazella,Gazella dorcas,,,,,,Pecora,,,,,
gazella gazella,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Gazella,Gazella gazella,,,,,,Pecora,,,,,
gazella subgutturosa,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Gazella,Gazella subgutturosa,,,,,,Pecora,,,,,
giraffa camelopardalis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Giraffidae,,Giraffa,Giraffa camelopardalis,,,,,,Pecora,,,,,
globicephala macrorhynchus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Globicephala,Globicephala macrorhynchus,,,,,,Cetacea,,Odontoceti,,,
globicephala melas,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Globicephala,Globicephala melas,,,,,,Cetacea,,Odontoceti,,,
grampus griseus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Grampus,Grampus griseus,,,,,,Cetacea,,Odontoceti,,,
hemitragus jemlahicus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Hemitragus,Hemitragus jemlahicus,,,,,,Pecora,,,,,
hexaprotodon liberiensis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Hippopotamidae,,Hexaprotodon,Hexaprotodon liberiensis,,,,,,Ancodonta,,,,,
hippopotamus amphibius,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Hippopotamidae,,Hippopotamus,Hippopotamus amphibius,,,,,,Ancodonta,,,,,
hippotragus equinus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Hippotraginae,Hippotragus,Hippotragus equinus,,,,,,Pecora,,,,,
hippotragus niger,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Hippotraginae,Hippotragus,Hippotragus niger,,,,,,Pecora,,,,,
hydropotes inermis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Hydropotinae,Hydropotes,Hydropotes inermis,,,,,,Pecora,,,,,
hylochoerus meinertzhageni,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Hylochoerus,Hylochoerus meinertzhageni,,,,,,,,,,,
indopacetus pacificus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Ziphiidae,,Indopacetus,Indopacetus pacificus,,,,,,Cetacea,,Odontoceti,,,
kobus ellipsiprymnus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Reduncinae,Kobus,Kobus ellipsiprymnus,,,,,,Pecora,,,,,
kobus kob,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Reduncinae,Kobus,Kobus kob,,,,,,Pecora,,,,,
kobus leche,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Reduncinae,Kobus,Kobus leche,,,,,,Pecora,,,,,
kobus megaceros,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Reduncinae,Kobus,Kobus megaceros,,,,,,Pecora,,,,,
kogia breviceps,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Physeteridae,,Kogia,Kogia breviceps,,,,,,Cetacea,,Odontoceti,,,
lagenodelphis hosei,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Lagenodelphis,Lagenodelphis hosei,,,,,,Cetacea,,Odontoceti,,,
lagenorhynchus acutus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Lagenorhynchus,Lagenorhynchus acutus,,,,,,Cetacea,,Odontoceti,,,
lagenorhynchus albirostris,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Lagenorhynchus,Lagenorhynchus albirostris,,,,,,Cetacea,,Odontoceti,,,
lagenorhynchus obliquidens,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Lagenorhynchus,Lagenorhynchus obliquidens,,,,,,Cetacea,,Odontoceti,,,
lagenorhynchus obscurus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Lagenorhynchus,Lagenorhynchus obscurus,,,,,,Cetacea,,Odontoceti,,,
lama glama,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,,Lama,Lama glama,,,,,,,,,,,
lama glama guanicoe,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,,Lama,Lama guanicoe,Lama guanicoe guanicoe,,,,,,,,,,
litocranius walleri,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Litocranius,Litocranius walleri,,,,,,Pecora,,,,,
madoqua kirkii,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Madoqua,Madoqua kirkii,,,,,,Pecora,,,,,
madoqua saltiana,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Madoqua,Madoqua saltiana,,,,,,Pecora,,,,,
mazama americana,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Mazama,Mazama americana,,,,,,Pecora,,,,,
mazama gouazoubira,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Mazama,Mazama gouazoupira,,,,,,Pecora,,,,,
mazama nana,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Mazama,Mazama nana,,,,,,Pecora,,,,,
muntiacus muntjak,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Muntiacinae,Muntiacus,Muntiacus muntjak,,,,,,Pecora,,,,,
muntiacus reevesi,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Muntiacinae,Muntiacus,Muntiacus reevesi,,,,,,Pecora,,,,,
nanger granti,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Nanger,Nanger granti,,,,,,Pecora,,,,,
odocoileus hemionus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Odocoileus,Odocoileus hemionus,,,,,,Pecora,,,,,
odocoileus virginianus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Odocoileus,Odocoileus virginianus,,,,,,Pecora,,,,,
okapia johnstoni,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Giraffidae,,Okapia,Okapia johnstoni,,,,,,Pecora,,,,,
orcinus orca,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Orcinus,Orcinus orca,,,,,,Cetacea,,Odontoceti,,,
oreamnos americanus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Oreamnos,Oreamnos americanus,,,,,,Pecora,,,,,
oreotragus oreotragus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Oreotragus,Oreotragus oreotragus,,,,,,Pecora,,,,,
oryx beisa,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Hippotraginae,Oryx,Oryx beisa,,,,,,Pecora,,,,,
oryx dammah,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Hippotraginae,Oryx,Oryx dammah,,,,,,Pecora,,,,,
oryx gazella,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Hippotraginae,Oryx,Oryx gazella,,,,,,Pecora,,,,,
oryx leucoryx,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Hippotraginae,Oryx,Oryx leucoryx,,,,,,Pecora,,,,,
ourebia ourebi,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Ourebia,Ourebia ourebi,,,,,,Pecora,,,,,
ovibos moschatus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Ovibos,Ovibos moschatus,,,,,,Pecora,,,,,
ovis ammon,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Ovis,Ovis ammon,,,,,,Pecora,,,,,
ovis aries,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Ovis,Ovis aries,,,,,,Pecora,,,,,
ovis aries orientalis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Ovis,Ovis orientalis,,,,,,Pecora,,,,,
ovis canadensis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Ovis,Ovis canadensis,,,,,,Pecora,,,,,
ovis dalli,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Ovis,Ovis dalli,,,,,,Pecora,,,,,
ozotoceros bezoarticus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Ozotoceros,Ozotoceros bezoarticus,,,,,,Pecora,,,,,
pecari tajacu,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Tayassuidae,,Pecari,Pecari tajacu,,,,,,,,,,,
peponocephala electra,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Peponocephala,Peponocephala electra,,,,,,Cetacea,,Odontoceti,,,
phacochoerus aethiopicus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Phacochoerus,Phacochoerus aethiopicus,,,,,,,,,,,
phacochoerus africanus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Phacochoerus,Phacochoerus africanus,,,,,,,,,,,
philantomba maxwellii,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Philantomba,Philantomba maxwellii,,,,,,Pecora,,,,,
philantomba monticola,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Philantomba,Philantomba monticola,,,,,,Pecora,,,,,
phocoena phocoena,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Phocoenidae,,Phocoena,Phocoena phocoena,,,,,,Cetacea,,Odontoceti,,,
phocoena spinipinnis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Phocoenidae,,Phocoena,Phocoena spinipinnis,,,,,,Cetacea,,Odontoceti,,,
phocoenoides dalli,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Phocoenidae,,Phocoenoides,Phocoenoides dalli,,,,,,Cetacea,,Odontoceti,,,
physeter macrocephalus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Physeteridae,,Physeter,Physeter catodon,,,,,,Cetacea,,Odontoceti,,,
potamochoerus larvatus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Potamochoerus,Potamochoerus larvatus,,,,,,,,,,,
potamochoerus porcus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Potamochoerus,Potamochoerus porcus,,,,,,,,,,,
procapra gutturosa,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Procapra,Procapra gutturosa,,,,,,Pecora,,,,,
pseudois nayaur,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Pseudois,Pseudois nayaur,,,,,,Pecora,,,,,
pseudorca crassidens,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Pseudorca,Pseudorca crassidens,,,,,,Cetacea,,Odontoceti,,,
pudu puda,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Pudu,Pudu puda,,,,,,Pecora,,,,,
rangifer tarandus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Odocoileinae,Rangifer,Rangifer tarandus,,,,,,Pecora,,,,,
raphicerus campestris,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Raphicerus,Raphicerus campestris,,,,,,Pecora,,,,,
raphicerus sharpei,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Raphicerus,Raphicerus sharpei,,,,,,Pecora,,,,,
redunca arundinum,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Reduncinae,Redunca,Redunca arundinum,,,,,,Pecora,,,,,
redunca fulvorufula,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Reduncinae,Redunca,Redunca fulvorufula,,,,,,Pecora,,,,,
redunca redunca,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Reduncinae,Redunca,Redunca redunca,,,,,,Pecora,,,,,
rucervus duvaucelii,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Rucervus,Rucervus duvaucelii,,,,,,Pecora,,,,,
rupicapra pyrenaica,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Rupicapra,Rupicapra pyrenaica,,,,,,Pecora,,,,,
rupicapra rupicapra,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Caprinae,Rupicapra,Rupicapra rupicapra,,,,,,Pecora,,,,,
rusa alfredi,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Rusa,Rusa alfredi,,,,,,Pecora,,,,,
rusa timorensis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Rusa,Rusa timorensis,,,,,,Pecora,,,,,
rusa unicolor,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Cervidae,Cervinae,Rusa,Rusa unicolor,,,,,,Pecora,,,,,
saiga tatarica,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Antilopinae,Saiga,Saiga tatarica,,,,,,Pecora,,,,,
sotalia guianensis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Sotalia,Sotalia guianensis,,,,,,Cetacea,,Odontoceti,,,
stenella coeruleoalba,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Stenella,Stenella coeruleoalba,,,,,,Cetacea,,Odontoceti,,,
stenella frontalis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Stenella,Stenella frontalis,,,,,,Cetacea,,Odontoceti,,,
sus barbatus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Sus,Sus barbatus,,,,,,,,,,,
sus celebensis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Sus,Sus celebensis,,,,,,,,,,,
sus scrofa,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Sus,Sus scrofa,,,,,,,,,,,
sus verrucosus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Suina,Suidae,,Sus,Sus verrucosus,,,,,,,,,,,
sylvicapra grimmia,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Cephalophinae,Sylvicapra,Sylvicapra grimmia,,,,,,Pecora,,,,,
syncerus caffer,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Syncerus,Syncerus caffer,,,,,,Pecora,,,,,
taurotragus oryx,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Tragelaphus,Tragelaphus oryx,,,,,,Pecora,,,,,
tragelaphus angasii,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Tragelaphus,Tragelaphus angasii,,,,,,Pecora,,,,,
tragelaphus eurycerus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Tragelaphus,Tragelaphus eurycerus,,,,,,Pecora,,,,,
tragelaphus imberbis,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Tragelaphus,Tragelaphus imberbis,,,,,,Pecora,,,,,
tragelaphus oryx,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Tragelaphus,Tragelaphus oryx,,,,,,Pecora,,,,,
tragelaphus scriptus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Tragelaphus,Tragelaphus scriptus,,,,,,Pecora,,,,,
tragelaphus spekii,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Tragelaphus,Tragelaphus spekii,,,,,,Pecora,,,,,
tragelaphus strepsiceros,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bovinae,Tragelaphus,Tragelaphus strepsiceros,,,,,,Pecora,,,,,
tragulus javanicus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Tragulidae,,Tragulus,Tragulus javanicus,,,,,,Tragulina,,,,,
tursiops aduncus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Tursiops,Tursiops aduncus,,,,,,Cetacea,,Odontoceti,,,
