HostOriginal,HostTaxID,HostNCBIResolved,Host,HostGenus,HostFamily,HostOrder,HostClass,ManualResolved_Note
centrocercus urophasianus,9002,TRUE,Centrocercus urophasianus,Centrocercus,Phasianidae,Galliformes,Aves,
centrochelys sulcata,1540822,TRUE,Centrochelys sulcata,Centrochelys,Testudinidae,Testudines,NA,
centrolabrus exoletus,171732,TRUE,Centrolabrus exoletus,Centrolabrus,Labridae,Labriformes,Actinopteri,
centrolophus niger,316130,TRUE,Centrolophus niger,Centrolophus,Centrolophidae,Scombriformes,Actinopteri,
centropomus undecimalis,28806,TRUE,Centropomus undecimalis,Centropomus,Centropomidae,NA,Actinopteri,
centropus phasianinus,121387,TRUE,Centropus phasianinus,Centropus,Centropidae,Cuculiformes,Aves,
centropyge argi,367073,TRUE,Centropyge argi,Centropyge,Pomacanthidae,NA,Actinopteri,
cephalopholis boenak,91743,TRUE,Cephalopholis boenak,Cephalopholis,Serranidae,Perciformes,Actinopteri,
cephalophus callipygus,129223,TRUE,Cephalophus callipygus,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cephalophus dorsalis,97360,TRUE,Cephalophus dorsalis,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cephalophus leucogaster,70738,TRUE,Cephalophus leucogaster,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cephalophus natalensis,69299,TRUE,Cephalophus natalensis,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cephalophus niger,129226,TRUE,Cephalophus niger,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cephalophus nigrifrons,129227,TRUE,Cephalophus nigrifrons,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cephalophus rufilatus,129230,TRUE,Cephalophus rufilatus,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cephalophus silvicultor,50347,TRUE,Cephalophus silvicultor,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cephalophus weynsi,129232,TRUE,Cephalophus weynsi,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cephalophus zebra,129233,TRUE,Cephalophus zebra,Cephalophus,Bovidae,Artiodactyla,Mammalia,
cepola macrophthalma,334382,TRUE,Cepola macrophthalma,Cepola,Cepolidae,Priacanthiformes,Actinopteri,
cerastes cerastes,8697,TRUE,Cerastes cerastes,Cerastes,Viperidae,Squamata,Lepidosauria,
ceratophrys cranwelli,318268,TRUE,Ceratophrys cranwelli,Ceratophrys,Ceratophryidae,Anura,Amphibia,
ceratophrys ornata,30347,TRUE,Ceratophrys ornata,Ceratophrys,Ceratophryidae,Anura,Amphibia,
ceratotherium simum,9807,TRUE,Ceratotherium simum,Ceratotherium,Rhinocerotidae,Perissodactyla,Mammalia,
cercocebus agilis,255237,TRUE,Cercocebus agilis,Cercocebus,Cercopithecidae,Primates,Mammalia,
cercocebus atys,9531,TRUE,Cercocebus atys,Cercocebus,Cercopithecidae,Primates,Mammalia,
cercocebus chrysogaster,75569,TRUE,Cercocebus chrysogaster,Cercocebus,Cercopithecidae,Primates,Mammalia,
cercocebus galeritus,9532,TRUE,Cercocebus galeritus,Cercocebus,Cercopithecidae,Primates,Mammalia,
cercocebus torquatus,9530,TRUE,Cercocebus torquatus,Cercocebus,Cercopithecidae,Primates,Mammalia,
cercopithecus albogularis,867370,TRUE,Cercopithecus albogularis,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus ascanius,36223,TRUE,Cercopithecus ascanius,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus campbelli,303588,TRUE,Cercopithecus campbelli,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus cephus,9535,TRUE,Cercopithecus cephus,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus denti,1137511,TRUE,Cercopithecus denti,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus diana,36224,TRUE,Cercopithecus diana,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus erythrotis,167130,TRUE,Cercopithecus erythrotis,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus hamlyni,9536,TRUE,Cercopithecus hamlyni,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus kandti,1137481,TRUE,Cercopithecus kandti,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus lhoesti,100224,TRUE,Allochrocebus lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,
cercopithecus mitis,36225,TRUE,Cercopithecus mitis,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus mona,36226,TRUE,Cercopithecus mona,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus neglectus,36227,TRUE,Cercopithecus neglectus,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus nictitans,36228,TRUE,Cercopithecus nictitans,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus petaurista,100487,TRUE,Cercopithecus petaurista,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus pogonias,102108,TRUE,Cercopithecus pogonias,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cercopithecus preussi,147649,TRUE,Allochrocebus preussi,Allochrocebus,Cercopithecidae,Primates,Mammalia,
cercopithecus solatus,147650,TRUE,Allochrocebus solatus,Allochrocebus,Cercopithecidae,Primates,Mammalia,
cercopithecus wolfi,263448,TRUE,Cercopithecus wolfi,Cercopithecus,Cercopithecidae,Primates,Mammalia,
cerdocyon thous,9620,TRUE,Cerdocyon thous,Cerdocyon,Canidae,Carnivora,Mammalia,
cerradomys subflavus,37022,TRUE,Cerradomys subflavus,Cerradomys,Cricetidae,Rodentia,Mammalia,
cervus alfredi,1088129,TRUE,Rusa alfredi,Rusa,Cervidae,Artiodactyla,Mammalia,
cervus elaphus,9860,TRUE,Cervus elaphus,Cervus,Cervidae,Artiodactyla,Mammalia,
cervus nippon,9863,TRUE,Cervus nippon,Cervus,Cervidae,Artiodactyla,Mammalia,
cervus timorensis,1088130,TRUE,Rusa timorensis,Rusa,Cervidae,Artiodactyla,Mammalia,
chaenobryttus gulosus,201690,TRUE,Lepomis gulosus,Lepomis,Centrarchidae,Centrarchiformes,Actinopteri,
chaenocephalus aceratus,36190,TRUE,Chaenocephalus aceratus,Chaenocephalus,Channichthyidae,Perciformes,Actinopteri,
chaerephon plicatus,478698,TRUE,Chaerephon plicatus,Chaerephon,Molossidae,Chiroptera,Mammalia,
chaerephon pumilus,242384,TRUE,Chaerephon pumilus,Chaerephon,Molossidae,Chiroptera,Mammalia,
chaetodipus hispidus,38665,TRUE,Chaetodipus hispidus,Chaetodipus,Heteromyidae,Rodentia,Mammalia,
chaetodipus penicillatus,38672,TRUE,Chaetodipus penicillatus,Chaetodipus,Heteromyidae,Rodentia,Mammalia,
chaetodipus spinatus,145413,TRUE,Chaetodipus spinatus,Chaetodipus,Heteromyidae,Rodentia,Mammalia,
chaetodon adiergastos,466112,TRUE,Chaetodon adiergastos,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon aureofasciatus,109683,TRUE,Chaetodon aureofasciatus,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon auriga,39042,TRUE,Chaetodon auriga,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon baronessa,109685,TRUE,Chaetodon baronessa,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon bennetti,466113,TRUE,Chaetodon bennetti,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon capistratus,37949,TRUE,Chaetodon capistratus,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon citrinellus,109686,TRUE,Chaetodon citrinellus,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon ephippium,109689,TRUE,Chaetodon ephippium,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon fasciatus,466117,TRUE,Chaetodon fasciatus,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon flavirostris,109690,TRUE,Chaetodon flavirostris,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon kleinii,109691,TRUE,Chaetodon kleinii,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon lunula,109694,TRUE,Chaetodon lunula,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon lunulatus,281677,TRUE,Chaetodon lunulatus,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon miliaris,39045,TRUE,Chaetodon miliaris,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon ornatissimus,109700,TRUE,Chaetodon ornatissimus,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon plebeius,109702,TRUE,Chaetodon plebeius,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon punctatofasciatus,39040,TRUE,Chaetodon punctatofasciatus,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon rainfordi,109704,TRUE,Chaetodon rainfordi,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon sedentarius,466123,TRUE,Chaetodon sedentarius,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon speculum,109705,TRUE,Chaetodon speculum,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon unimaculatus,281679,TRUE,Chaetodon unimaculatus,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetodon vagabundus,109709,TRUE,Chaetodon vagabundus,Chaetodon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chaetophractus vellerosus,340076,TRUE,Chaetophractus vellerosus,Chaetophractus,Chlamyphoridae,Cingulata,Mammalia,
chalcophaps indica,187108,TRUE,Chalcophaps indica,Chalcophaps,Columbidae,Columbiformes,Aves,
chamaeleo calyptratus,179908,TRUE,Chamaeleo calyptratus,Chamaeleo,Chamaeleonidae,Squamata,Lepidosauria,
chamaeleo dilepis,91908,TRUE,Chamaeleo dilepis,Chamaeleo,Chamaeleonidae,Squamata,Lepidosauria,
channa argus,215402,TRUE,Channa argus,Channa,Channidae,Anabantiformes,Actinopteri,
channa lucius,64146,TRUE,Channa lucius,Channa,Channidae,Anabantiformes,Actinopteri,
channa maculata,188791,TRUE,Channa maculata,Channa,Channidae,Anabantiformes,Actinopteri,
channa micropeltes,64149,TRUE,Channa micropeltes,Channa,Channidae,Anabantiformes,Actinopteri,
channa punctata,304456,TRUE,Channa punctata,Channa,Channidae,Anabantiformes,Actinopteri,
channa striata,64152,TRUE,Channa striata,Channa,Channidae,Anabantiformes,Actinopteri,
chanodichthys dabryi,194365,TRUE,Chanodichthys dabryi,Chanodichthys,Xenocyprididae,Cypriniformes,Actinopteri,
chanodichthys erythropterus,933992,TRUE,Chanodichthys erythropterus,Chanodichthys,Xenocyprididae,Cypriniformes,Actinopteri,
chanodichthys ilishaeformis,291482,TRUE,Chanodichthys ilishaeformis,Chanodichthys,Xenocyprididae,Cypriniformes,Actinopteri,
chanodichthys mongolicus,291816,TRUE,Chanodichthys mongolicus,Chanodichthys,Xenocyprididae,Cypriniformes,Actinopteri,
chanos chanos,29144,TRUE,Chanos chanos,Chanos,Chanidae,Gonorynchiformes,Actinopteri,
charadrius alexandrinus,50392,TRUE,Charadrius alexandrinus,Charadrius,Charadriidae,Charadriiformes,Aves,
charadrius melodus,279942,TRUE,Charadrius melodus,Charadrius,Charadriidae,Charadriiformes,Aves,
charmosyna josefinae,1548965,TRUE,Charmosyna josefinae,Charmosyna,Psittaculidae,Psittaciformes,Aves,
chasiempis sandwichensis,291285,TRUE,Chasiempis sandwichensis,Chasiempis,Monarchidae,Passeriformes,Aves,
cheilodactylus variegatus,274805,TRUE,Cheilodactylus variegatus,Cheilodactylus,Cheilodactylidae,Centrarchiformes,Actinopteri,
cheilopogon pinnatibarbatus,307590,TRUE,Cheilopogon pinnatibarbatus,Cheilopogon,Exocoetidae,Beloniformes,Actinopteri,
cheirogaleus major,47177,TRUE,Cheirogaleus major,Cheirogaleus,Cheirogaleidae,Primates,Mammalia,
cheirogaleus medius,9460,TRUE,Cheirogaleus medius,Cheirogaleus,Cheirogaleidae,Primates,Mammalia,
chelidonichthys lucernus,2576622,TRUE,Chelidonichthys lucerna,Chelidonichthys,Triglidae,Perciformes,Actinopteri,
chelidonichthys obscurus,349663,TRUE,Chelidonichthys obscurus,Chelidonichthys,Triglidae,Perciformes,Actinopteri,
chelidonichthys spinosus,450224,TRUE,Chelidonichthys spinosus,Chelidonichthys,Triglidae,Perciformes,Actinopteri,
chelmon rostratus,109905,TRUE,Chelmon rostratus,Chelmon,Chaetodontidae,Chaetodontiformes,Actinopteri,
chelodina longicollis,44491,TRUE,Chelodina longicollis,Chelodina,Chelidae,Testudines,NA,
chelodina oblonga,44492,TRUE,Chelodina oblonga,Chelodina,Chelidae,Testudines,NA,
chelodina rugosa,44492,TRUE,Chelodina oblonga,Chelodina,Chelidae,Testudines,NA,
chelonia mydas,8469,TRUE,Chelonia mydas,Chelonia,Cheloniidae,Testudines,NA,
chelonoidis carbonarius,50047,TRUE,Chelonoidis carbonarius,Chelonoidis,Testudinidae,Testudines,NA,
chelonoidis chilensis,904182,TRUE,Chelonoidis chilensis,Chelonoidis,Testudinidae,Testudines,NA,
chelydra serpentina,8475,TRUE,Chelydra serpentina,Chelydra,Chelydridae,Testudines,NA,
chersina angulata,286001,TRUE,Chersina angulata,Chersina,Testudinidae,Testudines,NA,
chilabothrus subflavus,8576,TRUE,Chilabothrus subflavus,Chilabothrus,Boidae,Squamata,Lepidosauria,
chiloscyllium punctatum,137246,TRUE,Chiloscyllium punctatum,Chiloscyllium,Hemiscylliidae,Orectolobiformes,Chondrichthyes,
chimaera monstrosa,7871,TRUE,Chimaera monstrosa,Chimaera,Chimaeridae,Chimaeriformes,Chondrichthyes,
chinchilla brevicaudata,10152,TRUE,Chinchilla chinchilla,Chinchilla,Chinchillidae,Rodentia,Mammalia,
chinchilla lanigera,34839,TRUE,Chinchilla lanigera,Chinchilla,Chinchillidae,Rodentia,Mammalia,
chionis albus,240203,TRUE,Chionis albus,Chionis,Chionididae,Charadriiformes,Aves,
chionomys nivalis,269649,TRUE,Chionomys nivalis,Chionomys,Cricetidae,Rodentia,Mammalia,
chionomys roberti,269650,TRUE,Chionomys roberti,Chionomys,Cricetidae,Rodentia,Mammalia,
chironectes minimus,91500,TRUE,Chironectes minimus,Chironectes,Didelphidae,Didelphimorphia,Mammalia,
chironemus marmoratus,82795,TRUE,Chironemus marmoratus,Chironemus,Chironemidae,Centrarchiformes,Actinopteri,
chiropotes albinasus,198627,TRUE,Chiropotes albinasus,Chiropotes,Pitheciidae,Primates,Mammalia,
chiropotes chiropotes,658221,TRUE,Chiropotes chiropotes,Chiropotes,Pitheciidae,Primates,Mammalia,
chiropotes satanas,9525,TRUE,Chiropotes satanas,Chiropotes,Pitheciidae,Primates,Mammalia,
chiroxiphia caudata,196027,TRUE,Chiroxiphia caudata,Chiroxiphia,Pipridae,Passeriformes,Aves,
chitala chitala,112163,TRUE,Chitala chitala,Chitala,Notopteridae,Osteoglossiformes,Actinopteri,
chlamydosaurus kingii,103699,TRUE,Chlamydosaurus kingii,Chlamydosaurus,Agamidae,Squamata,Lepidosauria,
chlamydotis undulata,172680,TRUE,Chlamydotis undulata,Chlamydotis,Otididae,Gruiformes,Aves,
chlidonias hybridus,297805,TRUE,Chlidonias hybrida,Chlidonias,Laridae,Charadriiformes,Aves,
chlidonias niger,279945,TRUE,Chlidonias niger,Chlidonias,Laridae,Charadriiformes,Aves,
chloris chloris,37601,TRUE,Chloris chloris,Chloris,Fringillidae,Passeriformes,Aves,
chlorocebus aethiops,9534,TRUE,Chlorocebus aethiops,Chlorocebus,Cercopithecidae,Primates,Mammalia,
chlorocebus pygerythrus,60710,TRUE,Chlorocebus pygerythrus,Chlorocebus,Cercopithecidae,Primates,Mammalia,
chlorocebus sabaeus,60711,TRUE,Chlorocebus sabaeus,Chlorocebus,Cercopithecidae,Primates,Mammalia,
chlorocebus tantalus,60712,TRUE,Chlorocebus tantalus,Chlorocebus,Cercopithecidae,Primates,Mammalia,
chlorophthalmus acutifrons,390685,TRUE,Chlorophthalmus acutifrons,Chlorophthalmus,Chlorophthalmidae,Aulopiformes,Actinopteri,
chlorophthalmus albatrossis,197544,TRUE,Chlorophthalmus albatrossis,Chlorophthalmus,Chlorophthalmidae,Aulopiformes,Actinopteri,
chlorophthalmus nigromarginatus,197546,TRUE,Chlorophthalmus nigromarginatus,Chlorophthalmus,Chlorophthalmidae,Aulopiformes,Actinopteri,
chlorurus microrhinos,544414,TRUE,Chlorurus microrhinos,Chlorurus,Labridae,Labriformes,Actinopteri,
chlorurus sordidus,126671,TRUE,Chlorurus sordidus,Chlorurus,Labridae,Labriformes,Actinopteri,
choerodon venustus,443689,TRUE,Choerodon venustus,Choerodon,Labridae,Labriformes,Actinopteri,
choeronycteris mexicana,148050,TRUE,Choeronycteris mexicana,Choeronycteris,Phyllostomidae,Chiroptera,Mammalia,
choeropsis liberiensis,56798,TRUE,Hexaprotodon liberiensis,Hexaprotodon,Hippopotamidae,Artiodactyla,Mammalia,
choloepus didactylus,27675,TRUE,Choloepus didactylus,Choloepus,Megalonychidae,Pilosa,Mammalia,
choloepus hoffmanni,9358,TRUE,Choloepus hoffmanni,Choloepus,Megalonychidae,Pilosa,Mammalia,
chondestes grammacus,158616,TRUE,Chondestes grammacus,Chondestes,Passerellidae,Passeriformes,Aves,
chondrostoma nasus,52619,TRUE,Chondrostoma nasus,Chondrostoma,Leuciscidae,Cypriniformes,Actinopteri,
chondrostoma polylepis,52620,TRUE,Pseudochondrostoma polylepis,Pseudochondrostoma,Leuciscidae,Cypriniformes,Actinopteri,
chroicocephalus ridibundus,1192867,TRUE,Chroicocephalus ridibundus,Chroicocephalus,Laridae,Charadriiformes,Aves,
chromis cyanea,161898,TRUE,Chromis cyanea,Chromis,Pomacentridae,NA,Actinopteri,
chromis punctipinnis,231457,TRUE,Chromis punctipinnis,Chromis,Pomacentridae,NA,Actinopteri,
chrotogale owstoni,94184,TRUE,Chrotogale owstoni,Chrotogale,Viverridae,Carnivora,Mammalia,
chrotopterus auritus,148086,TRUE,Chrotopterus auritus,Chrotopterus,Phyllostomidae,Chiroptera,Mammalia,
chrysemys picta,8479,TRUE,Chrysemys picta,Chrysemys,Emydidae,Testudines,NA,
chrysocyon brachyurus,68728,TRUE,Chrysocyon brachyurus,Chrysocyon,Canidae,Carnivora,Mammalia,
chrysolophus pictus,9089,TRUE,Chrysolophus pictus,Chrysolophus,Phasianidae,Galliformes,Aves,
chrysophrys auratus,75562,TRUE,Pagrus auratus,Pagrus,Sparidae,Spariformes,Actinopteri,
cichlasoma beani,449988,TRUE,Mayaheros beani,Mayaheros,Cichlidae,Cichliformes,Actinopteri,
cichlasoma istlanum,407111,TRUE,Amphilophus istlanus,Amphilophus,Cichlidae,Cichliformes,Actinopteri,
cichlasoma pearsei,383918,TRUE,Cincelichthys pearsei,Cincelichthys,Cichlidae,Cichliformes,Actinopteri,
cichlasoma trimaculatum,247411,TRUE,Cichlasoma trimaculatum,Cichlasoma,Cichlidae,Cichliformes,Actinopteri,
cichlasoma urophthalmum,318743,TRUE,Mayaheros urophthalmus,Mayaheros,Cichlidae,Cichliformes,Actinopteri,
ciconia boyciana,52775,TRUE,Ciconia boyciana,Ciconia,Ciconiidae,Ciconiiformes,Aves,
ciconia ciconia,8928,TRUE,Ciconia ciconia,Ciconia,Ciconiidae,Ciconiiformes,Aves,
ciconia nigra,36241,TRUE,Ciconia nigra,Ciconia,Ciconiidae,Ciconiiformes,Aves,
circaetus pectoralis,321084,TRUE,Circaetus pectoralis,Circaetus,Accipitridae,Accipitriformes,Aves,
circus aeruginosus,8964,TRUE,Circus aeruginosus,Circus,Accipitridae,Accipitriformes,Aves,
circus cyaneus,43466,TRUE,Circus cyaneus,Circus,Accipitridae,Accipitriformes,Aves,
cirrhinus molitorella,172907,TRUE,Cirrhinus molitorella,Cirrhinus,Cyprinidae,Cypriniformes,Actinopteri,
cirrhinus mrigala,683832,TRUE,Cirrhinus mrigala,Cirrhinus,Cyprinidae,Cypriniformes,Actinopteri,
citharus linguatula,206151,TRUE,Citharus linguatula,Citharus,Citharidae,Pleuronectiformes,Actinopteri,
civettictis civetta,94186,TRUE,Civettictis civetta,Civettictis,Viverridae,Carnivora,Mammalia,
clamator glandarius,78203,TRUE,Clamator glandarius,Clamator,Cuculidae,Cuculiformes,Aves,
clangula hyemalis,197941,TRUE,Clangula hyemalis,Clangula,Anatidae,Anseriformes,Aves,
clarias alluaudi,391047,TRUE,Clarias alluaudi,Clarias,Clariidae,Siluriformes,Actinopteri,
clarias anguillaris,103204,TRUE,Clarias anguillaris,Clarias,Clariidae,Siluriformes,Actinopteri,
clarias batrachus,59899,TRUE,Clarias batrachus,Clarias,Clariidae,Siluriformes,Actinopteri,
clarias gariepinus,13013,TRUE,Clarias gariepinus,Clarias,Clariidae,Siluriformes,Actinopteri,
clarias liocephalus,391045,TRUE,Clarias liocephalus,Clarias,Clariidae,Siluriformes,Actinopteri,
clarias werneri,391044,TRUE,Clarias werneri,Clarias,Clariidae,Siluriformes,Actinopteri,
cleidopus gloriamaris,88675,TRUE,Cleidopus gloriamaris,Cleidopus,Monocentridae,Trachichthyiformes,Actinopteri,
cleisthenes herzensteini,244449,TRUE,Cleisthenes herzensteini,Cleisthenes,Pleuronectidae,Pleuronectiformes,Actinopteri,
clupea harengus,7950,TRUE,Clupea harengus,Clupea,Clupeidae,Clupeiformes,Actinopteri,
clupea pallasii,30724,TRUE,Clupea pallasii,Clupea,Clupeidae,Clupeiformes,Actinopteri,
coccothraustes coccothraustes,37609,TRUE,Coccothraustes coccothraustes,Coccothraustes,Fringillidae,Passeriformes,Aves,
coelorinchus anatirostris,390686,TRUE,Coelorinchus anatirostris,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,
coelorinchus formosanus,390687,TRUE,Coelorinchus formosanus,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,
coelorinchus hubbsi,390688,TRUE,Coelorinchus hubbsi,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,
coelorinchus japonicus,390689,TRUE,Coelorinchus japonicus,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,
coelorinchus kamoharai,390690,TRUE,Coelorinchus kamoharai,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,
coelorinchus kishinouyei,143328,TRUE,Coelorinchus kishinouyei,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,
coelorinchus multispinulosus,390691,TRUE,Coelorinchus multispinulosus,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,
coendou melanurus,73858,TRUE,Coendou melanurus,Coendou,Erethizontidae,Rodentia,Mammalia,
coendou mexicana,637443,TRUE,Coendou mexicanus,Coendou,Erethizontidae,Rodentia,Mammalia,
coendou prehensilis,187985,TRUE,Coendou prehensilis,Coendou,Erethizontidae,Rodentia,Mammalia,
colaptes auratus,51355,TRUE,Colaptes auratus,Colaptes,Picidae,Piciformes,Aves,
colaptes campestris,555237,TRUE,Colaptes campestris,Colaptes,Picidae,Piciformes,Aves,
colinus virginianus,9014,TRUE,Colinus virginianus,Colinus,Odontophoridae,Galliformes,Aves,
colisa fasciata,313441,TRUE,Trichogaster fasciata,Trichogaster,Osphronemidae,Anabantiformes,Actinopteri,
colisa lalia,1749025,TRUE,Trichogaster lalius,Trichogaster,Osphronemidae,Anabantiformes,Actinopteri,
colobus angolensis,54131,TRUE,Colobus angolensis,Colobus,Cercopithecidae,Primates,Mammalia,
colobus guereza,33548,TRUE,Colobus guereza,Colobus,Cercopithecidae,Primates,Mammalia,
colobus polykomos,9572,TRUE,Colobus polykomos,Colobus,Cercopithecidae,Primates,Mammalia,
colobus vellerosus,378195,TRUE,Colobus vellerosus,Colobus,Cercopithecidae,Primates,Mammalia,
cololabis saira,129043,TRUE,Cololabis saira,Cololabis,Belonidae,Beloniformes,Actinopteri,
colomesus psittacus,679668,TRUE,Colomesus psittacus,Colomesus,Tetraodontidae,Tetraodontiformes,Actinopteri,
coluber constrictor,8590,TRUE,Coluber constrictor,Coluber,Colubridae,Squamata,Lepidosauria,
columba livia,8932,TRUE,Columba livia,Columba,Columbidae,Columbiformes,Aves,
columba oenas,160229,TRUE,Columba oenas,Columba,Columbidae,Columbiformes,Aves,
columba palumbus,8934,TRUE,Columba palumbus,Columba,Columbidae,Columbiformes,Aves,
columbina passerina,111974,TRUE,Columbina passerina,Columbina,Columbidae,Columbiformes,Aves,
columbina picui,115618,TRUE,Columbina picui,Columbina,Columbidae,Columbiformes,Aves,
columbina talpacoti,504887,TRUE,Columbina talpacoti,Columbina,Columbidae,Columbiformes,Aves,
conepatus chinga,30542,TRUE,Conepatus chinga,Conepatus,Mephitidae,Carnivora,Mammalia,
conepatus leuconotus,30543,TRUE,Conepatus leuconotus,Conepatus,Mephitidae,Carnivora,Mammalia,
conger conger,82655,TRUE,Conger conger,Conger,Congridae,Anguilliformes,Actinopteri,
conger myriaster,7943,TRUE,Conger myriaster,Conger,Congridae,Anguilliformes,Actinopteri,
connochaetes gnou,59528,TRUE,Connochaetes gnou,Connochaetes,Bovidae,Artiodactyla,Mammalia,
connochaetes taurinus,9927,TRUE,Connochaetes taurinus,Connochaetes,Bovidae,Artiodactyla,Mammalia,
conopophaga aurita,237657,TRUE,Conopophaga aurita,Conopophaga,Conopophagidae,Passeriformes,Aves,
conopophila rufogularis,266347,TRUE,Conopophila rufogularis,Conopophila,Meliphagidae,Passeriformes,Aves,
contopus sordidulus,183522,TRUE,Contopus sordidulus,Contopus,Tyrannidae,Passeriformes,Aves,
contopus virens,183524,TRUE,Contopus virens,Contopus,Tyrannidae,Passeriformes,Aves,
copsychus saularis,343929,TRUE,Copsychus saularis,Copsychus,Muscicapidae,Passeriformes,Aves,
coracias garrulus,188338,TRUE,Coracias garrulus,Coracias,Coraciidae,Coraciiformes,Aves,
coracopsis vasa,176022,TRUE,Coracopsis vasa,Coracopsis,Psittacidae,Psittaciformes,Aves,
coragyps atratus,33614,TRUE,Coragyps atratus,Coragyps,Cathartidae,Accipitriformes,Aves,
corallus annulatus,51860,TRUE,Corallus annulatus,Corallus,Boidae,Squamata,Lepidosauria,
corallus caninus,51861,TRUE,Corallus caninus,Corallus,Boidae,Squamata,Lepidosauria,
coregonus albula,36180,TRUE,Coregonus albula,Coregonus,Salmonidae,Salmoniformes,Actinopteri,
coregonus autumnalis,27773,TRUE,Coregonus autumnalis,Coregonus,Salmonidae,Salmoniformes,Actinopteri,
coregonus clupeaformis,59861,TRUE,Coregonus clupeaformis,Coregonus,Salmonidae,Salmoniformes,Actinopteri,
coregonus lavaretus,59291,TRUE,Coregonus lavaretus,Coregonus,Salmonidae,Salmoniformes,Actinopteri,
coregonus muksun,348710,TRUE,Coregonus muksun,Coregonus,Salmonidae,Salmoniformes,Actinopteri,
coregonus peled,107322,TRUE,Coregonus peled,Coregonus,Salmonidae,Salmoniformes,Actinopteri,
coregonus widegreni,861790,TRUE,Coregonus widegreni,Coregonus,Salmonidae,Salmoniformes,Actinopteri,
coreius guichenoti,328532,TRUE,Coreius guichenoti,Coreius,Gobionidae,Cypriniformes,Actinopteri,
coreoperca whiteheadi,228250,TRUE,Coreoperca whiteheadi,Coreoperca,Sinipercidae,Centrarchiformes,Actinopteri,
coris aygula,241280,TRUE,Coris aygula,Coris,Labridae,Labriformes,Actinopteri,
coronella austriaca,201445,TRUE,Coronella austriaca,Coronella,Colubridae,Squamata,Lepidosauria,
