HostOriginal,HostTaxID,HostNCBIResolved,Host,HostGenus,HostFamily,HostOrder,HostClass,ManualResolved_Note
lepus oiostolus,112018,TRUE,Lepus oiostolus,Lepus,Leporidae,Lagomorpha,Mammalia,
lepus saxatilis,63224,TRUE,Lepus saxatilis,Lepus,Leporidae,Lagomorpha,Mammalia,
lepus timidus,62621,TRUE,Lepus timidus,Lepus,Leporidae,Lagomorpha,Mammalia,
lepus townsendii,63225,TRUE,Lepus townsendii,Lepus,Leporidae,Lagomorpha,Mammalia,
lethrinus atkinsoni,182648,TRUE,Lethrinus atkinsoni,Lethrinus,Lethrinidae,Spariformes,Actinopteri,
lethrinus miniatus,132107,TRUE,Lethrinus miniatus,Lethrinus,Lethrinidae,Spariformes,Actinopteri,
lethrinus nebulosus,182658,TRUE,Lethrinus nebulosus,Lethrinus,Lethrinidae,Spariformes,Actinopteri,
leucaspius delineatus,58323,TRUE,Leucaspius delineatus,Leucaspius,Leuciscidae,Cypriniformes,Actinopteri,
leuciscus idus,69811,TRUE,Leuciscus idus,Leuciscus,Leuciscidae,Cypriniformes,Actinopteri,
leuciscus leuciscus,58325,TRUE,Leuciscus leuciscus,Leuciscus,Leuciscidae,Cypriniformes,Actinopteri,
leucophaeus atricilla,126679,TRUE,Leucophaeus atricilla,Leucophaeus,Laridae,Charadriiformes,Aves,
leucophaeus pipixcan,690715,TRUE,Leucophaeus pipixcan,Leucophaeus,Laridae,Charadriiformes,Aves,
leucoraja erinacea,7782,TRUE,Leucoraja erinacea,Leucoraja,Rajidae,Rajiformes,Chondrichthyes,
leucoraja naevus,223888,TRUE,Leucoraja naevus,Leucoraja,Rajidae,Rajiformes,Chondrichthyes,
leucoraja ocellata,173042,TRUE,Leucoraja ocellata,Leucoraja,Rajidae,Rajiformes,Chondrichthyes,
leucosarcia melanoleuca,115673,TRUE,Leucosarcia melanoleuca,Leucosarcia,Columbidae,Columbiformes,Aves,
leucosticte tephrocotis,217134,TRUE,Leucosticte tephrocotis,Leucosticte,Fringillidae,Passeriformes,Aves,
lialis burtonis,95110,TRUE,Lialis burtonis,Lialis,Pygopodidae,Squamata,Lepidosauria,
liasis olivaceus,283338,TRUE,Liasis olivaceus,Liasis,Pythonidae,Squamata,Lepidosauria,
lichanura trivirgata,51879,TRUE,Lichanura trivirgata,Lichanura,Boidae,Squamata,Lepidosauria,
limanda ferruginea,8258,TRUE,Myzopsetta ferruginea,Myzopsetta,Pleuronectidae,Pleuronectiformes,Actinopteri,
limanda limanda,27771,TRUE,Limanda limanda,Limanda,Pleuronectidae,Pleuronectiformes,Actinopteri,
limicola falcinellus,425645,TRUE,Limicola falcinellus,Limicola,Scolopacidae,Charadriiformes,Aves,
limnodromus scolopaceus,161678,TRUE,Limnodromus scolopaceus,Limnodromus,Scolopacidae,Charadriiformes,Aves,
limnodynastes ornatus,104071,TRUE,Limnodynastes ornatus,Limnodynastes,Limnodynastidae,Anura,Amphibia,
limosa lapponica,161683,TRUE,Limosa lapponica,Limosa,Scolopacidae,Charadriiformes,Aves,
limosa limosa,161680,TRUE,Limosa limosa,Limosa,Scolopacidae,Charadriiformes,Aves,
liobagrus marginatoides,262080,TRUE,Liobagrus marginatoides,Liobagrus,Amblycipitidae,Siluriformes,Actinopteri,
liomys adspersus,348154,TRUE,Liomys adspersus,Liomys,Heteromyidae,Rodentia,Mammalia,
liomys salvini,348155,TRUE,Liomys salvini,Liomys,Heteromyidae,Rodentia,Mammalia,
liparis atlanticus,255717,TRUE,Liparis atlanticus,Liparis,Liparidae,Perciformes,Actinopteri,
lissemys punctata,55542,TRUE,Lissemys punctata,Lissemys,Trionychidae,Testudines,NA,
lissotriton vulgaris,8324,TRUE,Lissotriton vulgaris,Lissotriton,Salamandridae,Caudata,Amphibia,
lithognathus mormyrus,50591,TRUE,Lithognathus mormyrus,Lithognathus,Sparidae,Spariformes,Actinopteri,
litocranius walleri,69311,TRUE,Litocranius walleri,Litocranius,Bovidae,Artiodactyla,Mammalia,
litoria ewingii,104896,TRUE,Litoria ewingii,Litoria,Hylidae,Anura,Amphibia,
liza affinis,479651,TRUE,Planiliza affinis,Planiliza,Mugilidae,Mugiliformes,Actinopteri,
liza aurata,48191,TRUE,Chelon auratus,Chelon,Mugilidae,Mugiliformes,Actinopteri,
liza klunzingeri,1266625,TRUE,Planiliza klunzingeri,Planiliza,Mugilidae,Mugiliformes,Actinopteri,
liza ramado,30804,TRUE,Chelon ramada,Chelon,Mugilidae,Mugiliformes,Actinopteri,
liza saliens,48192,TRUE,Chelon saliens,Chelon,Mugilidae,Mugiliformes,Actinopteri,
lobodon carcinophaga,101849,TRUE,Lobodon carcinophaga,Lobodon,Phocidae,Carnivora,Mammalia,
lonchophylla robusta,190509,TRUE,Lonchophylla robusta,Lonchophylla,Phyllostomidae,Chiroptera,Mammalia,
lonchorhina aurita,148061,TRUE,Lonchorhina aurita,Lonchorhina,Phyllostomidae,Chiroptera,Mammalia,
lonchura castaneothorax,247806,TRUE,Lonchura castaneothorax,Lonchura,Estrildidae,Passeriformes,Aves,
lonchura striata,40157,TRUE,Lonchura striata,Lonchura,Estrildidae,Passeriformes,Aves,
lontra canadensis,76717,TRUE,Lontra canadensis,Lontra,Mustelidae,Carnivora,Mammalia,
lophius americanus,8073,TRUE,Lophius americanus,Lophius,Lophiidae,Lophiiformes,Actinopteri,
lophius litulon,30790,TRUE,Lophius litulon,Lophius,Lophiidae,Lophiiformes,Actinopteri,
lophius piscatorius,8074,TRUE,Lophius piscatorius,Lophius,Lophiidae,Lophiiformes,Actinopteri,
lophocebus albigena,75567,TRUE,Lophocebus albigena,Lophocebus,Cercopithecidae,Primates,Mammalia,
lophocebus aterrimus,75566,TRUE,Lophocebus aterrimus,Lophocebus,Cercopithecidae,Primates,Mammalia,
lophodytes cucullatus,279951,TRUE,Lophodytes cucullatus,Lophodytes,Anatidae,Anseriformes,Aves,
lophophorus impejanus,9040,TRUE,Lophophorus impejanus,Lophophorus,Phasianidae,Galliformes,Aves,
lophophorus lhuysii,228248,TRUE,Lophophorus lhuysii,Lophophorus,Phasianidae,Galliformes,Aves,
lophostoma brasiliense,409031,TRUE,Lophostoma brasiliense,Lophostoma,Phyllostomidae,Chiroptera,Mammalia,
lophostoma silvicolum,263451,TRUE,Lophostoma silvicolum,Lophostoma,Phyllostomidae,Chiroptera,Mammalia,
lophura leucomelanos,140445,TRUE,Lophura leucomelanos,Lophura,Phasianidae,Galliformes,Aves,
lophura nycthemera,9046,TRUE,Lophura nycthemera,Lophura,Phasianidae,Galliformes,Aves,
lophura swinhoii,140446,TRUE,Lophura swinhoii,Lophura,Phasianidae,Galliformes,Aves,
lophuromys flavopunctatus,51348,TRUE,Lophuromys flavopunctatus,Lophuromys,Muridae,Rodentia,Mammalia,
lophuromys sikapusi,83535,TRUE,Lophuromys sikapusi,Lophuromys,Muridae,Rodentia,Mammalia,
loris lydekkerianus,300163,TRUE,Loris lydekkerianus,Loris,Lorisidae,Primates,Mammalia,
