Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
nocardia nova,Bacteria,,TRUE,nocardia nova,nocardia nova
nocardia otitidiscaviarum,Bacteria,nocardia otitidis-caviarum; nocardia caviae; actinomyces caviae,TRUE,nocardia otitidiscaviarum,nocardia otitidiscaviarum
nocardia paucivorans,Bacteria,,FALSE,nocardia paucivorans,nocardia paucivorans
nocardia pneumoniae,Bacteria,,FALSE,nocardia pneumoniae,nocardia pneumoniae
nocardia pseudobrasiliensis,Bacteria,,FALSE,nocardia pseudobrasiliensis,nocardia pseudobrasiliensis
nocardia salmonicida,Bacteria,streptomyces salmonicida,FALSE,nocardia salmonicida,nocardia salmonicida
nocardia seriolae,Bacteria,,TRUE,nocardia seriolae,nocardia seriolae
nocardia takedensis,Bacteria,,FALSE,nocardia takedensis,nocardia takedensis
nocardia tenerifensis,Bacteria,,FALSE,nocardia tenerifensis,nocardia tenerifensis
nocardia terpenica,Bacteria,,FALSE,nocardia terpenica,nocardia terpenica
nocardia transvalensis,Bacteria,proactinomyces transvalensis; actinomyces transvalensis,FALSE,nocardia transvalensis,nocardia transvalensis
nocardia veterana,Bacteria,,FALSE,nocardia veterana,nocardia veterana
nocardia wallacei,Bacteria,,FALSE,nocardia wallacei,nocardia wallacei
nocardia yamanashiensis,Bacteria,,FALSE,nocardia yamanashiensis,nocardia yamanashiensis
nocardiopsis dassonvillei,Bacteria,,TRUE,nocardiopsis dassonvillei,nocardiopsis dassonvillei
ochrobactrum anthropi,Bacteria,,TRUE,ochrobactrum anthropi,ochrobactrum anthropi
ochrobactrum intermedium,Bacteria,,TRUE,ochrobactrum intermedium,ochrobactrum intermedium
odoribacter splanchnicus,Bacteria,bacteroides splanchnicus,TRUE,odoribacter splanchnicus,odoribacter splanchnicus
oerskovia turbata,Bacteria,nocardia turbata; cellulomonas turbata,TRUE,oerskovia turbata,oerskovia turbata
oligella ureolytica,Bacteria,oligella ureilytica; oligella urealytica; cdc group ive,FALSE,oligella ureolytica,oligella ureolytica
oligella urethralis,Bacteria,moraxella urethralis,TRUE,oligella urethralis,oligella urethralis
orientia tsutsugamushi,Bacteria,"theileria tsutsugamushi; rickettsia tsutsugamushi; rickettsia orientalis, etc.",TRUE,orientia tsutsugamushi,orientia tsutsugamushi
ornithobacterium rhinotracheale,Bacteria,,TRUE,ornithobacterium rhinotracheale,ornithobacterium rhinotracheale
oscillibacter ruminantium,Bacteria,,FALSE,oscillibacter ruminantium,oscillibacter ruminantium
otariodibacter oris,Bacteria,bisgaard taxon 57,FALSE,otariodibacter oris,otariodibacter oris
paenibacillus alvei,Bacteria,bacillus alvei,TRUE,paenibacillus alvei,paenibacillus alvei
paenibacillus cineris,Bacteria,,FALSE,paenibacillus cineris,paenibacillus cineris
paenibacillus glucanolyticus,Bacteria,bacillus glucanolyticus,FALSE,paenibacillus glucanolyticus,paenibacillus glucanolyticus
paenibacillus larvae,Bacteria,bacillus larvae,FALSE,paenibacillus larvae,paenibacillus larvae
paenibacillus macerans,Bacteria,"zymobacillus macerans; bactrillum macerans; bacillus macerans, etc.",FALSE,paenibacillus macerans,paenibacillus macerans
paenibacillus pasadenensis,Bacteria,,TRUE,paenibacillus pasadenensis,paenibacillus pasadenensis
paenibacillus sputi,Bacteria,,FALSE,paenibacillus sputi,paenibacillus sputi
paenibacillus thiaminolyticus,Bacteria,clostridium thiaminolyticum; bacillus thiaminolyticus,TRUE,paenibacillus thiaminolyticus,paenibacillus thiaminolyticus
paeniclostridium sordellii,Bacteria,clostridium sordellii; bacillus sordelli; bacillus oedematis sporogenes,FALSE,paeniclostridium sordellii,paeniclostridium sordellii
pandoraea apista,Bacteria,,FALSE,pandoraea apista,pandoraea apista
pandoraea pnomenusa,Bacteria,,FALSE,pandoraea pnomenusa,pandoraea pnomenusa
pandoraea pulmonicola,Bacteria,,FALSE,pandoraea pulmonicola,pandoraea pulmonicola
pandoraea sputorum,Bacteria,,FALSE,pandoraea sputorum,pandoraea sputorum
pantoea agglomerans,Bacteria,"pseudomonas herbicola; pantoea herbicola; erwinia milletiae, etc.",TRUE,pantoea agglomerans,pantoea agglomerans
pantoea ananatis,Bacteria,"xanthomonas uredovorus; pectobacterium ananas; pantoea ananas, etc.",FALSE,pantoea ananatis,pantoea ananatis
pantoea calida,Bacteria,,FALSE,pantoea calida,pantoea calida
parabacteroides distasonis,Bacteria,"ristella distasonis; pseudobacterium distasonis; bacteroides distasonis, etc.",TRUE,parabacteroides distasonis,parabacteroides distasonis
parabacteroides goldsteinii,Bacteria,bacteroides goldsteinii,TRUE,parabacteroides goldsteinii,parabacteroides goldsteinii
parabacteroides merdae,Bacteria,bacteroides merdae,TRUE,parabacteroides merdae,parabacteroides merdae
parachlamydia acanthamoebae,Bacteria,candidatus parachlamydia acanthamoebae,FALSE,parachlamydia acanthamoebae,parachlamydia acanthamoebae
paraclostridium bifermentans,Bacteria,"clostridium bifermentans; martellillus bifermentans; bacillus centrosporogenes, etc.",FALSE,paraclostridium bifermentans,paraclostridium bifermentans
paracoccus yeei,Bacteria,paracoccus yeeii; cdc group eo-2,TRUE,paracoccus yeei,paracoccus yeei
paraeggerthella hongkongensis,Bacteria,eggerthella hongkongensis,FALSE,paraeggerthella hongkongensis,paraeggerthella hongkongensis
parvimonas micra,Bacteria,"streptococcus micros; streptococcus anaerobius micros; peptostreptococcus micros, etc.",TRUE,parvimonas micra,parvimonas micra
pasteurella bettyae,Bacteria,pasteurella bettii; pasteurella betti,FALSE,pasteurella bettyae,pasteurella bettyae
pasteurella caballi,Bacteria,bisgaard taxon 42,TRUE,pasteurella caballi,pasteurella caballi
pasteurella canis,Bacteria,,TRUE,pasteurella canis,pasteurella canis
pasteurella dagmatis,Bacteria,,TRUE,pasteurella dagmatis,pasteurella dagmatis
pasteurella multocida,Bacteria,"pasteurella gallicida; micrococcus gallicidus; bacterium multocidum, etc.",TRUE,pasteurella multocida,pasteurella multocida
pasteurella oralis,Bacteria,pasteurella species b; pasteurella sp. b,FALSE,pasteurella oralis,pasteurella oralis
pasteurella pneumotropica,Bacteria,,TRUE,pasteurella pneumotropica,pasteurella pneumotropica
pasteurella skyensis,Bacteria,,TRUE,pasteurella skyensis,pasteurella skyensis
pasteurella stomatis,Bacteria,,TRUE,pasteurella stomatis,pasteurella stomatis
pasteurella testudinis,Bacteria,,TRUE,pasteurella testudinis,pasteurella testudinis
pelistega europaea,Bacteria,,FALSE,pelistega europaea,pelistega europaea
peptococcus niger,Bacteria,micrococcus niger,FALSE,peptococcus niger,peptococcus niger
peptoniphilus asaccharolyticus,Bacteria,"staphylococcus asaccharolyticus; schleiferella asaccharolytica; peptostreptococcus asaccharolyticus, etc.",FALSE,peptoniphilus asaccharolyticus,peptoniphilus asaccharolyticus
peptoniphilus coxii,Bacteria,,FALSE,peptoniphilus coxii,peptoniphilus coxii
peptoniphilus duerdenii,Bacteria,,FALSE,peptoniphilus duerdenii,peptoniphilus duerdenii
peptoniphilus gorbachii,Bacteria,,TRUE,peptoniphilus gorbachii,peptoniphilus gorbachii
peptoniphilus harei,Bacteria,,FALSE,peptoniphilus harei,peptoniphilus harei
peptoniphilus koenoeneniae,Bacteria,peptoniphilus kononenae,FALSE,peptoniphilus koenoeneniae,peptoniphilus koenoeneniae
peptoniphilus olsenii,Bacteria,,FALSE,peptoniphilus olsenii,peptoniphilus olsenii
peptoniphilus tyrrelliae,Bacteria,,FALSE,peptoniphilus tyrrelliae,peptoniphilus tyrrelliae
peptostreptococcus anaerobius,Bacteria,streptococcus anaerobius; streptococcus anaerob,TRUE,peptostreptococcus anaerobius,peptostreptococcus anaerobius
photobacterium damselae,Bacteria,photobacterium damsela,TRUE,photobacterium damselae,photobacterium damselae
photorhabdus asymbiotica,Bacteria,,FALSE,photorhabdus asymbiotica,photorhabdus asymbiotica
piscirickettsia salmonis,Bacteria,,TRUE,piscirickettsia salmonis,piscirickettsia salmonis
plesiomonas shigelloides,Bacteria,"pseudomonas shigelloides; pleisomonas shigelloides; fergusonia shigelloides, etc.",TRUE,plesiomonas shigelloides,plesiomonas shigelloides
pluralibacter gergoviae,Bacteria,enterobacter gergoviae; enterobacter gergoviensis,FALSE,pluralibacter gergoviae,pluralibacter gergoviae
porphyromonas asaccharolytica,Bacteria,bacteroides melaninogenicus subsp. assacharolyticus; bacteroides asaccharolyticus,TRUE,porphyromonas asaccharolytica,porphyromonas asaccharolytica
porphyromonas bennonis,Bacteria,,FALSE,porphyromonas bennonis,porphyromonas bennonis
porphyromonas canoris,Bacteria,,FALSE,porphyromonas canoris,porphyromonas canoris
porphyromonas catoniae,Bacteria,oribaculum catoniae,TRUE,porphyromonas catoniae,porphyromonas catoniae
porphyromonas circumdentaria,Bacteria,,FALSE,porphyromonas circumdentaria,porphyromonas circumdentaria
porphyromonas endodontalis,Bacteria,bacteroides endodontalis,TRUE,porphyromonas endodontalis,porphyromonas endodontalis
porphyromonas gingivalis,Bacteria,bacteroides gingivalis,TRUE,porphyromonas gingivalis,porphyromonas gingivalis
porphyromonas gulae,Bacteria,,FALSE,porphyromonas gulae,porphyromonas gulae
porphyromonas levii,Bacteria,bacteroides melaninogenicus subsp. levii; bacteroides levii,TRUE,porphyromonas levii,porphyromonas levii
porphyromonas macacae,Bacteria,"porphyromonas salivosa; bacteroides salivosus; bacteroides macacae, etc.",TRUE,porphyromonas macacae,porphyromonas macacae
porphyromonas somerae,Bacteria,,FALSE,porphyromonas somerae,porphyromonas somerae
porphyromonas uenonis,Bacteria,,TRUE,porphyromonas uenonis,porphyromonas uenonis
prevotella bergensis,Bacteria,,TRUE,prevotella bergensis,prevotella bergensis
prevotella bivia,Bacteria,bacteroides bivius,TRUE,prevotella bivia,prevotella bivia
prevotella buccae,Bacteria,bacteroides pentosaceus; bacteroides capillus; bacteroides buccae,TRUE,prevotella buccae,prevotella buccae
prevotella buccalis,Bacteria,bacteroides buccalis,TRUE,prevotella buccalis,prevotella buccalis
prevotella corporis,Bacteria,bacteroides corporis,TRUE,prevotella corporis,prevotella corporis
prevotella dentalis,Bacteria,mitsuokella dentalis,TRUE,prevotella dentalis,prevotella dentalis
prevotella denticola,Bacteria,bacteroides denticola,TRUE,prevotella denticola,prevotella denticola
prevotella disiens,Bacteria,bacteroides disiens,TRUE,prevotella disiens,prevotella disiens
prevotella enoeca,Bacteria,,FALSE,prevotella enoeca,prevotella enoeca
prevotella intermedia,Bacteria,"prevotella intermedius; bacteroides melaninogenicus subsp. intermedius, bacteroides intermedius",TRUE,prevotella intermedia,prevotella intermedia
prevotella loescheii,Bacteria,bacteroides loescheii,TRUE,prevotella loescheii,prevotella loescheii
prevotella melaninogenica,Bacteria,"ristella melaninogenica; hemophilus melaninogenicus; fusiformis nigrescens, etc.",TRUE,prevotella melaninogenica,prevotella melaninogenica
prevotella multiformis,Bacteria,,TRUE,prevotella multiformis,prevotella multiformis
prevotella multisaccharivorax,Bacteria,,TRUE,prevotella multisaccharivorax,prevotella multisaccharivorax
prevotella nigrescens,Bacteria,,TRUE,prevotella nigrescens,prevotella nigrescens
prevotella oralis,Bacteria,ristella oralis; bacteroides oralis,TRUE,prevotella oralis,prevotella oralis
prevotella oris,Bacteria,bacteroides oris,TRUE,prevotella oris,prevotella oris
prevotella oulorum,Bacteria,prevotella oulora; bacteroides oulorum,TRUE,prevotella oulorum,prevotella oulorum
prevotella ruminicola,Bacteria,ruminobacter ruminicola; bacteroides ruminicola,TRUE,prevotella ruminicola,prevotella ruminicola
prevotella timonensis,Bacteria,,FALSE,prevotella timonensis,prevotella timonensis
prevotella veroralis,Bacteria,bacteroides veroralis,TRUE,prevotella veroralis,prevotella veroralis
propionibacterium acidifaciens,Bacteria,propionibacterium genomosp. c1,TRUE,propionibacterium acidifaciens,propionibacterium acidifaciens
propionibacterium acnes,Bacteria,cutibacteirum acnes; corynebacterium acnes; bacillus acnes,TRUE,propionibacterium acnes,propionibacterium acnes
propionibacterium australiense,Bacteria,,TRUE,propionibacterium australiense,propionibacterium australiense
propionibacterium avidum,Bacteria,"cutibacterium avidum; mycobacterium avidum; corynebacterium avidum, etc.",TRUE,propionibacterium avidum,propionibacterium avidum
propionibacterium granulosum,Bacteria,cutibacterium granulosum; corynebacterium granulosum; bacille granuleux,TRUE,propionibacterium granulosum,propionibacterium granulosum
propionibacterium propionicum,Bacteria,"pseudopropionibacterium propionicum; propionibacterium propionicum; arachnia propionica, etc.",TRUE,propionibacterium propionicum,propionibacterium propionicum
proteus mirabilis,Bacteria,,TRUE,proteus mirabilis,proteus mirabilis
proteus penneri,Bacteria,proteus vulgaris indole negative; proteus vulgaris biogroup 1; proteus genomospecies 1,TRUE,proteus penneri,proteus penneri
proteus vulgaris,Bacteria,,TRUE,proteus vulgaris,proteus vulgaris
providencia alcalifaciens,Bacteria,eberthella alcalifaciens; bacillus inconstans,TRUE,providencia alcalifaciens,providencia alcalifaciens
providencia heimbachae,Bacteria,,FALSE,providencia heimbachae,providencia heimbachae
providencia rettgeri,Bacteria,shigella rettgeri; proteus rettgeri; bacterium rettgeri ,TRUE,providencia rettgeri,providencia rettgeri
providencia stuartii,Bacteria,proteus stuartii,TRUE,providencia stuartii,providencia stuartii
pseudoclavibacter bifida,Bacteria,zimmermannella bifida,FALSE,pseudoclavibacter bifida,pseudoclavibacter bifida
pseudomonas aeruginosa,Bacteria,"pseudomonas pyocyanea; pseudomonas polycolor; micrococcus pyocyaneus, etc.",TRUE,pseudomonas aeruginosa,pseudomonas aeruginosa
pseudomonas alcaligenes,Bacteria,,TRUE,pseudomonas alcaligenes,pseudomonas alcaligenes
pseudomonas anguilliseptica,Bacteria,,TRUE,pseudomonas anguilliseptica,pseudomonas anguilliseptica
pseudomonas baetica,Bacteria,,FALSE,pseudomonas baetica,pseudomonas baetica
pseudomonas fluorescens,Bacteria,"liquidomonas fluorescens; bacterium fluorescen; bacillus fluorescens liquefaciens, etc.",TRUE,pseudomonas fluorescens,pseudomonas fluorescens
pseudomonas fulva,Bacteria,,FALSE,pseudomonas fulva,pseudomonas fulva
pseudomonas luteola,Bacteria,group ve-1; chryseomonas polytricha; chryseomonas luteola,TRUE,pseudomonas luteola,pseudomonas luteola
pseudomonas mendocina,Bacteria,,FALSE,pseudomonas mendocina,pseudomonas mendocina
pseudomonas mosselii,Bacteria,,TRUE,pseudomonas mosselii,pseudomonas mosselii
pseudomonas oryzihabitans,Bacteria,group ve-2; flavimonas oryzihabitans,TRUE,pseudomonas oryzihabitans,pseudomonas oryzihabitans
pseudomonas otitidis,Bacteria,,TRUE,pseudomonas otitidis,pseudomonas otitidis
pseudomonas plecoglossicida,Bacteria,,TRUE,pseudomonas plecoglossicida,pseudomonas plecoglossicida
pseudomonas pseudoalcaligenes,Bacteria,,TRUE,pseudomonas pseudoalcaligenes,pseudomonas pseudoalcaligenes
pseudomonas putida,Bacteria,"pseudomonas striata; pseudomonas rugosa; pseudomonas ovalis, etc. ",TRUE,pseudomonas putida,pseudomonas putida
pseudomonas stutzeri,Bacteria,"pseudomonas perfectomarinus; pseudomonas perfectomarina; bacterium stutzeri, etc.",TRUE,pseudomonas stutzeri,pseudomonas stutzeri
pseudonocardia autotrophica,Bacteria,streptomyces autotrophicus; nocardia autotrophica; amycolata autotrophica,FALSE,pseudonocardia autotrophica,pseudonocardia autotrophica
pseudonocardia oroxyli,Bacteria,,FALSE,pseudonocardia oroxyli,pseudonocardia oroxyli
pseudoramibacter alactolyticus,Bacteria,"ramibacterium pleuriticum; ramibacterium dentium; ramibacterium alactolyticum, etc.",TRUE,pseudoramibacter alactolyticus,pseudoramibacter alactolyticus
psychrobacter arenosus,Bacteria,,FALSE,psychrobacter arenosus,psychrobacter arenosus
psychrobacter faecalis,Bacteria,,TRUE,psychrobacter faecalis,psychrobacter faecalis
psychrobacter immobilis,Bacteria,,FALSE,psychrobacter immobilis,psychrobacter immobilis
psychrobacter phenylpyruvicus,Bacteria,moraxella polymorpha; moraxella phenylpyruvica,TRUE,psychrobacter phenylpyruvicus,psychrobacter phenylpyruvicus
psychrobacter pulmonis,Bacteria,,TRUE,psychrobacter pulmonis,psychrobacter pulmonis
psychrobacter sanguinis,Bacteria,,TRUE,psychrobacter sanguinis,psychrobacter sanguinis
rahnella aquatilis,Bacteria,rahnella aquatica; enterobacter cloacae-like class h2,TRUE,rahnella aquatilis,rahnella aquatilis
ralstonia insidiosa,Bacteria,,FALSE,ralstonia insidiosa,ralstonia insidiosa
ralstonia mannitolilytica,Bacteria,ralstonia thomasii; ralstonia pickettii biovar 3/'thomasii'; ralstonia mannitolytica,FALSE,ralstonia mannitolilytica,ralstonia mannitolilytica
ralstonia pickettii,Bacteria,pseudomonas pickettii; burkholderia pickettii,TRUE,ralstonia pickettii,ralstonia pickettii
raoultella ornithinolytica,Bacteria,klebsiella ornithinolytica,TRUE,raoultella ornithinolytica,raoultella ornithinolytica
raoultella planticola,Bacteria,klebsiella trevisanii; klebsiella planticola,TRUE,raoultella planticola,raoultella planticola
renibacterium salmoninarum,Bacteria,,TRUE,renibacterium salmoninarum,renibacterium salmoninarum
rhodococcus corynebacterioides,Bacteria,nocardia corynebacterioides; corynebacterium rubrum,FALSE,rhodococcus corynebacterioides,rhodococcus corynebacterioides
rhodococcus equi,Bacteria,"rhodococcus hoagii; proactinomyces restrictus; prescottia equi, etc.",TRUE,rhodococcus equi,rhodococcus equi
rhodococcus erythropolis,Bacteria,"nocardia calcarea; mycobacterium erythropolis; corynebacterium humiferum, etc.",TRUE,rhodococcus erythropolis,rhodococcus erythropolis
rhodococcus fascians,Bacteria,"rhodococcus luteus; pseudobacterium fasciens; phytomonas fascians, etc.",TRUE,rhodococcus fascians,rhodococcus fascians
rhodococcus globerulus,Bacteria,,FALSE,rhodococcus globerulus,rhodococcus globerulus
rhodococcus rhodnii,Bacteria,nocardia rhodnii,FALSE,rhodococcus rhodnii,rhodococcus rhodnii
rhodococcus rhodochrous,Bacteria,staphylococcus rhodochrous; rhodococcus roseus; bacterium mycoides roseum,TRUE,rhodococcus rhodochrous,rhodococcus rhodochrous
rickettsia aeschlimannii,Bacteria,,FALSE,rickettsia aeschlimannii,rickettsia aeschlimannii
rickettsia africae,Bacteria,,TRUE,rickettsia africae,rickettsia africae
rickettsia akari,Bacteria,gamasoxenus muris; dermacentroxenus murinus,TRUE,rickettsia akari,rickettsia akari
rickettsia australis,Bacteria,,TRUE,rickettsia australis,rickettsia australis
rickettsia bellii,Bacteria,,FALSE,rickettsia bellii,rickettsia bellii
rickettsia conorii,Bacteria,,TRUE,rickettsia conorii,rickettsia conorii
rickettsia felis,Bacteria,rickettsia azadi,TRUE,rickettsia felis,rickettsia felis
rickettsia heilongjiangensis,Bacteria,rickettsia heilongjiangii,FALSE,rickettsia heilongjiangensis,rickettsia heilongjiangensis
rickettsia helvetica,Bacteria,,TRUE,rickettsia helvetica,rickettsia helvetica
rickettsia honei,Bacteria,,FALSE,rickettsia honei,rickettsia honei
rickettsia japonica,Bacteria,,TRUE,rickettsia japonica,rickettsia japonica
rickettsia massiliae,Bacteria,,TRUE,rickettsia massiliae,rickettsia massiliae
rickettsia parkeri,Bacteria,,FALSE,rickettsia parkeri,rickettsia parkeri
rickettsia prowazekii,Bacteria,,TRUE,rickettsia prowazekii,rickettsia prowazekii
rickettsia raoultii,Bacteria,,FALSE,rickettsia raoultii,rickettsia raoultii
rickettsia rickettsii,Bacteria,dermacentroxenus rickettsii,TRUE,rickettsia rickettsii,rickettsia rickettsii
rickettsia sibirica,Bacteria,,TRUE,rickettsia sibirica,rickettsia sibirica
rickettsia slovaca,Bacteria,,TRUE,rickettsia slovaca,rickettsia slovaca
rickettsia tamurae,Bacteria,,FALSE,rickettsia tamurae,rickettsia tamurae
rickettsia typhi,Bacteria,rickettsia mooseri; dermacentroxenus typhi,TRUE,rickettsia typhi,rickettsia typhi
riemerella anatipestifer,Bacteria,"pfeifferella anatipestifer; pasteurella anatipestifer; pasteurella anapestifer, etc.",TRUE,riemerella anatipestifer,riemerella anatipestifer
riemerella columbina,Bacteria,riemerella anatipestifer-like,TRUE,riemerella columbina,riemerella columbina
robinsoniella peoriensis,Bacteria,,FALSE,robinsoniella peoriensis,robinsoniella peoriensis
roseomonas cervicalis,Bacteria,,FALSE,roseomonas cervicalis,roseomonas cervicalis
roseomonas gilardii,Bacteria,,FALSE,roseomonas gilardii,roseomonas gilardii
roseomonas mucosa,Bacteria,,FALSE,roseomonas mucosa,roseomonas mucosa
rothia aeria,Bacteria,,TRUE,rothia aeria,rothia aeria
rothia dentocariosa,Bacteria,"rothia denticariosa; nocardia salivae; nocardia dentocariosus, etc.",TRUE,rothia dentocariosa,rothia dentocariosa
rothia mucilaginosa,Bacteria,stomatococcus mucilaginosus; micrococcus mucilaginosus,TRUE,rothia mucilaginosa,rothia mucilaginosa
saccharomonospora viridis,Bacteria,thermoactinomyces viridis; saccharomonospora internatus; micropolyspora internatus,FALSE,saccharomonospora viridis,saccharomonospora viridis
saccharopolyspora rectivirgula,Bacteria,"thermopolyspora rectivirgula; thermopolyspora polyspora;   micropolyspora rectivirgula, etc.",TRUE,saccharopolyspora rectivirgula,saccharopolyspora rectivirgula
saccharopolyspora rosea,Bacteria,,FALSE,saccharopolyspora rosea,saccharopolyspora rosea
salmonella bongori,Bacteria,"salmonella enterica subsp. bongori; salmonella enterica subsp. v; salmonella choleraesuis subsp. bongori, etc.",FALSE,salmonella bongori,salmonella bongori
salmonella enterica subsp. arizonae,Bacteria,"salmonella arizonae; salmonella enterica subsp. iiia; paracolobactrum arizonae, etc.",FALSE,salmonella enterica subsp. arizonae,salmonella enterica subsp. arizonae
salmonella enterica subsp. diarizonae,Bacteria,salmonella enterica subsp. iiib; salmonella choleraesuis subsp. diarizonae; salmonella enterica iiib ,FALSE,salmonella enterica subsp. diarizonae,salmonella enterica subsp. diarizonae
salmonella enterica subsp. enterica,Bacteria,"salmonella enterica subsp. i; salmonella enterica subsp. enterica serovar enteritidis; salmonella choleraesuis subsp. choleraesuis, etc.",FALSE,salmonella enterica subsp. enterica,salmonella enterica subsp. enterica
salmonella enterica subsp. enterica serovar typhi,Bacteria,"salmonella typhi; salmonella enterica serovar typhi; salmonella choleraesuis typhi, etc.",FALSE,salmonella enterica subsp. enterica serovar typhi,salmonella enterica subsp. enterica serovar typhi
salmonella enterica subsp. houtenae,Bacteria,"salmonella houtenae; salmonella enterica subsp. iv; salmonella choleraesuis subsp. houtenae, etc.",FALSE,salmonella enterica subsp. houtenae,salmonella enterica subsp. houtenae
salmonella enterica subsp. salamae,Bacteria,"salmonella salamae; salmonella enterica subsp. ii; salmonella choleraesuis subsp. salamae, etc.",FALSE,salmonella enterica subsp. salamae,salmonella enterica subsp. salamae
scardovia wiggsiae,Bacteria,scardovia genomospecies c1,TRUE,scardovia wiggsiae,scardovia wiggsiae
sciscionella marina,Bacteria,,FALSE,sciscionella marina,sciscionella marina
sebaldella termitidis,Bacteria,sphaerophorus siccus var. termitidis; bacteroides termitidis,FALSE,sebaldella termitidis,sebaldella termitidis
segniliparus rotundus,Bacteria,,TRUE,segniliparus rotundus,segniliparus rotundus
segniliparus rugosus,Bacteria,,FALSE,segniliparus rugosus,segniliparus rugosus
selenomonas artemidis,Bacteria,,TRUE,selenomonas artemidis,selenomonas artemidis
selenomonas dianae,Bacteria,,TRUE,selenomonas dianae,selenomonas dianae
selenomonas flueggei,Bacteria,,TRUE,selenomonas flueggei,selenomonas flueggei
selenomonas infelix,Bacteria,,TRUE,selenomonas infelix,selenomonas infelix
selenomonas noxia,Bacteria,,TRUE,selenomonas noxia,selenomonas noxia
selenomonas sputigena,Bacteria,vibrio sputigenus; spirillum sputigenum,TRUE,selenomonas sputigena,selenomonas sputigena
serratia ficaria,Bacteria,,FALSE,serratia ficaria,serratia ficaria
serratia fonticola,Bacteria,serratia glossinae,FALSE,serratia fonticola,serratia fonticola
serratia liquefaciens,Bacteria,aerobacter liquefaciens,TRUE,serratia liquefaciens,serratia liquefaciens
serratia marcescens,Bacteria,bacillus marcescens,TRUE,serratia marcescens,serratia marcescens
serratia odorifera,Bacteria,,FALSE,serratia odorifera,serratia odorifera
serratia plymuthica,Bacteria,bacterium plymuthicum,TRUE,serratia plymuthica,serratia plymuthica
serratia proteamaculans,Bacteria,xantomonas proteamaculans; pseudomonas proteamaculans; erwinia proteamaculans,TRUE,serratia proteamaculans,serratia proteamaculans
serratia rubidaea,Bacteria,serratia marinorubra,FALSE,serratia rubidaea,serratia rubidaea
shewanella algae,Bacteria,shewanella alga,TRUE,shewanella algae,shewanella algae
shewanella putrefaciens,Bacteria,pseudomonas putrefaciens; alteromonas putrefaciens,TRUE,shewanella putrefaciens,shewanella putrefaciens
shewanella xiamenensis,Bacteria,,TRUE,shewanella xiamenensis,shewanella xiamenensis
shigella boydii,Bacteria,,TRUE,shigella boydii,shigella boydii
shigella dysenteriae,Bacteria,"shigella shigae; eberthella dysenteriae; bacillus shigae, etc.",TRUE,shigella dysenteriae,shigella dysenteriae
shigella flexneri,Bacteria,shigella paradysenteriae,TRUE,shigella flexneri,shigella flexneri
shigella sonnei,Bacteria,bacterium sonnei,TRUE,shigella sonnei,shigella sonnei
simkania negevensis,Bacteria,,FALSE,simkania negevensis,simkania negevensis
slackia exigua,Bacteria,eubacterium exiguum,TRUE,slackia exigua,slackia exigua
sneathia sanguinegens,Bacteria,leptotrichia sanguinegens,TRUE,sneathia sanguinegens,sneathia sanguinegens
solobacterium moorei,Bacteria,unclassified clostridium group rca60,TRUE,solobacterium moorei,solobacterium moorei
sphingobacterium multivorum,Bacteria,"group iik, biotype 2; flavobacterium multivorum; flavobacterium keratolyticus, etc.",FALSE,sphingobacterium multivorum,sphingobacterium multivorum
sphingobacterium spiritivorum,Bacteria,flavobacterium yabuuchiae; flavobacterium spiritivorum; flavibacterium yabuuchiae,FALSE,sphingobacterium spiritivorum,sphingobacterium spiritivorum
sphingomonas paucimobilis,Bacteria,"pseudomonas paucimobilis; flavobacterium devorans; chromobacterium devorans, etc.",TRUE,sphingomonas paucimobilis,sphingomonas paucimobilis
staphylococcus agnetis,Bacteria,,FALSE,staphylococcus agnetis,staphylococcus agnetis
staphylococcus argenteus,Bacteria,,FALSE,staphylococcus argenteus,staphylococcus argenteus
staphylococcus aureus,Bacteria,"staphylococcus pyogenes aureus; micrococcus pyogenes; micrococcus aureus, etc.",TRUE,staphylococcus aureus,staphylococcus aureus
staphylococcus capitis,Bacteria,,TRUE,staphylococcus capitis,staphylococcus capitis
staphylococcus caprae,Bacteria,,TRUE,staphylococcus caprae,staphylococcus caprae
staphylococcus chromogenes,Bacteria,staphylococcus hyicus subsp. chromogenes,TRUE,staphylococcus chromogenes,staphylococcus chromogenes
staphylococcus cohnii,Bacteria,,TRUE,staphylococcus cohnii,staphylococcus cohnii
staphylococcus condimenti,Bacteria,tetracoccus soyae,FALSE,staphylococcus condimenti,staphylococcus condimenti
staphylococcus delphini,Bacteria,,TRUE,staphylococcus delphini,staphylococcus delphini
staphylococcus devriesei,Bacteria,,TRUE,staphylococcus devriesei,staphylococcus devriesei
staphylococcus epidermidis,Bacteria,staphylococcus epidermidis albus; micrococcus epidermidis; albococcus epidermidis,TRUE,staphylococcus epidermidis,staphylococcus epidermidis
staphylococcus felis,Bacteria,,TRUE,staphylococcus felis,staphylococcus felis
staphylococcus gallinarum,Bacteria,,TRUE,staphylococcus gallinarum,staphylococcus gallinarum
staphylococcus haemolyticus,Bacteria,,TRUE,staphylococcus haemolyticus,staphylococcus haemolyticus
staphylococcus hominis,Bacteria,,TRUE,staphylococcus hominis,staphylococcus hominis
