Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
acidaminococcus intestini,Bacteria,,FALSE,acidaminococcus intestini,acidaminococcus intestini
acinetobacter baumannii,Bacteria,bacterium anitratum; acinetobacter genomospecies 2,TRUE,acinetobacter baumannii,acinetobacter baumannii
acinetobacter baumannii,Bacteria,bacterium anitratum; acinetobacter genomospecies 3,TRUE,acinetobacter baumannii,acinetobacter baumannii
acinetobacter baumannii,Bacteria,bacterium anitratum; acinetobacter genomospecies 4,TRUE,acinetobacter baumannii,acinetobacter baumannii
acinetobacter baylyi,Bacteria,acinetobacter sp. adp1,FALSE,acinetobacter baylyi,acinetobacter baylyi
acinetobacter beijerinckii,Bacteria,acinetobacter sp. phenon 7,FALSE,acinetobacter beijerinckii,acinetobacter beijerinckii
acinetobacter bereziniae,Bacteria,acinetobacter genomic species 10,FALSE,acinetobacter bereziniae,acinetobacter bereziniae
acinetobacter calcoaceticus,Bacteria,neisseria winogradskyi; moraxella calcoacetica; micrococcus calcoaceticus; acinetobacter genomosp. 2,TRUE,acinetobacter calcoaceticus,acinetobacter calcoaceticus
acinetobacter calcoaceticus,Bacteria,neisseria winogradskyi; moraxella calcoacetica; micrococcus calcoaceticus; acinetobacter genomosp. 1,TRUE,acinetobacter calcoaceticus,acinetobacter calcoaceticus
acinetobacter gandensis,Bacteria,,FALSE,acinetobacter gandensis,acinetobacter gandensis
acinetobacter guillouiae,Bacteria,acinetobacter genomosp. 11,FALSE,acinetobacter guillouiae,acinetobacter guillouiae
acinetobacter gyllenbergii,Bacteria,acinetobacter sp. phenon 3,FALSE,acinetobacter gyllenbergii,acinetobacter gyllenbergii
acinetobacter haemolyticus,Bacteria,acinetobacter genomosp. 4; achromobacter haemolyticus; acinetobacter haematolyticus,TRUE,acinetobacter haemolyticus,acinetobacter haemolyticus
acinetobacter johnsonii,Bacteria,acinetobacter genomosp. 7,TRUE,acinetobacter johnsonii,acinetobacter johnsonii
