Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
bovine norovirus-jena,bovine norovirus-jena,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine papillomavirus 1,bovine papillomavirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine papillomavirus 3,bovine papillomavirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine papillomavirus 5,bovine papillomavirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine parainfluenza virus 3,bovine parainfluenza virus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine parvovirus,bovine parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine polyomavirus,bovine polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine respiratory syncytial,bovine respiratory syncytial,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine torovirus,bovine torovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine viral diarrhea virus 1,bovine viral diarrhea virus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bovine viral diarrhea virus 2,bovine viral diarrhea virus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bubaline herpesvirus 1,bubaline herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bujaru,bujaru,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bukalasa bat,bukalasa bat,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
bwamba,bwamba,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cabassou,cabassou,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cacipacore,cacipacore,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
callitrichine herpesvirus 1,callitrichine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
callitrichine herpesvirus 3,callitrichine herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
candiru,candiru,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canid herpesvirus 1,canid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine adenovirus,canine adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine calicivirus,canine calicivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine coronavirus,canine coronavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine minute,canine minute,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
canine oral papillomavirus,canine oral papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cano delgadito,cano delgadito,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caprine arthritis encephalitis,caprine arthritis encephalitis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caprine herpesvirus 1,caprine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
carey island,carey island,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caviid herpesvirus 1,caviid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caviid herpesvirus 2,caviid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
caviid herpesvirus 3,caviid herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 12,cercopithecine herpesvirus 12,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 14,cercopithecine herpesvirus 14,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 15,cercopithecine herpesvirus 15,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 16,cercopithecine herpesvirus 16,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 17,cercopithecine herpesvirus 17,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 2,cercopithecine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 5,cercopithecine herpesvirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 8,cercopithecine herpesvirus 8,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cercopithecine herpesvirus 9,cercopithecine herpesvirus 9,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cervid herpesvirus 1,cervid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cervid herpesvirus 2,cervid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cetacean morbillivirus,cetacean morbillivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
chagres,chagres,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
chipmunk parvovirus,chipmunk parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
chobar gorge,chobar gorge,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
classical swine fever,classical swine fever,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cocal,cocal,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cottontail rabbit papillomavirus,cottontail rabbit papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cowbone ridge,cowbone ridge,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cricetid herpesvirus,cricetid herpesvirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
cupixi,cupixi,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
dakar bat,dakar bat,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
deer adenovirus,deer adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
deer papillomavirus,deer papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ectromelia,ectromelia,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
el moro canyon,el moro canyon,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
entebbe bat,entebbe bat,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
epizootic hemorrhagic disease,epizootic hemorrhagic disease,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 1,equid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 2,equid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 3,equid herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 4,equid herpesvirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 5,equid herpesvirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 7,equid herpesvirus 7,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 8,equid herpesvirus 8,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equid herpesvirus 9,equid herpesvirus 9,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine adenovirus a,equine adenovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine adenovirus b,equine adenovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine arteritis,equine arteritis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine encephalosis,equine encephalosis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine foamy,equine foamy,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine infectious anemia,equine infectious anemia,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine papillomavirus 1,equine papillomavirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine rhinitis a,equine rhinitis a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine rhinitis b,equine rhinitis b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
equine torovirus,equine torovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
eubenangee,eubenangee,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
european brown hare syndrome,european brown hare syndrome,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
european elk papillomavirus,european elk papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
eyach,eyach,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
felid herpesvirus 1,felid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline astrovirus,feline astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline calicivirus,feline calicivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline coronavirus,feline coronavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline foamy,feline foamy,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline immunodeficiency,feline immunodeficiency,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline leukemia,feline leukemia,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline panleukopenia,feline panleukopenia,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
feline papillomavirus,feline papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
gb virus a,gb virus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
gb virus b,gb virus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
goat adenovirus,goat adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
goatpox,goatpox,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ground squirrel hepatitis,ground squirrel hepatitis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
guinea pig adenovirus,guinea pig adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
guinea pig type-c oncovirus,guinea pig type-c oncovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
h-1 parvovirus,h-1 parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hamster oral papillomavirus,hamster oral papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hamster parvovirus,hamster parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hamster polyomavirus,hamster polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hare fibroma,hare fibroma,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hepatitis c,hepatitis c,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hepatitis delta,hepatitis delta,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
highlands j,highlands j,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
hippotragine herpesvirus 1,hippotragine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human astrovirus,human astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human coronavirus oc43,human coronavirus oc43,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human enterovirus c,human enterovirus c,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human herpesvirus 2,human herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human herpesvirus 3,human herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human herpesvirus 6,human herpesvirus 6,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human herpesvirus 7,human herpesvirus 7,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human herpesvirus 8,human herpesvirus 8,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human immunodeficiency virus 1,human immunodeficiency virus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human immunodeficiency virus 2,human immunodeficiency virus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 1,human papillomavirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 10,human papillomavirus 10,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 16,human papillomavirus 16,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 18,human papillomavirus 18,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 2,human papillomavirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 26,human papillomavirus 26,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 32,human papillomavirus 32,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 34,human papillomavirus 34,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 4,human papillomavirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 41,human papillomavirus 41,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 48,human papillomavirus 48,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 49,human papillomavirus 49,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 5,human papillomavirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 50,human papillomavirus 50,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 53,human papillomavirus 53,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 54,human papillomavirus 54,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 6,human papillomavirus 6,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 60,human papillomavirus 60,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 61,human papillomavirus 61,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 63,human papillomavirus 63,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 7,human papillomavirus 7,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 71,human papillomavirus 71,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 88,human papillomavirus 88,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus 9,human papillomavirus 9,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus cand90,human papillomavirus cand90,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus cand92,human papillomavirus cand92,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human papillomavirus cand96,human papillomavirus cand96,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human parainfluenza virus 4,human parainfluenza virus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human parechovirus,human parechovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human parvovirus b19,human parvovirus b19,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human polyomavirus,human polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human rhinovirus a,human rhinovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human rhinovirus b,human rhinovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
human torovirus,human torovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ife,ife,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ippy,ippy,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
irkut,irkut,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
isla vista,isla vista,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
issyk-kul,issyk-kul,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
itaporanga,itaporanga,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
jaagsiekte sheep retrovirus,jaagsiekte sheep retrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
japanaut,japanaut,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
jc polyomavirus,jc polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
jugra,jugra,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
jurona,jurona,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
jutiapa,jutiapa,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
kaeng khoi,kaeng khoi,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
kern canyon,kern canyon,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
keuraliba,keuraliba,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
khabarovsk,khabarovsk,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
khujand,khujand,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
kilham rat,kilham rat,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
koongol,koongol,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
lactate dehydrogenase-elevating,lactate dehydrogenase-elevating,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
lagos bat,lagos bat,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
langur,langur,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
lapine parvovirus,lapine parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
latino,latino,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
lumpy skin disease,lumpy skin disease,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
macaque simian foamy,macaque simian foamy,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
macropodid herpesvirus 1,macropodid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
macropodid herpesvirus 2,macropodid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
madrid,madrid,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
main drain,main drain virus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mammalian orthoreovirus,mammalian orthoreovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
manzanilla,manzanilla,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mapuera,mapuera,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
maraba,maraba,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
marmodid herpesvirus 1,marmodid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mason-pfizer monkey,mason-pfizer monkey,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mastomys natalensis papillomavirus,mastomys natalensis papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
middelburg,middelburg,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
minatitlan,minatitlan,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mink astrovirus,mink astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mink calicivirus,mink calicivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mink enteric sapovirus,mink enteric sapovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
minute virus of mice,minute virus of mice,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mobala,mobala,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
molluscum contagiosum,molluscum contagiosum,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
moloney murine sarcoma,moloney murine sarcoma,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
montana myotis leukoencephalitis,montana myotis leukoencephalitis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mopeia,mopeia,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mosso das pedras virus 78v3531,mosso das pedras virus 78v3531,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mount elgon bat,mount elgon bat,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mouse mammary tumor,mouse mammary tumor,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mouse parvovirus 1,mouse parvovirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mucambo,mucambo,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
muleshoe,muleshoe,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murid herpesvirus 1,murid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murid herpesvirus 2,murid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murid herpesvirus 3,murid herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murid herpesvirus 4,murid herpesvirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murid herpesvirus 5,murid herpesvirus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine adenovirus a,murine adenovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine adenovirus b,murine adenovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine hepatitis,murine hepatitis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine leukemia,murine leukemia,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine norovirus 1,murine norovirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine pneumotropic,murine pneumotropic,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murine polyomavirus,murine polyomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
mustelid herpesvirus 1,mustelid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
myxoma,myxoma,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
nariva,nariva,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
nelson bay orthoreovirus,nelson bay orthoreovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
newcastle disease,newcastle disease,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ntaya,ntaya,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
nyando,nyando,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
oita,oita,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
okola,okola,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
oliveros,oliveros,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ovine adenovirus a,ovine adenovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ovine adenovirus d,ovine adenovirus d,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ovine astrovirus,ovine astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ovine herpesvirus 2,ovine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
ovine papillomavirus 1,ovine papillomavirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
pampa,pampa,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
parana,parana,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
parapoxvirus of red deer in new zealand,red deer parapoxvirus new zealand,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
peruvian horse sickness,peruvian horse sickness,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
peste-des-petits-ruminants,peste-des-petits-ruminants,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
phnom penh bat,phnom penh bat,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
phocid herpesvirus 1,phocid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
phocine distemper,phocine distemper,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
phocoena spinipinnis papillomavirus,phocoena spinipinnis papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
pig-tailed macaque parvovirus,pig-tailed macaque parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
pirital,pirital,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
piry,piry,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
poliovirus,poliovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
pongine herpesvirus 1,pongine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
pongine herpesvirus 2,pongine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
pongine herpesvirus 3,pongine herpesvirus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
pongine herpesvirus 4,pongine herpesvirus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine adenovirus a,porcine adenovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine adenovirus b,porcine adenovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine adenovirus c,porcine adenovirus c,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine astrovirus,porcine astrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine circovirus-1,porcine circovirus-1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine circovirus-2,porcine circovirus-2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine enteric sapovirus,porcine enteric sapovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine enterovirus a,porcine enterovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine enterovirus b,porcine enterovirus b,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
