Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
machupo,machupo,virus,1,0,1,1,1,1,bolivian hemorrhagic fever,"direct, food, water",1,0,NA,1,bolivian hemorrhagic fever,1
marituba,marituba,virus,1,1,1,1,1,1,group c viral fevers,vector,1,1,"mosquito (culex, aedes, limatus, wyeomyia, coquillettidia, mansonia, psophora)",0,NA,1
mayaro,mayaro,virus,1,0,1,1,1,1,mayaro,vector,1,1,mosquito (Haemagogus janthinomys),1,Mayaro Fever,1
measles,measles,virus,1,1,1,1,1,1,measles,respiratory,0,0,NA,0,NA,1
menangle,menangle,virus,1,0,1,1,1,1,hendra virus associated disease,"direct, respiratory, environment",1,0,NA,1,menangle,1
modoc,modoc,virus,1,0,0,1,1,1,viral encephalitis (st. louis-related),vector,1,1,"mosquito (Culex pipiens, Cx. tarsalis, Cx. nigripalpus, Cx. restuans, Cx. salinarius, Aedes, Sabethes)",0,NA,0
mokola,mokola,virus,1,1,1,1,1,1,NA,NA,0,0,NA,1,encephalitis,1
monkeypox,monkeypox,virus,1,1,1,1,1,1,monkeypox,"direct, respiratory",1,0,NA,1,monkeypox,1
mumps,mumps,virus,1,0,1,1,0,1,mumps,respiratory,0,0,NA,0,NA,0
murine pneumonia,murine pneumonia,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
murray valley encephalitis,murray valley encephalitis,virus,1,0,1,1,1,1,murray valley encephalitis,vector,1,1,"mosquito (aedes normanensis, culex annulirostris and cu. bitaeniorhynchus)",1,murray valley encephalitis,1
ndumu,ndumu,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
new york,new york-1,virus,1,1,1,1,1,1,hantavirus pulmonary syndrome,"direct, environment, respiratory",1,0,NA,1,Hantavirus Pulmonary Syndrome,1
nipah,nipah,virus,1,1,1,1,1,1,nipah virus encephalitis,"food, direct, respiratory",1,0,NA,1,nipah virus,1
norwalk,norwalk,virus,1,0,1,1,0,1,viral gastroenteritis,"water, food, environment",0,0,NA,0,NA,0
o'nyong-nyong,o'nyong-nyong,virus,1,0,1,1,1,1,o'nyong-nyong,vector,1,1,mosquito (Anopheles funestus and An. Gambiae),0,NA,1
omsk hemorrhagic fever,omsk,virus,1,1,1,1,1,1,omsk haemorrhagic fever,vector,1,1,tick (Dermacentor pictus and D. marginatus),1,tick-borne Encephalitis,1
orf,orf,virus,1,1,1,1,1,1,orf,"direct, fluids, environment",1,0,NA,0,NA,1
oriboca,oriboca,virus,1,0,1,1,1,1,group c viral fevers,vector,1,1,"mosquito (culex, aedes, limatus, wyeomyia, coquillettidia, mansonia, psophora)",0,NA,1
oropouche,oropouche,virus,1,0,1,1,1,1,oropouche virus disease,vector,1,1,"midge (culicoides paraensis), mosquito (culex quinquefasciatus, aedes serratus, coquillettidia venezuelensis)",1,oropouche virus disease,1
orungo,orungo,virus,1,0,1,1,1,1,crimean-congo-related haemorrhagic fever,"vector, direct",1,1,tick (hyalomma),0,NA,1
palyam,palyam,virus,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0
parainfluenza virus 5,parainfluenza virus 5,virus,1,1,1,1,0,1,parainfluenza virus infection,airborne,0,0,NA,0,NA,0
patois,patois,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
pichinde,pichinde,virus,1,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
pixuna,pixuna,virus,1,0,0,1,1,1,venezuelan equine encephalitis-related,vector,1,1,"mosquito (culex spp., aedes taeniorhynchus, psophora confinnis, anopheles spp.)",0,NA,0
powassan,powassan,virus,1,1,1,1,1,1,powassan encephalitis,"vector, food",1,1,"tick (Ixodes cookei, Ix. marxi, Ix. scapularis, Dermacentor andersoni)",1,tick-borne encephalitis,1
primate t-lymphotropic virus 1,primate t-lymphotropic virus 1,virus,1,0,1,1,1,1,htlv infection,"food (bushmeat), blood, sexual",1,0,NA,0,NA,0
primate t-lymphotropic virus 2,primate t-lymphotropic virus 2,virus,1,1,1,1,1,1,htlv infection,"food (bushmeat), blood, sexual",1,0,NA,0,NA,0
primate t-lymphotropic virus 3,primate t-lymphotropic virus 3,virus,1,1,1,1,1,1,htlv infection,"food (bushmeat), blood, sexual",1,0,NA,0,NA,0
pseudocowpox,pseudocowpox,virus,1,1,1,1,1,1,pseudocowpox,direct,1,0,NA,0,NA,1
