name,exact,type,order,class,family,genus,species
possum adenovirus,true,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Atadenovirus,Possum atadenovirus A
primate bocaparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 1
primate bocaparvovirus 2,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 2
primate erythroparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 1
primate erythroparvovirus 2,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 2
primate erythroparvovirus 3,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 3
primate erythroparvovirus 4,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 4
primate protoparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Primate protoparvovirus 1
primate tetraparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Tetraparvovirus,Primate tetraparvovirus 1
psipapillomavirus 1,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Psipapillomavirus,Psipapillomavirus 1
puma lentivirus,true,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Puma lentivirus
rabbit coronavirus,true,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,,Rabbit coronavirus
rabbit oral papillomavirus,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Kappapapillomavirus,Kappapapillomavirus 1
rabbit picobirnavirus,true,viruses,Durnavirales,Duplopiviricetes,Picobirnaviridae,Picobirnavirus,Rabbit picobirnavirus
raccoonpox,true,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Raccoonpox virus
rat coronavirus,true,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Murine coronavirus
rat minute virus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Rat minute virus 1
rat parvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Rodent protoparvovirus 2
reston ebolavirus,true,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Reston ebolavirus
rhesus macaque parvovirus,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 3
rhesus monkey papillomavirus 1,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12
rhopapillomavirus 1,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Rhopapillomavirus,Rhopapillomavirus 1
rodent erythroparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Rodent erythroparvovirus 1
rodent protoparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Rodent protoparvovirus 1
